year,nouveaux_ADJ arrêts_NOUN,nouveaux_ADJ marais_NOUN
1800,9.432493897065797e-09,3.144164484325529e-09
1801,9.524730337773235e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,2.3404069793286908e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,5.970043304159844e-08,5.685755422035754e-09
1806,8.645007376628655e-09,0.0
1807,3.9857372513552036e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,4.51806094758922e-08,0.0
1810,5.148278958699848e-08,0.0
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,6.934741492159446e-08,0.0
1813,8.627225156487839e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.1577788444915313e-08,5.394447111228828e-09
1816,3.476405652236281e-08,2.7811246638975717e-08
1817,2.6466848268569265e-08,0.0
1818,3.814776872168579e-08,0.0
1819,4.34744116262209e-08,6.210630232317271e-09
1820,4.509262740981512e-08,3.5599443393152796e-09
1821,5.818278081548556e-08,0.0
1822,4.6117833107928163e-08,0.0
1823,3.1624597385260245e-08,0.0
1824,3.8737118401854786e-08,3.3684450784221553e-09
1825,9.68598712347557e-08,8.805443041381977e-10
1826,4.4039921931471326e-08,6.1655889282974385e-09
1827,6.452091083630762e-08,2.7651818612639545e-09
1828,5.961995697134626e-08,8.255071293206129e-09
1829,5.143905501547863e-08,0.0
1830,5.5315228397745386e-08,0.0
1831,3.585977381703742e-08,1.5591206103948707e-09
1832,1.4477066656581883e-07,1.488296597074168e-08
1833,3.59092489077284e-08,1.1583628500844156e-09
1834,4.387229424196448e-08,3.733812370398937e-09
1835,6.201732105637348e-08,0.0
1836,3.830827632889111e-08,1.3441500135158435e-09
1837,3.68768207081871e-08,0.0
1838,5.491580878924651e-08,6.312161904276081e-10
1839,7.271134450093086e-08,1.3982950353153e-09
1840,2.8026629905752998e-08,5.095750932326837e-09
1841,4.044945400849542e-08,5.1364388298225094e-09
1842,7.379091826464901e-08,6.708265054555795e-10
1843,3.9576303123567413e-08,0.0
1844,4.1713065890292e-08,0.0
1845,6.752075742966213e-08,1.1160455892778032e-09
1846,6.381406114641663e-08,2.9272506640865004e-09
1847,5.501088207182647e-08,8.089835468183537e-09
1848,6.918891010121442e-08,1.6090443422100975e-09
1849,4.022119171054328e-08,8.379414939696517e-10
1850,7.535785506718184e-08,6.788996032014438e-09
1851,6.191460899529488e-08,0.0
1852,4.687592713992217e-08,1.3021090872200602e-09
1853,2.9262465783830294e-08,0.0
1854,4.416314763888707e-08,1.2469595134234623e-08
1855,2.9718847827098216e-08,5.837630823180007e-09
1856,6.626801951625794e-08,0.0
1857,6.882927561235874e-08,1.9526036343364694e-09
1858,3.914940793769972e-08,0.0
1859,1.6193111163076424e-07,1.018434669930457e-09
1860,5.446848758139389e-08,3.204028820036342e-09
1861,3.395494019287071e-08,4.2443675241088386e-09
1862,4.337266901188741e-08,3.162590411776023e-09
1863,3.795911851511846e-08,0.0
1864,3.9796240969280916e-08,2.3973640850272204e-09
1865,5.554076309977063e-08,0.0
1866,4.9142689917403004e-08,1.9462451650298362e-09
1867,3.1543274658929477e-08,9.7056229719783e-10
1868,1.1361710683388537e-08,0.0
1869,4.4440023883041135e-08,4.883519144627257e-10
1870,5.045963025196443e-08,2.8670243956696595e-09
1871,1.1683295220166201e-08,4.248470908407853e-09
1872,3.38650991693612e-08,3.628403577593531e-09
1873,3.950762827997778e-08,0.0
1874,2.9873046258899194e-08,1.7923826867161097e-09
1875,2.1741803024610817e-08,1.1443054503956773e-08
1876,4.171750367376603e-08,0.0
1877,2.8450153455317206e-08,0.0
1878,4.16697121252696e-08,6.039088673581716e-10
1879,4.215434479259983e-08,2.077170613290491e-08
1880,3.5939940801199555e-08,6.417846254436199e-10
1881,3.2770785196589713e-08,1.3945015142624584e-09
1882,1.3976308999019693e-08,0.0
1883,4.676310894069502e-08,0.0
1884,1.5844072720483382e-08,5.281357573494461e-09
1885,2.836079660006874e-08,6.445635691854079e-10
1886,1.2261581083805595e-08,0.0
1887,4.374379536375983e-08,0.0
1888,3.9311810695608074e-08,1.268122939990235e-09
1889,2.192797943223468e-08,6.265136742733546e-10
1890,2.5562107097698572e-08,0.0
1891,3.3145943545420664e-08,3.1871101313640793e-09
1892,2.2566645219157522e-08,3.1342561879199593e-09
1893,1.4164357742263434e-08,2.2170299374124625e-08
1894,2.331569493030372e-08,3.150769645188234e-09
1895,3.069493459406658e-08,3.0093072478365457e-09
1896,2.4177818858106548e-08,0.0
1897,1.806281169081103e-08,3.4960281336537946e-09
1898,3.734514231190644e-08,0.0
1899,1.5477219506010442e-08,5.527578395003729e-10
1900,3.114631974554527e-08,3.114631885736685e-09
1901,2.2913829056392387e-08,5.588738916095792e-10
1902,3.437198686784271e-08,2.455141867585553e-09
1903,2.700110202091821e-08,0.0
1904,3.171028950532673e-08,2.6873125946735854e-09
1905,1.5998352864698973e-08,1.5482277682110634e-09
1906,1.7490227932626112e-08,3.600929110447737e-09
