year,des_DET ondes_NOUN,des_DET mondes_NOUN
1800,5.093546526779846e-07,6.445537494847997e-07
1801,3.762268434570615e-07,2.9764782638608267e-07
1802,3.401517005841015e-07,4.408545066780789e-07
1803,4.973365044236289e-07,3.393590235489796e-07
1804,3.015658194271964e-07,4.7459539409544504e-07
1805,1.8478704744140373e-07,5.202466075715506e-07
1806,3.1410192935510395e-07,3.025752572938245e-07
1807,1.4519471314144994e-07,2.1067467859126054e-07
1808,1.8808414070647927e-07,4.509487165904602e-07
1809,2.7560173521123943e-07,2.3268014714972196e-07
1810,2.8081521463718673e-07,3.580393919122571e-07
1811,2.557218250487381e-07,3.6101906175645126e-07
1812,2.907257012907394e-07,4.560925983554398e-07
1813,4.1410678841558024e-07,2.674439656402683e-07
1814,2.0138733702879108e-07,2.3285410799545048e-07
1815,2.6163067445850174e-07,2.616306902236687e-07
1816,5.260960733721731e-07,2.6420685017569667e-07
1817,5.417919535233295e-07,2.257466436006439e-07
1818,4.458520468375582e-07,3.8386189959993544e-07
1819,2.7223261211961614e-07,3.9230480730623185e-07
1820,4.616061177742381e-07,4.2719331183604936e-07
1821,2.76121662423634e-07,3.9445953703420855e-07
1822,2.556532194830652e-07,4.341091681681064e-07
1823,2.9845713989118394e-07,3.0932809558237295e-07
1824,2.265279341884252e-07,3.402129582497082e-07
1825,2.4303022261307206e-07,3.4605392684738945e-07
1826,2.5102755962791434e-07,2.9506748422392093e-07
1827,2.55318456154896e-07,2.8665719220555275e-07
1828,2.577416751137207e-07,3.1644438447386847e-07
1829,2.4519282892931926e-07,2.39191610518219e-07
1830,2.7761984533469786e-07,4.466965695115732e-07
1831,6.376803491914274e-07,3.009102846895928e-07
1832,3.1389530041892044e-07,3.4366121604012534e-07
1833,4.899874941344251e-07,5.838148933179355e-07
1834,2.744352034511621e-07,4.3872295307778586e-07
1835,3.584903822684282e-07,3.320195673950366e-07
1836,3.7434576860562174e-07,4.388649670339362e-07
1837,3.6737664332875397e-07,3.8129243484785746e-07
1838,3.679990472349459e-07,3.4211917276927295e-07
1839,4.243825495464648e-07,2.384093004126342e-07
1840,5.675392751314234e-07,3.38230466745415e-07
1841,2.715891951332594e-07,4.667738942032429e-07
1842,3.6425879024193364e-07,3.4212150401558006e-07
1843,2.2328124105186475e-07,3.869026863334568e-07
1844,1.9209964219335518e-07,3.5401221426534235e-07
1845,3.4374204993525836e-07,3.191890236564632e-07
1846,1.8558768521970137e-07,3.9342248037144145e-07
1847,4.066490566501102e-07,3.349191990409395e-07
1848,2.928460673956579e-07,3.829525598297856e-07
1849,2.4970655476685977e-07,2.463548032238805e-07
1850,3.978351781341871e-07,5.410829935215133e-07
1851,5.649708612054383e-07,3.4311012964138854e-07
1852,2.558644465189275e-07,3.7240319006315303e-07
1853,2.788892139449217e-07,4.246043441291647e-07
1854,2.7900718801987523e-07,3.782443758204579e-07
1855,3.2053898735284747e-07,4.0916484778108497e-07
1856,3.0700733066879593e-07,4.2142319145455076e-07
1857,3.1436919289973275e-07,5.09629545786261e-07
1858,5.050273692575047e-07,5.378149969814672e-07
1859,2.6428379662490897e-07,5.234754130167829e-07
1860,2.3389409253837812e-07,5.423963138628807e-07
1861,2.7918505818291806e-07,5.069660842238477e-07
1862,2.2002592481307204e-07,4.2062453786684273e-07
1863,3.026740250655635e-07,4.979636987201275e-07
1864,3.255620208975074e-07,7.196886535609792e-07
1865,2.6028850541592874e-07,6.768442464277769e-07
1866,4.899672392255638e-07,4.6369290274128616e-07
1867,4.7217855403403064e-07,4.1782705650916796e-07
1868,6.510754015920384e-07,4.7472188402508664e-07
1869,5.830921621097218e-07,4.746780462028255e-07
1870,5.56202737200806e-07,4.954218120190035e-07
1871,5.448663689122668e-07,3.951077847119677e-07
1872,5.593788863222926e-07,5.962676752346852e-07
1873,4.1662590355429074e-07,3.956748875211247e-07
1874,4.4212108463170807e-07,3.572816371644194e-07
1875,4.2110440823250883e-07,4.3311960951086803e-07
1876,3.5248266083698354e-07,4.1112899396011926e-07
1877,5.863205299050378e-07,3.9892061742818896e-07
1878,5.133225187137214e-07,4.432691018685375e-07
1879,3.2684889905709724e-07,3.751125803308497e-07
1880,4.5695064798678686e-07,3.4656369329866266e-07
1881,4.127724455571524e-07,3.2979962139023655e-07
1882,4.505695647694097e-07,3.2078955847225643e-07
1883,4.4488147477039774e-07,4.0127802947154123e-07
1884,4.6013829013702434e-07,3.80917925646429e-07
1885,3.1196877658956623e-07,3.042339936643046e-07
1886,3.820450515945595e-07,3.394522001265443e-07
1887,4.3547926065201636e-07,3.1926440402507694e-07
1888,4.88227339445757e-07,3.341503975740068e-07
1889,5.939349616568279e-07,3.151363907605287e-07
1890,4.94200763867525e-07,3.060898428053349e-07
1891,5.717675568561731e-07,3.7225445659316847e-07
1892,5.69180924614443e-07,3.7109594019923975e-07
1893,9.607129562994032e-07,3.2454855425356754e-07
1894,5.286991395792029e-07,3.175975915592488e-07
1895,7.005667050918873e-07,3.1898658159335014e-07
1896,7.80176941717059e-07,3.2905421398776724e-07
1897,7.341659129522782e-07,3.0007575679835696e-07
1898,7.64443732315101e-07,3.151703802384276e-07
1899,1.0386319573285618e-06,2.7637892330290015e-07
1900,7.298620570139747e-07,3.026383987858594e-07
1901,9.72440615143455e-07,3.6773901701536715e-07
1902,1.1269101651834035e-06,2.425680287743148e-07
1903,9.785199068801376e-07,3.461541311367e-07
1904,9.405593885958297e-07,2.8593004852695003e-07
1905,7.250866573826897e-07,3.0293654251778435e-07
1906,8.446751156299115e-07,4.0021755554064953e-07
1907,1.0388543145722906e-06,3.723418506851317e-07
1908,1.0937664001176017e-06,2.9517449506855087e-07
1909,1.0061299366981302e-06,3.328095192767222e-07
1910,9.272101539892219e-07,4.895241962898922e-07
1911,1.107169859793089e-06,3.649776727510101e-07
1912,1.1606590213375512e-06,3.9643696148061736e-07
1913,1.041507180943313e-06,4.5181473229405356e-07
1914,1.0560764955869217e-06,3.8104472466216066e-07
1915,7.139141926515435e-07,2.167660182461617e-07
1916,1.0613888186128406e-06,3.417100615799029e-07
1917,7.413302736125615e-07,3.136397426217741e-07
1918,1.0130983714162767e-06,3.342535563888305e-07
1919,9.41042120672364e-07,3.8949197711524164e-07
1920,1.4811285353744097e-06,4.5130502224211e-07
1921,1.2108822673440045e-06,4.248311400445459e-07
1922,1.2313774071515127e-06,4.389871519627775e-07
1923,1.60088494638444e-06,5.445981323681792e-07
1924,1.947924481271457e-06,4.911708922916702e-07
1925,1.4143656450471553e-06,4.4322657455353465e-07
1926,1.4991556582799603e-06,4.257824985920422e-07
1927,1.6222122631859293e-06,6.265864627152951e-07
1928,1.6259257122896997e-06,5.084588403647672e-07
1929,1.4983847087535196e-06,4.879498121113102e-07
1930,1.6973823342425476e-06,3.970362039140696e-07
1931,1.5214745658909123e-06,4.197171223907503e-07
1932,1.426931611092641e-06,3.572808973117958e-07
1933,2.0830723386211503e-06,4.6226768191104384e-07
1934,1.9098639327808087e-06,3.42673196485066e-07
1935,1.525956271564155e-06,5.421632929270004e-07
1936,1.9084300717508995e-06,4.1587769672446484e-07
1937,2.1304172541647404e-06,3.550695186760322e-07
1938,2.2883602426304606e-06,3.8895644161041076e-07
1939,2.222225475634332e-06,3.563513670812313e-07
1940,1.7319396974357915e-06,2.7132877722380044e-07
1941,1.8269801600467872e-06,5.755430088072444e-07
1942,1.4048400585053855e-06,4.94576530840618e-07
1943,1.7854897018665383e-06,6.474214311325e-07
1944,1.3591777374699632e-06,4.402065059139204e-07
1945,1.6447705490918452e-06,4.4441483648682834e-07
1946,1.6510429681204641e-06,5.401388296633058e-07
1947,1.2671885301074326e-06,6.127327507599034e-07
1948,1.642742237351058e-06,4.924965075758791e-07
1949,1.3684909649924748e-06,4.1329605937612257e-07
1950,1.5548898275596912e-06,4.987984358884034e-07
