year,trois_DET in_ADJ,trois_DET mines_NOUN
1800,6.288328968651058e-09,5.973912209356058e-08
1801,2.3811825844433088e-09,1.262026785298076e-07
1802,0.0,4.0281122437590966e-08
1803,0.0,1.1116933507082649e-07
1804,2.4718509461507665e-09,6.673997887673977e-08
1805,5.685755422035754e-09,4.264316544322355e-08
1806,0.0,6.627838899930794e-08
1807,0.0,8.540865792383556e-09
1808,0.0,1.31432294381284e-07
1809,0.0,2.0105371945078332e-07
1810,7.020380277111826e-09,4.9142661051604364e-08
1811,0.0,3.5099073869560016e-08
1812,2.6672082320544632e-09,0.0
1813,0.0,5.1763349606659403e-08
1814,0.0,6.608021863030444e-08
1815,0.0,3.506390555685357e-08
1816,0.0,5.3304887615013286e-08
1817,0.0,2.490997452753163e-08
1818,2.384235475716423e-09,1.5497530370112145e-08
1819,1.035105001712111e-09,7.866798168443268e-08
1820,0.0,6.289234999456994e-08
1821,1.97229765852569e-09,5.325203744632745e-08
1822,3.0076847679083585e-09,8.922798144794797e-08
1823,9.882686891060644e-10,1.2353358158634364e-07
1824,8.421112696055388e-10,8.757957203897604e-08
1825,0.0,2.289415235168235e-08
1826,0.0,7.310627125889368e-08
1827,5.530363722527909e-09,5.346018272511799e-08
1828,3.668920500743411e-09,1.0456423638061096e-07
1829,8.57317605795771e-10,3.943661086580619e-08
1830,4.174734336004349e-09,3.652892388572582e-08
1831,1.5591206103948707e-09,4.2096257146795324e-08
1832,0.0,7.170883975504694e-08
1833,9.266902800675325e-09,4.1701060937704426e-08
1834,0.0,4.387229424196448e-08
1835,1.0588323107185715e-08,4.0084366048631637e-08
1836,6.720750067579218e-10,7.258409961963252e-08
1837,8.349468672008697e-09,6.54041727443655e-08
1838,3.787297142565649e-09,1.2750567024433224e-07
1839,5.5931801412612e-09,4.334714498455128e-08
1840,5.732719632334238e-09,6.433385801862812e-08
1841,0.0,5.393260682495793e-08
1842,3.3541325272778977e-09,5.56785999528131e-08
1843,5.906911071384968e-10,4.3120451209688326e-08
1844,0.0,4.50062032086862e-08
1845,0.0,6.975284794208392e-08
1846,0.0,2.6345256864956923e-08
1847,0.0,5.2314270249098627e-08
1848,0.0,9.091100444669209e-08
1849,8.379414939696517e-10,3.854530827851477e-08
1850,5.431196825611551e-09,3.8018378667459274e-08
1851,0.0,4.385618312952033e-08
1852,0.0,3.6459056218518526e-08
1853,1.1943863675867306e-09,1.8512988253505114e-08
1854,0.0,5.195664326551608e-08
1855,1.5920811335945473e-09,5.837630823180007e-08
1856,1.5531567143511893e-09,3.416944838185998e-08
1857,4.881509085841174e-10,3.758761929484322e-08
1858,6.361778659424999e-09,2.985142349976044e-08
1859,0.0,3.9718951461154006e-08
1860,0.0,4.7144995019010594e-08
1861,9.431927461278633e-10,3.159695727283918e-08
1862,9.035972525772706e-10,5.963741878112216e-08
1863,6.493007020935693e-09,6.44306092922875e-08
1864,2.8768367688059016e-09,3.1165731328997026e-08
1865,4.706844358715045e-10,4.0008176993566735e-08
1866,0.0,5.3035180247462677e-08
1867,0.0,7.085104947179843e-08
1868,4.93987406535723e-10,3.655506863875502e-08
1869,3.4184632902167778e-09,5.9578933786497146e-08
1870,5.734048791339319e-10,3.325748210158963e-08
1871,1.0621177271019633e-09,3.3987768155441245e-08
1872,4.23313739617015e-09,2.8422494580127022e-08
1873,1.1972008939764578e-09,4.609223613893931e-08
1874,1.1949218281515073e-09,3.465273434866134e-08
1875,5.721527140956084e-10,5.37823534041415e-08
1876,6.04601479992084e-10,1.3119852204646065e-07
1877,2.4739263970730008e-09,7.359931242234552e-08
1878,3.01954443671093e-08,6.039088495946032e-08
1879,1.832797580370027e-09,6.231511817667013e-08
1880,1.9253538763308597e-09,5.840240113741402e-08
1881,3.4862537301449947e-09,7.39085828649344e-08
1882,6.655385131892899e-10,5.72363105799667e-08
1883,0.0,6.256145690386461e-08
1884,6.601696966868076e-10,6.799748053509802e-08
1885,0.0,4.8986831480135606e-08
1886,3.2267319927115068e-09,1.432668983447627e-07
1887,6.528924623161458e-10,4.5702472695197116e-08
1888,1.268122939990235e-09,7.101488730398842e-08
1889,0.0,4.38559561999341e-08
1890,1.9663159989136147e-09,5.30905321927122e-08
1891,2.5496880162734215e-09,3.1233678754460925e-08
1892,0.0,5.3282354528505493e-08
1893,6.158416554491453e-10,5.604158925809344e-08
1894,0.0,5.9234470217717217e-08
1895,2.4074457982692365e-09,3.009307247836546e-08
1896,1.179405795248556e-09,3.892039046604623e-08
1897,1.1653427112179315e-09,1.0604618772003249e-07
1898,6.7900258748920805e-09,3.168678830434146e-08
1899,5.527578395003729e-10,4.2009595802028343e-08
1900,2.07642125715779e-09,6.540726882331427e-08
1901,1.676621730339889e-09,9.724405547473225e-08
1902,4.910283846193408e-10,4.2228442520553244e-08
1903,0.0,5.184211371300762e-08
1904,0.0,8.868131384787148e-08
1905,2.580379465655369e-09,3.354493505192124e-08
1906,5.144184522798412e-10,3.4980454532984595e-08
1907,1.5428529565042481e-09,5.399985647525085e-08
1908,1.964555629285769e-09,5.107844502916237e-08
1909,1.6502950117569526e-09,6.10609176554533e-08
1910,0.0,6.145773223664719e-08
1911,0.0,4.2030957048133644e-08
1912,0.0,4.740573222861144e-08
1913,0.0,7.795395084997381e-08
1914,3.3483718020477227e-09,3.9510787530616653e-08
1915,1.4136913861761968e-08,1.272322291967498e-07
1916,3.2962386153911893e-09,1.823918740484487e-07
1917,1.0966424213165737e-08,5.2638836400831224e-08
