year,plusieurs_DET effets_NOUN,plusieurs_DET méfaits_NOUN
1800,4.2131804889322666e-07,6.288328968651058e-09
1801,2.1668762184567925e-07,0.0
1802,2.193083332713286e-07,0.0
1803,2.4964342060229683e-07,0.0
1804,3.831368928786105e-07,0.0
1805,3.553597025529598e-07,0.0
1806,3.169836020333605e-07,0.0
1807,3.217059161286784e-07,0.0
1808,1.5182695767279597e-07,0.0
1809,2.710836701780295e-07,0.0
1810,3.416584966053904e-07,0.0
1811,2.507076715119183e-07,0.0
1812,3.6007310333374676e-07,0.0
1813,2.2143210287595139e-07,0.0
1814,1.258670891957081e-07,0.0
1815,2.616306777891708e-07,0.0
1816,1.367386346373678e-07,0.0
1817,1.4945985071790346e-07,1.556873407970727e-09
1818,1.871624846216946e-07,0.0
1819,2.0598589856035687e-07,0.0
1820,1.2578469377189094e-07,0.0
1821,1.7947908981241767e-07,0.0
1822,1.6442010064565693e-07,1.0025615893027862e-09
1823,2.114894958049618e-07,0.0
1824,2.871599420473103e-07,1.6842225392110777e-09
1825,1.8931703205105066e-07,7.044354433105582e-09
1826,1.964180569302698e-07,7.0463874735082754e-09
1827,2.4610119364609773e-07,9.217273055917019e-10
1828,2.311419962097716e-07,0.0
1829,1.3031227030779746e-07,8.57317605795771e-10
1830,1.7846988864533841e-07,1.3567886369969528e-08
1831,1.5279381671007286e-07,7.795603274018958e-09
1832,1.6235962618793565e-07,1.352996914505411e-08
1833,1.3205335847032984e-07,0.0
1834,1.8295681059044e-07,4.667265685043276e-09
1835,1.414297514656937e-07,1.1344631900556124e-08
1836,1.223176533393655e-07,2.688300071440608e-08
1837,1.4541991832928147e-07,4.174734336004349e-09
1838,1.180374269438289e-07,5.680945491803868e-09
1839,1.7268944052517554e-07,1.3283802502428443e-08
1840,1.2166105134436833e-07,8.917564464638872e-09
1841,1.2455864739635558e-07,5.778493683550323e-09
1842,1.3014033850566875e-07,6.708265054555795e-09
1843,1.0337094313861428e-07,5.31621990873532e-09
1844,1.0153838303494922e-07,7.1351298203126134e-09
1845,1.0714037435022306e-07,7.254296274794569e-09
1846,1.3640988250074315e-07,3.5127007969038004e-09
1847,1.0624650759183396e-07,8.089835468183537e-09
1848,8.045221933095092e-08,1.528592186161859e-08
1849,1.0474268918869711e-07,2.3462362719328667e-08
1850,1.106606379863706e-07,4.073397619208663e-09
1851,1.3479326499421518e-07,7.094382858952031e-09
1852,9.049658444837405e-08,1.9531636308300904e-09
1853,1.009256465067665e-07,2.388772735173461e-09
1854,1.1014808753984084e-07,1.1950028522278444e-08
1855,7.801197199341914e-08,5.306937111981824e-09
1856,6.419714426719736e-08,2.0708756931497874e-09
1857,9.079606688722208e-08,2.4407544874094356e-09
1858,1.3017178490670744e-07,1.468102750479261e-09
1859,1.5887580562257142e-07,5.092173349652285e-10
1860,9.06282391355262e-08,1.327383358784573e-08
1861,1.0799556982021841e-07,3.3011746669586728e-09
1862,7.36431791104053e-08,5.421583626485926e-09
1863,7.641769939059628e-08,2.597202808374277e-08
1864,7.671565072087105e-08,6.233146443435089e-09
1865,6.824924231318974e-08,1.0825742080555756e-08
1866,7.24976345622963e-08,2.432806400776144e-09
1867,8.152723474097456e-08,2.6690463172940326e-08
1868,6.323038803657255e-08,6.421836395986702e-09
1869,5.762552746091387e-08,2.9301114867763545e-09
1870,9.633201969450056e-08,7.454262984651905e-09
1871,1.3276471300116555e-07,1.911811864374613e-08
1872,7.49870068261771e-08,5.442605477412599e-09
1873,8.55998649740286e-08,4.190203295451056e-09
1874,6.153847564860371e-08,5.377148060148329e-09
1875,9.783811361074868e-08,1.3731664694205392e-08
1876,6.95291717534019e-08,1.0278225381910033e-08
1877,5.937423352975202e-08,1.7317484335421796e-08
1878,7.065733931277407e-08,7.2469061862534545e-09
1879,9.897106734158001e-08,1.221865053580018e-09
1880,7.829772497025544e-08,2.5671385017744797e-09
1881,6.275257163901315e-08,5.5780060570498335e-09
1882,6.788492612486152e-08,1.0648616211028639e-08
