year,mauvais_ADJ archers_NOUN,mauvais_ADJ marchés_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,1.7902721083373763e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,3.9549615138412264e-08
1805,0.0,4.264316544322355e-08
1806,0.0,5.76333825108577e-09
1807,0.0,8.540865792383556e-09
1808,0.0,2.945896149242344e-08
1809,0.0,4.518061036407062e-09
1810,0.0,2.574139479349924e-08
1811,0.0,4.011322829455821e-08
1812,0.0,4.267533171287141e-08
1813,0.0,2.300593315851529e-08
1814,0.0,4.090680150170556e-08
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,1.8682481339737933e-08
1818,0.0,2.384235386898581e-08
1819,0.0,3.3123360054787554e-08
1820,0.0,5.577246042776096e-08
1821,0.0,3.550135829755163e-08
1822,0.0,1.604098542884458e-08
1823,0.0,1.1859224713361982e-08
1824,0.0,2.3579115548955087e-08
1825,0.0,1.7610886970942374e-08
1826,0.0,2.554315514657901e-08
1827,0.0,1.935627302884768e-08
1828,0.0,3.944089499441361e-08
1829,0.0,3.257806824308318e-08
1830,0.0,1.461157062010443e-08
1831,0.0,3.4300654760954785e-08
1832,0.0,1.6235963684607668e-08
1833,0.0,2.0850531967653296e-08
1834,0.0,6.534171426153534e-09
1835,0.0,2.571449897459388e-08
1836,1.008112526790228e-08,2.016225053580456e-08
1837,0.0,2.7831564608504777e-08
1838,1.2624323808552163e-09,1.7674054220151447e-08
1839,0.0,1.0487212875887053e-08
1840,0.0,5.732719632334238e-09
1841,0.0,5.1364388298225094e-09
1842,6.037438549100216e-09,4.695785538189057e-09
1843,0.0,4.7255288571079745e-09
1844,0.0,8.232841963717874e-09
1845,0.0,1.0044410636567136e-08
1846,0.0,6.439951683034906e-09
1847,0.0,1.240441438454809e-08
1848,1.6090443422100975e-09,2.413566457803995e-09
1849,0.0,3.3517659758786067e-09
1850,0.0,7.467895635215882e-09
1851,0.0,5.8044946626978344e-09
1852,0.0,1.4323200403509873e-08
1853,0.0,9.555090940693844e-09
1854,5.195664454227256e-10,1.506742641765868e-08
1855,5.306937111981824e-10,2.1227748447927297e-08
1856,6.212626857404757e-09,6.212626857404757e-09
1857,0.0,7.322263684272912e-09
1858,0.0,9.297984604472731e-09
1859,0.0,1.9350258284589472e-08
1860,0.0,4.57718396518203e-09
1861,0.0,2.8295783494058924e-09
1862,0.0,9.035972858839614e-09
1863,0.0,6.493007020935693e-09
1864,0.0,1.4384183621984903e-08
1865,0.0,9.41368871743009e-10
1866,0.0,2.238181906477621e-08
1867,0.0,3.396968040192405e-09
1868,0.0,5.9278488784286765e-09
1869,0.0,1.2697149998075474e-08
1870,0.0,9.17447806614291e-09
1871,0.0,4.248470908407853e-09
1872,0.0,4.8378714367913744e-09
1873,0.0,8.979006871356887e-09
