year,plusieurs_DET airs_NOUN,plusieurs_DET mères_NOUN
1800,1.7292904752608251e-07,4.0874140072588716e-08
1801,1.5477686554632442e-07,6.191074675143682e-08
1802,8.503792514602537e-08,4.4756802708434407e-08
1803,6.436119459607426e-08,7.996390749553939e-08
1804,3.213406074564773e-08,1.2359254952798437e-08
1805,5.970043259750923e-08,7.67576988636165e-08
1806,7.492339904047185e-08,6.051505341275742e-08
1807,1.5088861937684328e-07,2.8469550272802735e-08
1808,5.4385776326881796e-08,3.3991109926745366e-08
1809,9.26202483597649e-08,1.8072244367672852e-08
1810,1.7082924808065059e-07,8.190443878675069e-08
1811,1.3287506828163487e-07,1.504245972228091e-08
1812,1.0135391326215881e-07,5.3344164641089264e-09
1813,3.3358602280486593e-07,5.4639090807384605e-08
1814,1.0069366851439554e-07,2.8320094713762956e-08
1815,4.315557666778602e-08,3.776112889042338e-08
1816,3.476405652236281e-08,8.343373991692715e-08
1817,7.784366895524641e-08,4.826307498095872e-08
1818,9.65615398751396e-08,7.510341681893351e-08
1819,5.796588153916815e-08,1.6561680027393777e-08
1820,1.008650931666466e-07,2.254631414899677e-08
1821,7.001656587846128e-08,4.5362846701202386e-08
1822,7.719724237631453e-08,3.107940926838637e-08
1823,6.917880579493385e-08,2.5694986804936093e-08
1824,7.747423769188799e-08,4.210556348027694e-08
1825,9.509878795554982e-08,3.5221772387572514e-08
1826,5.6371100232155413e-08,3.963592831723872e-08
1827,5.438191230666689e-08,1.3825909916942436e-08
1828,7.979901983645732e-08,1.834460228167245e-08
1829,4.2865879568143583e-08,1.800366922211083e-08
1830,1.565525344915386e-07,2.400472176589119e-08
1831,8.886987146183856e-08,2.6505050376712802e-08
1832,6.088486359523415e-08,2.570694235259907e-08
1833,7.29768601104297e-08,4.054269897579843e-08
1834,4.480574888887645e-08,1.8669062296083894e-08
1835,8.168134968400409e-08,1.4369867074037757e-08
1836,7.056787687531596e-08,2.688300071440608e-08
1837,1.0506415115685286e-07,1.8090515752078318e-08
1838,6.249040174211018e-08,1.7042836919500814e-08
1839,8.040196608494199e-08,1.887698375391267e-08
1840,6.624476167615967e-08,2.293087852933695e-08
1841,6.741575875324202e-08,2.632424900284036e-08
1842,4.494537408916699e-08,2.817471322913434e-08
1843,4.961805233349992e-08,5.2571509367993485e-08
1844,6.421616793872431e-08,2.4149669375361782e-08
1845,3.5713458523822794e-08,2.287893519081763e-08
1846,4.156696142842975e-08,1.3465353276842507e-08
1847,2.9662729161827883e-08,1.3483059113639229e-08
1848,4.505324158188273e-08,2.815827571112095e-08
1849,5.195237151589538e-08,1.1731180693530519e-08
1850,2.2403686905647646e-08,2.851378422263906e-08
1851,2.3217978650791338e-08,2.2573035662887264e-08
1852,3.841221940525941e-08,2.2135854926830234e-08
1853,5.076142151061447e-08,2.4484920535527976e-08
1854,4.0006614743237634e-08,3.16935526711859e-08
1855,4.086341576226005e-08,3.8209947206269135e-08
1856,5.539592551340178e-08,1.6049286344355096e-08
1857,7.908045018822918e-08,3.270611070860241e-08
1858,3.083015964744362e-08,4.15962464472841e-08
1859,3.05530396538245e-08,4.430190814197488e-08
1860,7.00309170653668e-08,2.471679283466699e-08
