year,quelques_DET eaux_NOUN,quelques_DET mots_NOUN
1800,7.074370231840987e-07,5.719234977163978e-06
1801,4.5242469548512076e-07,5.057631682348074e-06
1802,2.215461734067503e-07,5.314870406891714e-06
1803,3.58862413563088e-07,4.045003542785253e-06
1804,1.9527622896475805e-07,6.00165390096663e-06
1805,2.4164460610265337e-07,4.639576616227714e-06
1806,1.671368039524168e-07,3.913306571234898e-06
1807,5.209927849136875e-07,3.869011948154366e-06
1808,3.8296650961555656e-07,5.162116366363989e-06
1809,2.6882463544097845e-07,4.748481984506725e-06
1810,1.8955026881428694e-07,6.039867230356322e-06
1811,1.6546706893549867e-07,5.711120664386726e-06
1812,2.827240734859515e-07,6.249268679425768e-06
1813,2.5594101771275746e-07,5.581814406241392e-06
1814,1.2272040805783035e-07,6.608021863030444e-06
1815,1.3755840200246894e-07,5.9042221778327075e-06
1816,2.827476599520651e-07,5.997958851367002e-06
1817,3.0826092256575066e-07,5.5969598804495035e-06
1818,1.4663048819585356e-07,5.493278536050639e-06
1819,2.411794675083456e-07,5.806939157082525e-06
1820,1.6494408328071586e-07,6.372300560997246e-06
1821,2.2188348380858258e-07,6.941501624169177e-06
1822,9.223566621585633e-08,6.439453215989488e-06
1823,1.1661570775700625e-07,6.879338485532571e-06
1824,1.7515914407795208e-07,6.8244696649344405e-06
1825,1.0654586324321258e-07,6.9809552769584116e-06
1826,1.2771577084791375e-07,6.952142001637185e-06
1827,2.3135354698666788e-07,6.64012347328935e-06
1828,1.797770985412228e-07,7.66987832889754e-06
1829,1.6803425140210493e-07,8.592036579102569e-06
1830,1.5863990387998683e-07,9.279390837946266e-06
1831,1.8709446880649239e-07,9.61821461942236e-06
1832,2.597754102939831e-07,1.0510080016956636e-05
1833,2.0618858442844612e-07,1.0987071505041968e-05
1834,1.54953209374753e-07,1.0169037693685823e-05
1835,1.4218605315363675e-07,9.916721239733306e-06
1836,1.5726554947192994e-07,1.036675723753433e-05
1837,1.315041417981888e-07,1.0358907957197516e-05
1838,8.39517539930057e-08,9.773751060038194e-06
1839,1.2514740621583087e-07,1.1161191139308357e-05
1840,1.1338045879938363e-07,1.1215747576898139e-05
1841,1.585875448739671e-07,1.2170149943813158e-05
1842,6.708265187782558e-08,1.2315703770582331e-05
1843,9.982679527453797e-08,1.26047575577104e-05
1844,1.158086453401097e-07,1.2754318504448747e-05
1845,8.705155485344562e-08,1.2659304616136069e-05
1846,1.042101231973902e-07,1.3913807947574242e-05
1847,1.429204301572895e-07,1.3632990544465429e-05
1848,1.5044565060406967e-07,1.5073527265485609e-05
1849,1.080944542763973e-07,1.6360807308046788e-05
1850,1.7108270089494226e-07,1.4449020454776473e-05
1851,1.0706068653831835e-07,1.3319381196197355e-05
1852,8.593920131083621e-08,1.3021090921938594e-05
1853,1.3616004856942254e-07,1.4817557485002908e-05
1854,1.3560684219982022e-07,1.2721584198516211e-05
1855,9.287139945968192e-08,1.3641481473314343e-05
1856,1.0561466279312981e-07,1.3772876400253153e-05
1857,1.2740739041561255e-07,1.4588390172320942e-05
1858,2.1091743818146824e-07,1.5096990068741434e-05
1859,1.3341493776408697e-07,1.5085563859429385e-05
1860,1.1122556919929139e-07,1.5255753851306508e-05
1861,1.4289369998365942e-07,1.5369325979008863e-05
1862,1.897554264829182e-07,1.5320491229431354e-05
1863,8.940371343246767e-08,1.573705105784029e-05
1864,1.3377291452343343e-07,1.5689308952460124e-05
1865,7.578019678433634e-08,1.5563651686534286e-05
1866,9.244664234131506e-08,1.5845841971895425e-05
1867,7.76449837758264e-08,1.6432590086878918e-05
1868,1.1411109124281893e-07,1.6607856423433986e-05
1869,1.0353060631018707e-07,1.6346603388228687e-05
1870,1.272958884968034e-07,1.5702119071647758e-05
1871,7.647247701747517e-08,1.7095847738346492e-05
1872,7.377753852289004e-08,1.7735636447469005e-05
1873,1.1493128937445363e-07,1.785445590485324e-05
1874,1.0754296697612631e-07,1.787901862826402e-05
1875,9.040012827199462e-08,1.7604567688067618e-05
1876,7.738899010512057e-08,1.6305497410940006e-05
1877,6.555904719096617e-08,1.61763866799447e-05
1878,6.280652220524985e-08,1.6216161043303146e-05
1879,6.598071577990083e-08,1.813858762034215e-05
1880,7.380522948352564e-08,1.667613219069608e-05
1881,6.554156950500101e-08,1.7950023675439297e-05
1882,5.790185153564664e-08,1.6817493133203243e-05
1883,8.341527646393843e-08,1.6611014189038542e-05
1884,6.007544151032107e-08,1.6943256127888162e-05
1885,7.541393554078013e-08,1.6738026602070022e-05
1886,6.517998230037847e-08,1.6000718346731446e-05
1887,8.226445036285668e-08,1.5979543150024256e-05
1888,7.989174743983085e-08,1.5934599105094094e-05
