year,quelles_DET mines_NOUN
1800,0.0
1801,1.9049460009412655e-08
1802,6.713520406265161e-09
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,1.7081730252499483e-08
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,4.3136125782439194e-08
1814,0.0
1815,8.091670444798638e-09
1816,4.6352077731626196e-09
1817,0.0
1818,0.0
1819,1.552657524772627e-08
1820,1.1866481131050932e-09
1821,1.3806083387635226e-08
1822,2.0051231786055723e-09
1823,0.0
1824,4.210556348027694e-09
1825,9.685987789609385e-09
1826,3.5231936257318353e-09
1827,6.452091305675367e-09
1828,6.420610709767516e-09
1829,1.1145129263923081e-08
1830,6.262101504006523e-09
1831,4.677361609140007e-09
1832,4.058990921151917e-09
1833,1.50587169400751e-08
1834,0.0
1835,7.563087933704082e-10
1836,8.736975143364134e-09
1837,7.653680134112051e-09
1838,2.651108044204875e-08
1839,4.894032734625853e-09
1840,6.369688554386244e-09
1841,9.630822805917205e-09
1842,2.683306021822318e-09
1843,3.5441467538532834e-09
1844,1.4819115712327857e-08
1845,7.812319346989227e-09
1846,3.5127007969038004e-09
1847,6.47186837454683e-09
1848,2.4135665133151463e-09
1849,2.513824481908955e-09
1850,5.431196825611551e-09
1851,6.449438760824933e-10
1852,1.3021090872200602e-09
1853,6.569124799682413e-09
1854,1.610655964157104e-08
1855,1.2205955357558196e-08
1856,1.346069211649592e-08
1857,1.1715621583974212e-08
1858,6.361778992491907e-09
1859,9.675129142294736e-09
1860,4.577183909670879e-10
1861,4.244367413086536e-09
1862,5.873382225018986e-09
1863,5.993545049154392e-09
1864,5.753673759656408e-09
1865,1.4120533076145136e-09
1866,1.1190909532388105e-08
1867,1.552899675516528e-08
1868,9.385760946223343e-09
1869,1.8069021279210062e-08
1870,4.587239033071455e-09
1871,5.310588635509816e-09
1872,6.0473391849669156e-09
1873,1.7958013409646867e-09
1874,9.559374181122848e-09
1875,2.2886108008712824e-09
1876,2.2370254981751714e-08
1877,2.288381839576914e-08
1878,8.454723976480949e-09
1879,2.138263877071722e-08
1880,1.3477477356360623e-08
1881,6.972507682334594e-09
1882,1.4641846846075168e-08
1883,1.579834751908038e-08
1884,7.2618666635548834e-09
1885,4.511944928786704e-09
1886,2.0005737511041843e-08
1887,8.487601843576442e-09
1888,6.974675947901687e-09
1889,1.3783301167080708e-08
