year,tels_ADJ auteurs_NOUN
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,1.5602713787643552e-08
1804,0.0
1805,3.1271653710973624e-08
1806,2.881669125542885e-08
1807,1.7081731584767113e-08
1808,4.078933102391602e-08
1809,1.5813214071513926e-08
1810,1.8721014072298203e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,0.0
1814,3.4613449884091096e-08
1815,3.236668177919455e-08
1816,1.8540831092650478e-08
1817,1.8682481339737933e-08
1818,2.384235475716423e-09
1819,2.2772310259711048e-08
1820,2.3732962262101864e-08
1821,1.7750679148775816e-08
1822,5.012807946513931e-09
1823,2.174191138237802e-08
1824,1.6842225392110777e-08
1825,7.924898959288385e-09
1826,2.6423952803611428e-08
1827,1.8434546333878643e-08
1828,1.6510142586412258e-08
1829,1.2002446148073886e-08
1830,1.2524203008013046e-08
1831,1.870944643656003e-08
1832,1.0823975493678972e-08
1833,0.0
1834,1.0267983796552471e-08
1835,2.193295500774184e-08
1836,1.5457725766054864e-08
1837,1.6698937344017395e-08
1838,1.64116205070286e-08
1839,2.4470162784950844e-08
1840,1.0191501864653674e-08
1841,2.43980835534785e-08
1842,2.95163662400455e-08
1843,2.8353174030826267e-08
1844,1.3721403568922597e-08
1845,6.696273757711424e-09
1846,5.854501328173001e-09
1847,1.0786447290911383e-09
1848,1.448139919091318e-08
1849,8.379414939696517e-10
1850,4.752297222410107e-09
1851,1.1608989325395669e-08
1852,4.362065553209504e-08
1853,2.5679307569248522e-08
1854,2.234135720868835e-08
1855,1.0083180512765466e-08
1856,1.1907535402144731e-08
1857,1.6597130780837688e-08
1858,1.4191660291373864e-08
1859,6.619825576592575e-09
1860,1.0985241161165504e-08
1861,1.4619487842537637e-08
1862,1.1746764450037972e-08
1863,2.597202808374277e-08
1864,9.109982990196386e-09
1865,1.0825742080555756e-08
1866,3.4059290943133647e-09
1867,4.367530337390235e-09
1868,1.0867722721741302e-08
1869,9.767038733343725e-09
1870,3.4404292748035914e-09
1871,9.559059321873065e-09
1872,2.2979889990892843e-08
1873,8.979006871356887e-09
1874,2.9873046258899194e-09
