year,aux_ADP âges_NOUN,aux_ADP ages_NOUN,aux_ADP mages_NOUN
1800,2.0122652699683385e-07,3.144164484325529e-09,8.803660733747165e-08
1801,1.6668277891263017e-07,2.3811825844433088e-09,9.048493865293494e-08
1802,1.991677720525331e-07,4.475680270843441e-09,2.0364345232337655e-07
1803,2.691468239390815e-07,3.900678446910888e-09,5.460949648039559e-08
1804,2.2988213288499537e-07,1.2359254952798437e-08,9.393033550963992e-08
1805,2.4448747915073454e-07,0.0,5.401467717547348e-08
1806,2.5935023018064385e-07,2.881669125542885e-09,3.7461699520235925e-08
1807,1.9074599766355504e-07,0.0,1.1103124819555887e-07
1808,2.311395519427606e-07,2.2660739951163578e-09,1.540930298915555e-07
1809,1.6942729530455836e-07,6.7770917766551975e-09,5.873479524964864e-08
1810,2.5507381451461697e-07,0.0,1.5444836520828176e-07
1811,1.9555199060050654e-07,2.5070767684098882e-09,1.7549537290051376e-07
1812,1.3336041604361526e-07,8.00162469616339e-09,6.934741314523762e-08
1813,2.3005932803243923e-07,1.1502966579257645e-08,8.627225156487839e-08
1814,3.3354777428939997e-07,9.440030979135372e-09,4.720015844839054e-08
1815,2.939973740012647e-07,0.0,2.2656677600707553e-07
1816,4.843791998609959e-07,0.0,7.648092648082638e-08
1817,2.942490830992739e-07,1.556873407970727e-09,7.784366928831332e-08
1818,1.9073883095188648e-07,2.384235475716423e-09,7.033494675567908e-08
1819,2.5360071731483913e-07,3.105315005136333e-09,1.914944185443801e-07
1820,3.061552149574709e-07,1.1866481131050932e-09,6.051905465653817e-08
1821,4.4278081645643397e-07,9.861488070583846e-09,1.3806083742906594e-07
1822,3.18814585398286e-07,4.010246357211145e-09,1.2532019866284827e-07
1823,3.033984796729783e-07,2.9648061783404955e-09,8.40028399062831e-08
1824,2.509491467961311e-07,1.6842225392110777e-09,9.01059031832574e-08
1825,3.786340414535516e-07,7.044354655150187e-09,1.5321470669960036e-07
1826,2.968290777616289e-07,8.807984341885344e-10,7.39870689159261e-08
1827,2.8297027898638305e-07,4.608636583469661e-09,1.0968555191892548e-07
