year,autres_ADJ eaux_NOUN,autres_ADJ mots_NOUN
1800,3.6157891258881136e-07,2.6788281957124127e-06
1801,4.690929813477851e-07,2.4430933081021067e-06
1802,4.430923468135006e-07,1.7253747728318558e-06
1803,4.661310697429144e-07,1.4998108781583142e-06
1804,3.1392505661642645e-07,1.5251320064635365e-06
1805,3.5251684948889306e-07,8.471775458929187e-07
1806,2.507052272449073e-07,1.103679323932738e-06
1807,4.5551280436484376e-07,1.016362944028515e-06
1808,3.7163613342272583e-07,1.395901563228108e-06
1809,3.95330346236733e-07,1.2492438372646575e-06
1810,4.0250179722534085e-07,1.6100071889013634e-06
1811,3.93611060189869e-07,8.122928534248786e-07
1812,2.0804223765935603e-07,9.28188455873169e-07
1813,2.3581081620704936e-07,7.045567258501251e-07
1814,3.8704129678990284e-07,9.943499890141538e-07
1815,5.475363877849304e-07,1.3216395018389449e-06
1816,3.221469455638726e-07,9.363119488625671e-07
1817,2.9424907665998035e-07,1.1863374993481557e-06
1818,2.944530876902718e-07,7.367287366832898e-07
1819,1.418093802385556e-07,1.0589124030957464e-06
1820,2.75302369345809e-07,7.226686875583255e-07
1821,1.64686852599516e-07,9.86148847914592e-07
1822,4.3811940031446284e-07,1.132894567490439e-06
1823,1.7492355652848346e-07,1.0347173429181566e-06
1824,1.4652735558229324e-07,9.1958548864568e-07
1825,1.6730341201309784e-07,7.889676680861157e-07
1826,2.395771616647835e-07,8.807984386294265e-07
1827,2.497880871032976e-07,7.696423267589125e-07
1828,2.017906268747538e-07,9.117267723013356e-07
1829,3.1720750826025323e-07,1.0450701211084379e-06
1830,2.6092089910889626e-07,8.56864232900989e-07
1831,3.2117884529725416e-07,9.51063555021392e-07
1832,2.3948047100930125e-07,8.956839678830875e-07
1833,4.888291300630954e-07,1.3054749388174969e-06
1834,2.3616362909706368e-07,1.0090627711178968e-06
1835,2.4201881387853064e-07,1.1571524964892888e-06
1836,2.022945722046643e-07,8.804182698440854e-07
1837,3.4302402696084755e-07,8.460795584142033e-07
1838,2.745790368408052e-07,8.578227834732388e-07
1839,2.195323247633496e-07,8.536591167285223e-07
1840,1.745294753163762e-07,9.70103542385914e-07
1841,3.1332277217188675e-07,1.4497599067908595e-06
1842,2.2875184413351235e-07,1.305428327214031e-06
1843,1.8193286166479083e-07,9.728682925924659e-07
1844,2.952845932213677e-07,8.018787980290654e-07
1845,1.975400749643086e-07,9.971867029889836e-07
1846,2.494017508070101e-07,9.46087425290898e-07
1847,1.3213397664912918e-07,8.618371225566079e-07
1848,2.156119478513574e-07,8.294623512483668e-07
1849,2.379753851755595e-07,7.767717420392728e-07
1850,1.4867900688386726e-07,8.751015911911963e-07
1851,1.8703372006712016e-07,6.662270379820256e-07
1852,2.070353417593651e-07,9.466332926422183e-07
1853,2.0125409605498135e-07,8.486115348205203e-07
1854,2.5043101459232275e-07,6.494580588878307e-07
1855,2.3987354325072374e-07,8.42741599171859e-07
1856,2.619657664126862e-07,7.615645358782785e-07
1857,2.260138671772438e-07,1.0539177992541227e-06
1858,2.0406629630542739e-07,1.045778617481119e-06
1859,2.933091991508263e-07,1.0398217682450195e-06
1860,2.7600418661677395e-07,6.957319556022412e-07
1861,1.9288292207875202e-07,7.191844701992522e-07
1862,1.8840002269371325e-07,7.066130365274148e-07
1863,1.62325179076106e-07,9.8094358236267e-07
1864,3.509740906793013e-07,8.021580129025097e-07
1865,1.6897571697427338e-07,6.631943847423827e-07
1866,2.228450739494292e-07,8.096379815469845e-07
1867,1.4558435168510186e-07,8.002286335795361e-07
1868,2.1834243568719103e-07,9.010330472847272e-07
1869,1.802018516627868e-07,1.0831645340658724e-06
1870,1.9782468996254465e-07,8.354509191121906e-07
1871,1.7524942563795776e-07,1.0185708561039064e-06
1872,1.5844028666833765e-07,8.744452770770295e-07
1873,2.5141218884527916e-07,7.5303938729121e-07
1874,1.9357733549441036e-07,9.786409691514564e-07
1875,1.6821289250401605e-07,9.514899375062669e-07
1876,1.7956664066787198e-07,1.0121028708454105e-06
1877,1.9667714923343738e-07,8.095923931250582e-07
1878,1.2923649705953721e-07,8.388294077121827e-07
1879,1.3135048959611595e-07,7.929904199954763e-07
1880,2.387438939877029e-07,8.234096640080679e-07
1881,1.6176217343399912e-07,9.615088174541597e-07
1882,1.6705016037121823e-07,7.300957349798409e-07
1883,1.8262889511788671e-07,1.0016152600655914e-06
1884,1.577805619490391e-07,8.668027930980315e-07
1885,2.6298192778995144e-07,9.030335377246956e-07
1886,2.1619104018100188e-07,7.072996481838345e-07
1887,1.730165024582675e-07,8.161155733432679e-07
1888,2.1241059755539027e-07,7.596056548209162e-07
1889,1.5349584714385855e-07,6.841529511802946e-07
1890,1.4419650540276052e-07,8.946737466430932e-07
1891,1.2557212869523937e-07,7.610818784087314e-07
1892,1.9495072933750635e-07,7.986084824551654e-07
1893,1.9337427659138484e-07,6.946693815734761e-07
1894,1.7203201707616245e-07,7.650068596376514e-07
1895,1.474560491487864e-07,8.173278729373123e-07
1896,1.9342255086485238e-07,7.223860620797495e-07
1897,1.3692776690277242e-07,7.580554211017443e-07
1898,1.9181823063263437e-07,7.672729225305375e-07
1899,2.4542447363273823e-07,8.379809059988474e-07
1900,1.4586859720111534e-07,7.854063142076484e-07
1901,1.654266696959894e-07,7.902476681920234e-07
1902,1.4436234607728693e-07,8.352392910637718e-07
1903,1.657867585436179e-07,7.662912366868113e-07
1904,1.6715084427687543e-07,8.798261319498124e-07
1905,1.3882441862733685e-07,9.088096817322366e-07
1906,1.548399524153865e-07,8.873718115864904e-07
1907,1.594281400230102e-07,9.313689588452689e-07
1908,1.2327586773608346e-07,8.383740919271077e-07
1909,1.0671907801906855e-07,8.157958859555947e-07
1910,1.7101282878684287e-07,7.674200332985492e-07
1911,1.4897047151407605e-07,8.922267511479731e-07
1912,1.672224243520759e-07,8.126697252919257e-07
1913,2.036348121237097e-07,9.37568586323323e-07
1914,1.2857748288297444e-07,9.187932619170169e-07
1915,1.2958838624399505e-07,7.739960778962995e-07
1916,1.2415831918133335e-07,6.262853275984526e-07
1917,1.6449637030291342e-07,8.904736432668869e-07
1918,1.1256648946300629e-07,9.545178727421444e-07
1919,1.1878124439590465e-07,9.944476460077567e-07
1920,1.2191293308205786e-07,1.023008508127532e-06
