year,autres_ADJ eaux_NOUN,autres_ADJ maux_NOUN
1800,3.6157891258881136e-07,4.08741385626854e-07
1801,4.690929813477851e-07,9.02468173080706e-07
1802,4.430923468135006e-07,5.930276074650465e-07
1803,4.661310697429144e-07,4.4077665961594903e-07
1804,3.1392505661642645e-07,7.514427124988288e-07
1805,3.5251684948889306e-07,6.538618890772341e-07
1806,2.507052272449073e-07,5.532804721042339e-07
1807,4.5551280436484376e-07,5.665440880875394e-07
1808,3.7163613342272583e-07,3.784343505230936e-07
1809,3.95330346236733e-07,5.082818574919656e-07
1810,4.0250179722534085e-07,7.160787731663731e-07
1811,3.93611060189869e-07,3.9611813917872496e-07
1812,2.0804223765935603e-07,3.6007310200147913e-07
1813,2.3581081620704936e-07,8.224620842156583e-07
1814,3.8704129678990284e-07,4.6570821155000885e-07
1815,5.475363877849304e-07,4.612252268998418e-07
1816,3.221469455638726e-07,6.025770176165679e-07
1817,2.9424907665998035e-07,6.367612286339863e-07
1818,2.944530876902718e-07,6.306302680059162e-07
1819,1.418093802385556e-07,4.2749837803057744e-07
1820,2.75302369345809e-07,6.574030635420058e-07
1821,1.64686852599516e-07,4.802544708581991e-07
1822,4.3811940031446284e-07,5.56421696273901e-07
1823,1.7492355652848346e-07,6.364450086948636e-07
1824,1.4652735558229324e-07,4.800034503205097e-07
1825,1.6730341201309784e-07,6.234253646653087e-07
1826,2.395771616647835e-07,7.416322773678985e-07
1827,2.497880871032976e-07,4.33211823747115e-07
1828,2.017906268747538e-07,4.054157045629836e-07
1829,3.1720750826025323e-07,4.569502891627053e-07
1830,2.6092089910889626e-07,2.8805666829612164e-07
1831,3.2117884529725416e-07,3.149423548620689e-07
1832,2.3948047100930125e-07,4.0319309846381657e-07
1833,4.888291300630954e-07,3.6604265574169403e-07
1834,2.3616362909706368e-07,4.5459165676220437e-07
1835,2.4201881387853064e-07,4.280707912585058e-07
1836,2.022945722046643e-07,6.297343020378321e-07
1837,3.4302402696084755e-07,4.981849883733958e-07
1838,2.745790368408052e-07,4.790931029674539e-07
1839,2.195323247633496e-07,4.2717914539025514e-07
1840,1.745294753163762e-07,4.6562425382035144e-07
1841,3.1332277217188675e-07,3.955057934490469e-07
1842,2.2875184413351235e-07,3.9310432953243435e-07
1843,1.8193286166479083e-07,4.571949148157728e-07
1844,2.952845932213677e-07,4.275589162716642e-07
1845,1.975400749643086e-07,4.3804789129353594e-07
1846,2.494017508070101e-07,4.2328045424255833e-07
1847,1.3213397664912918e-07,4.2067145500368497e-07
1848,2.156119478513574e-07,3.5720785263038124e-07
1849,2.379753851755595e-07,3.1757983265379153e-07
1850,1.4867900688386726e-07,2.919268240475503e-07
1851,1.8703372006712016e-07,2.9796407829962845e-07
1852,2.070353417593651e-07,3.6979898254685395e-07
1853,2.0125409605498135e-07,2.878471150324913e-07
1854,2.5043101459232275e-07,5.164490630704677e-07
1855,2.3987354325072374e-07,4.2402427880006144e-07
1856,2.619657664126862e-07,4.131397020046279e-07
1857,2.260138671772438e-07,3.788051117226132e-07
1858,2.0406629630542739e-07,3.401104891054274e-07
1859,2.933091991508263e-07,3.2131615057551244e-07
1860,2.7600418661677395e-07,3.5061228231825226e-07
1861,1.9288292207875202e-07,3.631292031514022e-07
1862,1.8840002269371325e-07,3.844806428787706e-07
1863,1.62325179076106e-07,4.0656212263456837e-07
1864,3.509740906793013e-07,3.878934933254641e-07
1865,1.6897571697427338e-07,3.878439827076363e-07
1866,2.228450739494292e-07,3.83410309723331e-07
1867,1.4558435168510186e-07,2.489492203494592e-07
1868,2.1834243568719103e-07,3.1368199415737763e-07
1869,1.802018516627868e-07,3.0717336585439625e-07
1870,1.9782468996254465e-07,2.4427046696473553e-07
1871,1.7524942563795776e-07,1.911811864374613e-07
1872,1.5844028666833765e-07,2.527787898998213e-07
1873,2.5141218884527916e-07,2.1908776659529394e-07
1874,1.9357733549441036e-07,2.21060531657713e-07
1875,1.6821289250401605e-07,2.357269153208108e-07
1876,1.7956664066787198e-07,2.2067953864279843e-07
1877,1.9667714923343738e-07,2.139946388979297e-07
1878,1.2923649705953721e-07,2.2163455071222415e-07
1879,1.3135048959611595e-07,2.382636807851668e-07
1880,2.387438939877029e-07,1.424761819635023e-07
1881,1.6176217343399912e-07,1.9801920814188634e-07
1882,1.6705016037121823e-07,1.9899601966244518e-07
1883,1.8262889511788671e-07,1.965314453400424e-07
1884,1.577805619490391e-07,1.7428479281988984e-07
1885,2.6298192778995144e-07,1.9659188410514616e-07
1886,2.1619104018100188e-07,1.800516429284471e-07
1887,1.730165024582675e-07,2.134958378974261e-07
1888,2.1241059755539027e-07,2.0353373031412048e-07
1889,1.5349584714385855e-07,1.6665264013226988e-07
1890,1.4419650540276052e-07,1.723803677577962e-07
1891,1.2557212869523937e-07,1.7656589079706464e-07
1892,1.9495072933750635e-07,1.5357855431830103e-07
1893,1.9337427659138484e-07,1.8352081099237694e-07
1894,1.7203201707616245e-07,1.5438770617492992e-07
1895,1.474560491487864e-07,1.4625233291098994e-07
1896,1.9342255086485238e-07,1.4860512465020292e-07
1897,1.3692776690277242e-07,1.812107939258567e-07
1898,1.9181823063263437e-07,1.4655138613761665e-07
1899,2.4542447363273823e-07,1.2492327527979796e-07
1900,1.4586859720111534e-07,1.4794501623782708e-07
1901,1.654266696959894e-07,1.5816131337942352e-07
1902,1.4436234607728693e-07,1.0115184778669573e-07
1903,1.657867585436179e-07,1.3554553390804358e-07
1904,1.6715084427687543e-07,1.2522876602361066e-07
1905,1.3882441862733685e-07,1.0992416576982578e-07
1906,1.548399524153865e-07,1.5278227749604412e-07
1907,1.594281400230102e-07,1.3885677674352337e-07
1908,1.2327586773608346e-07,1.743543123211566e-07
1909,1.0671907801906855e-07,1.2047154029914964e-07
1910,1.7101282878684287e-07,1.555147832732473e-07
1911,1.4897047151407605e-07,1.55354925368556e-07
1912,1.672224243520759e-07,1.4638473544437147e-07
1913,2.036348121237097e-07,1.108324880760847e-07
1914,1.2857748288297444e-07,1.0915692172375202e-07
1915,1.2958838624399505e-07,1.1780761610680202e-07
1916,1.2415831918133335e-07,1.3624452321892022e-07
1917,1.6449637030291342e-07,1.4585344842998893e-07
1918,1.1256648946300629e-07,1.412824275348612e-07
1919,1.1878124439590465e-07,1.6574126959767455e-07
1920,1.2191293308205786e-07,1.4841573658941343e-07
1921,1.2797943327313988e-07,1.0677573669681806e-07
1922,1.2321152098593302e-07,1.1952255363212316e-07
1923,1.2208340649522142e-07,1.5393125352147763e-07
1924,1.3149457345207338e-07,1.740369270919473e-07
1925,1.033828738172815e-07,1.5617412429946853e-07
1926,9.808601930672012e-08,1.248367453854371e-07
1927,1.1929670051813446e-07,1.4271007842125982e-07
1928,1.3254208397484035e-07,1.0968999220040132e-07
