year,mes_DET yeux_NOUN
1800,1.3975810929878207e-05
1801,1.8685139707486087e-05
1802,1.2914575222566782e-05
1803,1.3829855674885039e-05
1804,1.7260935237572994e-05
1805,1.553064100789925e-05
1806,1.152955860561633e-05
1807,1.1683903608172841e-05
1808,1.2961943184564007e-05
1809,1.1480393197871308e-05
1810,1.8075139678330743e-05
1811,1.3091954542687745e-05
1812,1.0132724298728135e-05
1813,1.6345716119303688e-05
1814,1.07679288134932e-05
1815,9.715398959997401e-06
1816,1.0607673061713285e-05
1817,1.6314476170009584e-05
1818,1.4174280011047813e-05
1819,1.4032918215889367e-05
1820,1.7069932596314175e-05
1821,1.7330580476482282e-05
1822,1.5445463645846758e-05
1823,1.5090863030309265e-05
1824,1.5228740267048124e-05
1825,1.3639631163187005e-05
1826,1.167586361816575e-05
1827,1.020444301502721e-05
1828,1.2153298996508966e-05
1829,1.1007958050868183e-05
1830,1.5031131056275626e-05
1831,1.3179246650452114e-05
1832,1.5766473325129482e-05
1833,1.5020490991446422e-05
1834,1.2445730021681811e-05
1835,1.3130276784067973e-05
1836,1.222773312292702e-05
1837,1.1207075317543058e-05
1838,1.1086681013239286e-05
1839,1.094934947332149e-05
1840,1.0147551307682079e-05
1841,1.1194868307029537e-05
1842,1.1515407436490932e-05
1843,1.0542654848677557e-05
1844,9.952957299219634e-06
1845,9.688950143527109e-06
1846,9.883568736768211e-06
1847,8.564438758185133e-06
1848,9.915735404320003e-06
1849,1.1230091985225954e-05
1850,1.0440797353794551e-05
1851,8.94666169415359e-06
1852,1.0207884599822137e-05
1853,1.029561013865532e-05
1854,1.1241339905154746e-05
1855,1.182014119649466e-05
1856,1.0959592202652857e-05
1857,1.2516188860445254e-05
1858,1.1976783127920498e-05
1859,1.1636634098977083e-05
1860,1.3280698681228387e-05
1861,1.2286028606922628e-05
1862,1.3328059765171929e-05
1863,1.2253802651684964e-05
1864,1.2301833464789524e-05
1865,1.1884782395554794e-05
1866,1.0639635320330854e-05
1867,1.0304460005272631e-05
1868,1.0180586286878679e-05
1869,1.174681653992593e-05
1870,1.0306379408575594e-05
1871,9.907434389333503e-06
1872,9.98597096213416e-06
1873,9.599156811646026e-06
1874,9.525319285330625e-06
