year,divers_DET êtres_NOUN,divers_DET maîtres_NOUN
1800,0.0,6.917161954334006e-08
1801,2.3811825844433088e-09,4.5242470436690496e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,2.145373123596528e-08
1804,0.0,1.0628959046243835e-07
1805,0.0,3.695740935505398e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,2.8469550272802735e-08,4.839823830593559e-08
1808,0.0,1.0197333155659294e-07
1809,0.0,1.0617443280125372e-07
1810,3.7442028144596406e-08,5.616304266098382e-08
1811,0.0,4.512738271955641e-08
1812,0.0,1.3336041160272316e-08
1813,0.0,5.751483289628823e-09
1814,0.0,4.405347908686963e-08
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,4.6352077731626196e-09,2.3176038865813098e-08
1817,1.556873407970727e-09,7.628679876692246e-08
1818,2.384235475716423e-09,5.960588467246453e-09
1819,2.070210003424222e-09,4.140420006848444e-09
1820,1.4239777357261119e-08,3.5599443393152796e-09
1821,9.86148829262845e-10,7.001656854299654e-08
1822,9.023054303725075e-09,4.0102463572111446e-08
1823,0.0,5.435477778981124e-08
1824,1.6842225392110777e-09,3.705289586264371e-08
1825,1.7610886082763955e-09,2.905796137042671e-08
1826,8.807984341885344e-10,5.549030190898918e-08
1827,2.7651818612639545e-08,1.6591091167583727e-08
1828,6.420610709767516e-09,3.760643352279658e-08
1829,5.143905745796928e-09,2.1432940755516938e-08
1830,7.305785310052215e-09,1.8786305178153384e-08
1831,0.0,6.236482441579483e-09
1832,0.0,3.5177919244233635e-08
1833,6.950177322551099e-09,1.853380560135065e-08
1834,6.534171426153534e-09,4.947301257551828e-08
1835,1.1344631900556124e-08,3.1764969321557146e-08
1836,2.2178475944656384e-08,3.49478987970997e-08
1837,6.262101948095733e-09,4.731365876864402e-08
1838,7.574594285131298e-09,2.840472923537618e-08
1839,1.2584655095793096e-08,3.425822825420255e-08
1840,2.5478754661634184e-09,4.331388153699933e-08
1841,1.733548060656176e-08,4.943822418113086e-08
1842,1.475818312002275e-08,5.433694738599115e-08
1843,1.1813821920725331e-08,7.265500390207791e-08
1844,8.781698035420504e-09,5.54344696812592e-08
1845,8.928364714222425e-09,1.5066614622583074e-08
1846,4.0981511517657054e-09,2.9857956329593094e-08
1847,4.314578916364553e-09,3.9909856752728956e-08
1848,7.24069959545659e-09,2.011305433313737e-08
1849,8.379414495607307e-09,2.681412802907346e-08
1850,5.431196825611551e-09,1.2966982865236787e-07
1851,3.2247193804124663e-09,4.514607088168532e-08
1852,1.0416872697760482e-08,8.724130950987785e-08
1853,1.5527023222716707e-08,4.598387426391071e-08
1854,1.1430461910322265e-08,3.37718184528768e-08
1855,1.1144567935161831e-08,5.996838936539461e-08
1856,2.0708757375587084e-08,4.193523128748211e-08
1857,2.0990489346672803e-08,6.053071421874279e-08
1858,1.9574704079872163e-09,4.061751113226819e-08
1859,8.147477359443656e-09,4.582955837051372e-08
1860,6.865775947773045e-09,8.193158862468408e-08
1861,9.431927239234028e-09,3.301174444914068e-08
1862,1.1746764450037972e-08,7.319138040084994e-08
1863,4.994620717013731e-09,3.696019279519902e-08
1864,1.4863656971897399e-08,3.548098692629509e-08
1865,4.23615986733239e-09,4.2361600893769946e-08
1866,1.2650593461671633e-08,3.308616669528419e-08
1867,1.3102591012170706e-08,1.6014277903764196e-08
1868,4.939874287401835e-09,3.655506830568811e-08
1869,6.8369265804335555e-09,2.9301114423674335e-08
1870,8.601073631098188e-09,2.5803219116937726e-08
1871,3.611200227737754e-08,1.1683295220166201e-08
1872,5.442605477412599e-09,3.870297293762093e-08
1873,1.3767810003173508e-08,2.334541671089596e-08
1874,4.779687312606029e-09,3.764003730921672e-08
1875,5.721527251978387e-09,2.4030413214859436e-08
1876,8.464420275799966e-09,2.9625471853478302e-08
1877,1.36065949618569e-08,5.00970109840182e-08
1878,1.1474268646338714e-08,3.865016728887838e-08
1879,1.588424503040642e-08,1.8938909107646396e-08
1880,1.9895322722618403e-08,5.2626337954109204e-08
1881,1.3945014920579979e-08,3.2770783919833235e-08
1882,6.655385131892899e-09,6.389169726617183e-08
1883,6.951272890631799e-09,2.0221884611260066e-08
1884,1.1883054540362536e-08,1.7164412113856997e-08
1885,1.4180398189012067e-08,2.5782542323327107e-08
1886,4.5174246565693466e-09,2.3877816057726875e-08
1887,3.9173548849191775e-09,2.154545164501087e-08
1888,8.242799331981132e-09,2.8532765483646472e-08
1889,5.012109394186837e-09,3.3831737855649635e-08
1890,6.554386478008212e-10,3.604912635069013e-08
1891,4.461953917456185e-09,2.1672347472190268e-08
1892,3.1342561879199593e-09,2.7581453565517222e-08
1893,1.0469308087124318e-08,7.390100087434348e-09
1894,5.671385139294216e-09,2.2055386850183822e-08
1895,1.3842813118003505e-08,1.625025980445116e-08
1896,8.845543852942228e-09,1.1794058174530164e-08
1897,4.661370844871726e-09,1.5149455023788505e-08
1898,3.960848538042683e-09,1.1882545614128048e-08
1899,5.527578395003729e-09,4.919544593917635e-08
1900,7.26747462209687e-09,3.478005550228147e-08
1901,5.58873880507349e-09,1.900171220370339e-08
1902,6.38336894454028e-09,9.820567692386817e-09
1903,4.320176216765503e-09,3.4561411066391656e-08
1904,6.449550227216605e-09,1.7198800605910947e-08
1905,5.676835002077496e-09,2.2707340008309984e-08
1906,9.773950537805831e-09,3.189394348623864e-08
1907,3.599990305858114e-09,1.7485666914396347e-08
1908,5.40252820258047e-09,2.3083528422063182e-08
1909,1.1001967337165297e-08,1.870334465081669e-08
1910,9.619471441624228e-09,1.8704527371404822e-08
1911,8.51259862599818e-09,3.617854538173759e-08
1912,7.293189607793238e-09,2.0316742677106703e-08
1913,6.893886794756554e-09,3.606033122105501e-08
1914,4.018046340092951e-09,2.8795998474606677e-08
1915,1.0602685840410686e-08,2.0027295377644805e-08
1916,1.0987461607214755e-08,3.5159879452351106e-08
1917,6.57985488317081e-09,3.947912929902486e-08
1918,9.189101035644853e-09,1.378365155346728e-08
1919,1.3811772170413406e-08,2.4861190439651182e-08
1920,3.786115865267448e-09,2.6502810612782923e-08
1921,3.0290989716519334e-09,3.332008802203745e-08
1922,1.475587119159627e-08,1.770704471937279e-08
1923,4.246379248229459e-09,3.715581797791856e-08
1924,1.1602462102189293e-08,2.8361574311297488e-08
1925,2.0896537833436923e-08,3.8493624288094e-08
1926,1.3375366592072169e-08,2.8979959765251806e-08
1927,4.4596899506643695e-09,2.6758140592164636e-08
1928,4.570416489713125e-09,2.9707706294956893e-08
1929,4.4561625500705304e-09,1.7824650200282122e-08
1930,5.2518016602221e-09,3.151081107155562e-08
1931,6.843213995466613e-09,3.649714130915527e-08
1932,7.6716757391182e-09,1.753525902259412e-08
1933,3.4411986593596566e-09,2.408838994938378e-08
1934,1.0783422155213884e-08,2.6359476379411717e-08
1935,7.180970484910176e-09,2.393656828303392e-08
1936,4.849885826274658e-09,1.576212937948185e-08
1937,7.554670666820584e-09,1.8886676889096066e-08
