year,nos_DET êtres_NOUN,nos_DET maîtres_NOUN
1800,1.2576657937302116e-08,1.0627276232355598e-06
1801,4.7623651688866175e-09,7.691219963135154e-07
1802,2.6854081625060644e-08,1.1166822275754384e-06
1803,5.851017448321727e-09,1.158501499176623e-06
1804,2.4718509905596875e-08,1.028290025573142e-06
1805,1.7625841763901917e-07,1.2537090938735673e-06
1806,2.881669125542885e-09,7.521156177858757e-07
1807,5.693910232196231e-09,9.053317526763749e-07
1808,0.0,9.540171763688932e-07
1809,1.129515236897305e-08,9.7590119807478e-07
1810,0.0,1.5866059825953016e-06
1811,0.0,7.797008692023155e-07
1812,1.600324850414836e-08,1.3576090189815204e-06
1813,0.0,1.2020599708950641e-06
1814,0.0,1.085603605233132e-06
1815,0.0,1.1975672595809783e-06
1816,1.8540831092650478e-08,1.226012464883297e-06
1817,0.0,1.3825035445336198e-06
1818,1.3113295338484932e-08,2.1279301116727822e-06
1819,0.0,1.522639462514519e-06
1820,2.0173017922786585e-08,1.2103811179997592e-06
1821,3.94459531705138e-09,1.8500152330069852e-06
1822,1.303330066093622e-08,1.8607542529025523e-06
1823,1.9765373782121287e-09,1.224464863724961e-06
1824,3.03160057057994e-08,1.044217969869976e-06
1825,1.0566531427613768e-08,1.3005639556418203e-06
1826,1.7615968683770689e-09,1.214621068612587e-06
1827,1.566936447261469e-08,1.19916720942026e-06
1828,1.0089530988466322e-08,1.3501627501577573e-06
1829,2.571952872898464e-09,1.414574020142112e-06
1830,9.39315247805439e-09,1.090649321744408e-06
1831,1.5591206103948707e-09,1.3579940310037841e-06
1832,8.117981842303834e-09,1.4585307397396718e-06
1833,1.3900353756923778e-08,1.1108699364825725e-06
1834,1.3068343518440884e-08,1.084672442530632e-06
1835,3.781543966852041e-09,1.2032872476197554e-06
1836,1.008112526790228e-08,1.0954822231568073e-06
1837,5.5663127440652715e-09,1.1320488186861155e-06
1838,3.787297142565649e-09,1.081904506206044e-06
1839,5.5931801412612e-09,8.354812860433825e-07
1840,5.095750932326837e-09,8.694625308613979e-07
1841,1.540931604537832e-08,9.181384474921117e-07
1842,2.0124795163667386e-09,1.1793130418880082e-06
1843,1.0632439872981791e-08,1.1187690041047915e-06
1844,2.7442805805577564e-09,9.736707449747861e-07
1845,7.254296274794569e-09,9.469646715665192e-07
1846,5.854501328173001e-09,9.94094305539761e-07
1847,4.314578916364553e-09,8.408035414575465e-07
1848,4.02261068899179e-09,1.0676009338794756e-06
1849,0.0,9.24249468292615e-07
1850,1.9009188889640427e-08,1.0387164062208853e-06
1851,9.029214709244116e-09,1.0177214078144203e-06
1852,7.161600201754936e-09,1.0319214844844993e-06
1853,7.166318205520383e-09,1.1507913111330481e-06
1854,6.754364012540037e-09,1.3061900642208357e-06
1855,8.491099379170919e-09,1.197244973383249e-06
1856,9.836659486950339e-09,1.2684113057659374e-06
1857,5.369660049936442e-09,1.2467373795566061e-06
1858,6.8511465389775594e-09,1.1553969583300017e-06
1859,2.1387128512628806e-08,1.385071205284305e-06
1860,1.2816115280145368e-08,1.2015107624385735e-06
1861,8.017138064531082e-09,1.3346177853978958e-06
1862,1.5361153349324752e-08,1.173772877116619e-06
1863,3.496234635136375e-09,1.3160826393132652e-06
1864,3.835782358407869e-09,1.3986221887307693e-06
1865,8.001635798393636e-09,1.3631021755777795e-06
1866,8.271541673821048e-09,1.1735857867734012e-06
1867,7.76449837758264e-09,1.2889067271260046e-06
1868,2.9639245502366407e-09,1.4424432315252034e-06
1869,7.81363052038131e-09,1.3854543845503997e-06
1870,6.307453670473251e-09,1.3767451534363317e-06
1871,1.0621177271019633e-09,1.429610421155303e-06
1872,6.652073114565837e-09,1.473736570112294e-06
1873,1.1972008939764578e-09,1.1606862369006876e-06
1874,1.3144140165177731e-08,1.2032862763966534e-06
1875,4.577221712764867e-09,1.3891868162474452e-06
1876,3.627608879952504e-09,1.2406421845412297e-06
1877,2.4739263970730008e-09,1.426218547706526e-06
1878,3.6234530931267273e-09,1.4373031618220011e-06
1879,7.94212251520321e-09,1.48700980773242e-06
1880,1.5402831010646878e-08,1.375986215634839e-06
1881,7.669758161910067e-09,1.3714922793006679e-06
1882,2.6621540527571597e-09,1.656525316917623e-06
1883,6.951272890631799e-09,1.4237471055444928e-06
1884,7.922036360241691e-09,1.3863563452787275e-06
1885,8.379326343899152e-09,1.5063451055397081e-06
1886,5.808117542471791e-09,1.3487739369821838e-06
1887,7.834709769838355e-09,1.4291815757516702e-06
1888,1.268122939990235e-08,1.3790837156690827e-06
1889,1.2530273152400184e-08,1.5218017406226636e-06
1890,1.3108773178061028e-08,1.4609727045922227e-06
1891,3.633305567518619e-08,1.3672701886235927e-06
1892,1.3790727226847821e-08,1.3477301328279623e-06
1893,1.6011883485766987e-08,1.2858773832391535e-06
1894,2.2055387294273032e-08,1.3340358222535542e-06
1895,1.3842813118003505e-08,1.419189249673991e-06
1896,2.5946927162401323e-08,1.3716489881687721e-06
1897,1.9228155068162778e-08,1.3517975894217216e-06
1898,1.4145887239358501e-08,1.279354066241467e-06
1899,2.2110313580014918e-08,1.5167674582983182e-06
1900,2.3359739032002835e-08,1.4789310149865287e-06
1901,2.1796081439706683e-08,1.3563869600830003e-06
1902,2.9952730795645977e-08,1.2285529891187252e-06
1903,2.3220947387159185e-08,1.5212420407806349e-06
1904,1.8811187274536678e-08,1.333444549445062e-06
1905,4.6446831825086576e-08,1.2483875657665067e-06
1906,3.189394293112713e-08,1.3812135826185568e-06
1907,2.8799923057487575e-08,1.2142253069669096e-06
1908,3.14328898465277e-08,1.355543336245546e-06
1909,3.740668930163338e-08,1.4368569587475122e-06
1910,3.366815093386322e-08,1.4429206576238585e-06
1911,3.245428259468497e-08,1.5046018226883007e-06
1912,3.2298409891051705e-08,1.3028763046207814e-06
1913,3.712092722096827e-08,1.6195330871937585e-06
1914,3.48230655977666e-08,1.4605598508410367e-06
1915,6.125996065975414e-08,1.4148695255400412e-06
1916,4.6147340393432046e-08,1.642625591102842e-06
1917,4.276905585243185e-08,1.9344772859142267e-06
1918,4.5945505178224266e-08,1.5667417585518706e-06
1919,2.6702760891339494e-08,1.8038174971479748e-06
1920,5.3762843954530126e-08,1.6136425742274696e-06
1921,5.376650502597613e-08,1.4728993349422126e-06
1922,5.828569182853016e-08,1.4903429566004434e-06
1923,5.201814401445404e-08,1.607254532132174e-06
1924,7.73497492723152e-08,1.4000304346950543e-06
1925,3.0794897964980805e-08,1.0965183747657647e-06
1926,5.01576231659584e-08,1.1469375991168818e-06
1927,2.8987984457273797e-08,1.3022294247377886e-06
1928,3.6563331917705e-08,1.1974491194166603e-06
1929,5.458799190449781e-08,1.0594526358431722e-06
1930,3.151081084951102e-08,1.0829215497665245e-06
1931,2.5091784650044247e-08,1.1120223177840671e-06
1932,2.191907289006423e-08,1.2625385750197893e-06
1933,2.7529588830788043e-08,9.66976848815193e-07
1934,2.2765002327673756e-08,9.836877232771712e-07
1935,3.949533677882755e-08,1.0017454030730732e-06
1936,3.8799087942464894e-08,1.00513881662323e-06
1937,3.399601977704947e-08,1.053876616197158e-06
1938,3.111651503129309e-08,9.73687583893934e-07
1939,4.435274725267391e-08,9.482311185138315e-07
1940,3.0429394115571995e-08,1.0269920736050153e-06
1941,5.9030050625352715e-08,9.8875337073423e-07
1942,8.495793002438745e-08,9.982556790077979e-07
1943,6.67744117777147e-08,1.1380681996797648e-06
1944,6.747690939334916e-08,1.0250063802175191e-06
1945,6.753362669087437e-08,1.0326109105562864e-06
1946,3.897909017780421e-08,1.1220409845691393e-06
1947,4.529931052488223e-08,1.1479798871505409e-06
1948,4.02259852094744e-08,1.053485938484755e-06
1949,4.0249735766551e-08,7.667083767870508e-07
1950,4.573205392155444e-08,8.487018661185175e-07
1951,1.7058242818279723e-08,8.379862030949425e-07
1952,4.5342655297098133e-08,7.223190863214768e-07
1953,4.74048422738349e-08,7.843346274682972e-07
1954,4.9839933069506515e-08,7.495535250257035e-07
1955,2.815682265122632e-08,1.0183384766548897e-06
1956,1.9186511268642903e-08,6.165847210581887e-07
1957,7.156380449346855e-08,7.615802637417346e-07
1958,3.8879544250747244e-08,6.278632795897465e-07
