year,aux_ADP airs_NOUN,aux_ADP mères_NOUN
1800,1.5720823043352539e-07,4.873454964027246e-07
1801,1.7620750725200196e-07,5.905333084754716e-07
1802,2.0364345232337655e-07,7.228223637412157e-07
1803,2.262393496987869e-07,7.996391060416386e-07
1804,1.6808586700278738e-07,9.739092661220639e-07
1805,1.478296409729296e-07,7.164051822883266e-07
1806,2.4494187300660997e-07,5.417538204710581e-07
1807,8.54086508184082e-08,9.850464905980516e-07
1808,7.931259204951857e-08,7.342079793026812e-07
1809,1.3102376783535874e-07,8.832809363923388e-07
1810,1.8721014161116045e-07,8.752074176499036e-07
1811,1.1783261077980001e-07,4.6882334459041886e-07
1812,9.601949813031752e-08,6.561332099863648e-07
1813,1.35159851311073e-07,7.275626359160015e-07
1814,1.384537871018665e-07,7.111490418765243e-07
1815,4.855002422310406e-08,6.635169940150121e-07
1816,9.270415368689555e-08,5.237785032363718e-07
1817,1.4945985393755024e-07,5.573606817188548e-07
1818,1.1563542035020191e-07,5.698323068958899e-07
1819,1.8528379808202544e-07,5.475705278090715e-07
1820,1.6257079860082513e-07,5.755243481786465e-07
1821,1.3608853222102368e-07,6.735396365087354e-07
1822,1.5639960793123464e-07,6.466522251002971e-07
1823,9.388552868472289e-08,4.002488213084021e-07
1824,1.2800091475639874e-07,4.909508763972781e-07
1825,1.1799293964109836e-07,4.992686442051308e-07
1826,1.2595417842042878e-07,5.337638357971741e-07
1827,6.267745611410191e-08,8.415370524872401e-07
1828,1.0823315454988602e-07,7.27363461294761e-07
1829,9.51622528555518e-08,4.998161649005795e-07
1830,1.7533884189013804e-07,5.42715468343502e-07
1831,1.309661297188569e-07,4.5994057584763937e-07
1832,3.125422969318947e-07,4.099580830363436e-07
1833,1.3089500561225265e-07,4.2396080424111915e-07
1834,1.1388127951761362e-07,5.927427311203104e-07
1835,1.459675971204888e-07,4.0462521155859577e-07
1836,1.196293524241554e-07,5.605105778405672e-07
1837,1.0715152298779174e-07,4.2582292492099327e-07
1838,1.205622943700746e-07,5.87031042220687e-07
1839,1.3703291867894762e-07,4.5025100625650794e-07
1840,1.2038711361128662e-07,5.032054232745331e-07
1841,8.154096420298629e-08,5.014448318796383e-07
1842,1.3483613425790963e-07,5.963647788931326e-07
1843,1.3290549683020458e-07,5.209895733715442e-07
1844,1.3007890231619967e-07,6.026440515505271e-07
1845,8.816759988761191e-08,5.440722476990345e-07
1846,9.777017462297977e-08,5.03487137315517e-07
1847,8.46736130100112e-08,5.409403316392059e-07
1848,1.3757328987118456e-07,3.998475068822671e-07
1849,9.133561951202296e-08,5.010890111734057e-07
1850,1.1948632749891885e-07,5.791013402145495e-07
1851,8.513259319720134e-08,4.6113486051879704e-07
1852,1.367214490510804e-07,4.642018822664795e-07
1853,9.913406562311877e-08,5.846521129448945e-07
1854,7.79349695889664e-08,5.309968935662823e-07
1855,1.2895856826844465e-07,5.513907517240568e-07
1856,9.629572161884425e-08,5.363568176264266e-07
1857,1.0836950115056254e-07,5.003546994508667e-07
1858,1.1598011928626306e-07,5.143253440920148e-07
1859,1.5632971717138844e-07,5.983303914547378e-07
1860,1.2587255593388136e-07,5.831332279271351e-07
1861,1.6788831125325032e-07,5.140400212155782e-07
1862,9.307051873630456e-08,5.715252884286315e-07
1863,1.143768160183356e-07,6.023512497677075e-07
1864,1.2466292620416652e-07,7.709922593690521e-07
1865,1.0355057483701913e-07,5.648213252662515e-07
1866,1.2942529759030208e-07,6.072285154701262e-07
1867,1.1889387963037734e-07,6.153364928707106e-07
1868,9.682153423451467e-08,5.236266740205053e-07
