year,mêmes_ADJ arrêts_NOUN,mêmes_ADJ marais_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,1.1189200677108602e-08,2.2378401354217203e-08
1803,1.3652374342143503e-08,2.9255089017965474e-08
1804,0.0,0.0
1805,1.421438877713399e-08,0.0
1806,1.4408345627714425e-08,4.034336598124355e-08
1807,1.0533733885154106e-07,5.693910232196231e-09
1808,3.852325747288887e-08,1.8128591960930862e-08
1809,3.6144488291256494e-08,6.7770917766551975e-09
1810,4.9142661495693574e-08,2.3401266702194334e-08
1811,1.7549536934780008e-08,0.0
1812,1.2802599513861423e-07,2.1337665856435706e-08
1813,5.7514832008109806e-08,1.7254450312975678e-08
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,5.664169577812572e-08,1.3486118000116676e-08
1816,3.244645441213834e-08,0.0
1817,3.269434145636296e-08,2.6466848268569265e-08
1818,4.053200441944682e-08,2.1458118837358597e-08
1819,6.728182810888939e-08,0.0
1820,2.1359666924070098e-08,1.542642635854463e-08
1821,2.3667572568442097e-08,7.88919063410276e-09
1822,2.8071724500478012e-08,2.0051231786055723e-08
1823,2.668325471688604e-08,4.941343334508019e-09
1824,3.621078548121659e-08,4.210556348027694e-09
1825,6.33991881215934e-08,8.805443485471187e-09
1826,5.813269510213104e-08,8.807984341885344e-10
1827,1.0415518647555189e-07,1.013900075008678e-08
1828,9.447470478152198e-08,1.3758452155343548e-08
1829,7.201467866480016e-08,1.628903412154159e-08
1830,5.218418053232199e-08,1.0436835395921662e-08
1831,4.8332740476553226e-08,3.1182412207897414e-09
1832,4.8707888833376956e-08,9.470978667991403e-09
1833,1.7375442418199327e-08,6.950177322551099e-09
1834,2.0535968259238757e-08,7.467624740797874e-09
1835,3.479020449503878e-08,1.8907719834260206e-08
1836,2.6210925430092402e-08,3.36037508930076e-09
1837,4.313892443263967e-08,9.74104708006962e-09
1838,4.481634796604794e-08,2.5248647617104325e-09
1839,6.012668585242409e-08,1.0487212875887053e-08
1840,5.350538323511955e-08,1.9109065441114126e-09
1841,4.365972916531291e-08,3.2102742686390684e-09
1842,4.293289634915709e-08,1.9453969102301016e-08
1843,5.847842032835615e-08,5.31621990873532e-09
1844,4.8299337862545144e-08,6.037417232818143e-09
1845,9.430585556913229e-08,1.1160455670733427e-08
1846,7.20103656703941e-08,1.5221703009160592e-08
1847,1.2943737104365027e-07,4.853901280910122e-09
1848,7.723413197879836e-08,2.494018680465615e-08
1849,8.128032380483319e-08,5.02764896381791e-09
1850,7.060555873295016e-08,1.3577992064028876e-09
1851,1.2511910973955764e-07,4.514607354622058e-09
1852,1.3932567632934933e-07,0.0
1853,1.1346670447665019e-07,1.911018188138769e-08
1854,9.352196173040284e-08,1.1430461910322265e-08
1855,7.429711956774554e-08,1.963566731433275e-08
1856,7.765783927027314e-08,1.6049286344355096e-08
1857,1.0251169157982076e-07,6.345961978126979e-09
1858,1.1793759036038409e-07,5.3830437884982985e-09
1859,7.689181558134806e-08,2.036869339860914e-09
1860,3.112485114087349e-08,1.0069804545764782e-08
1861,6.036433575218325e-08,8.960331143725853e-09
1862,1.246964274059792e-07,2.710791813242963e-09
1863,5.044566897538516e-08,6.99246927027275e-09
1864,8.055142863838682e-08,1.4384183844029508e-09
1865,1.2849684427607144e-07,5.6482134525026595e-09
1866,2.773399465638704e-08,1.6056523222118813e-08
1867,1.7809817798308814e-07,9.7056229719783e-09
1868,2.7169306804353255e-08,1.333765986544222e-08
1869,8.253147321113374e-08,4.395167341186834e-09
1870,5.67670848106161e-08,1.548193218070537e-08
1871,3.9298356568906456e-08,1.0621176826930423e-08
1872,1.8565331139086538e-07,1.0885210954825197e-08
1873,1.3588230629579812e-07,3.591602570907071e-09
1874,4.241972462182275e-08,6.572069999322139e-09
1875,1.3159512590732447e-08,1.4875970677508121e-08
1876,3.748529131542e-08,1.5719638923883394e-08
1877,4.7437538519545797e-07,3.710889595609501e-09
1878,6.582606815186409e-08,4.831270938865373e-09
1879,6.781350947449027e-08,1.221865097988939e-08
1880,2.6954954268632036e-08,6.417846254436199e-10
1881,6.205531644098983e-08,5.5780060570498335e-09
1882,1.1181046843944387e-07,1.3976308999019693e-08
1883,1.0110942305630033e-07,1.8958017378167824e-09
1884,4.621187699171969e-08,9.242375753615306e-09
1885,9.15280260471718e-08,7.090199094506033e-09
1886,6.647067607445933e-08,5.808117542471791e-09
1887,5.706280141737352e-07,3.264462256069578e-09
1888,1.6231973987146375e-07,3.804368819970705e-09
1889,7.01695306304373e-08,1.2530273485467092e-09
1890,1.6844772687818477e-07,3.2771931834929546e-09
1891,2.575184829822774e-07,9.561330394092238e-09
1892,1.0154989737998221e-07,6.268512375839919e-09
1893,1.5703962574775687e-07,2.463366621796581e-09
1894,2.778978860362713e-07,3.780923574225881e-09
1895,2.0041986914520749e-07,3.0093072478365457e-09
1896,1.197096892724403e-07,2.358811590497112e-09
1897,6.088915593949196e-07,4.078699600285063e-09
1898,1.1882544903585313e-07,5.6583546736987955e-09
1899,1.000491689495675e-07,9.39688327150634e-09
1900,1.2198974808086405e-07,2.07642125715779e-09
1901,7.488910114261671e-08,3.912117296778206e-09
1902,1.3748795169021832e-07,4.910283735171106e-09
1903,1.3986570479573857e-07,1.7280704867062013e-08
1904,1.1017981549343858e-07,1.2361637935498493e-08
1905,1.3727619219139342e-07,6.192911072844254e-09
1906,4.578324208637241e-08,7.201858220895474e-09
1907,4.618273408141249e-07,1.7999951751335175e-08
1908,1.9154416719402434e-07,4.911389073214423e-09
1909,3.5206296544743054e-08,1.1001967115120692e-09
1910,6.199215007995917e-08,4.275320542035388e-09
1911,1.3992583802746594e-07,4.25629931299909e-09
1912,2.729736632289814e-07,8.856016364688912e-09
1913,8.219634217709881e-08,8.484783542428431e-09
1914,6.227971738326232e-08,2.678697486047099e-09
1915,5.654765722340471e-08,4.712304768617059e-09
1916,2.0876178119522137e-08,2.197492410260793e-09
1917,1.5791650920249367e-07,2.1932848870420685e-09
1918,2.8715940736390166e-08,3.44591288836682e-09
1919,3.0754212332340103e-07,7.366278698128781e-09
1920,2.4988365154854364e-08,6.057785384427916e-09
1921,1.0450391307870177e-07,7.572747762196741e-09
1922,9.960212743465036e-08,2.951174193910333e-09
1923,8.598918066482497e-08,8.492758496458919e-09
1924,8.250639904616719e-08,5.156649773851996e-09
1925,6.928851981058415e-08,3.299453377181294e-09
1926,5.461607877066399e-08,1.1146138456652466e-09
1927,8.919379812510897e-08,2.2298449753321847e-09
1928,2.479450933456917e-07,2.2852082448565625e-09
1929,4.678970544347294e-08,1.1140406375176326e-09
1930,4.3064774857271004e-08,3.1510811737689437e-09
1931,4.219981963871078e-08,5.7026783295555106e-09
1932,3.9454332245725254e-08,0.0
1933,6.65298394153524e-08,0.0
1934,1.4377896206951846e-08,0.0
1935,5.744776565563825e-08,2.393656828303392e-09
1936,1.8187071404440758e-08,7.274828739411987e-09
1937,2.2664012000461753e-08,1.2591118148108649e-09
1938,7.908780830234718e-08,0.0
1939,2.7529291735106654e-08,4.588215141154706e-09
1940,5.832300686847702e-08,2.5357829169792012e-09
1941,2.3612020783048138e-08,0.0
1942,3.034211770724937e-09,0.0
1943,1.7419411690866582e-08,5.806470415592457e-09
1944,1.6065930807940276e-08,6.4263723231761105e-09
1945,2.832055301382752e-08,0.0
1946,1.6705325123211878e-08,0.0
1947,1.4305045148432782e-08,0.0
1948,2.717971980814582e-08,0.0
1949,2.846932467548413e-08,3.9268033269479474e-09
1950,2.020718614659245e-08,2.1270722960764488e-09
1951,2.9851924487900305e-08,0.0
1952,3.5852332658237174e-08,2.1089607837865287e-09
1953,3.124409886368085e-08,5.386913581872932e-09
1954,2.443134050622575e-08,1.9545072227344917e-09
1955,3.660387104531537e-08,1.8771215692936494e-09
1956,2.7907653965542067e-08,1.744228317335228e-09
1957,2.3854602293482685e-08,1.7670075402875796e-09
1958,2.1507833736222892e-08,4.1361216673863055e-09
1959,1.9376869886400527e-08,3.8753737996444215e-09
1960,1.5225833704946012e-08,4.152500121534786e-09
1961,2.362374207365292e-08,2.08444772553662e-09
1962,1.9660065575521912e-08,1.9025869768540815e-09
1963,1.0992290633282664e-08,2.5864212993553792e-09
1964,1.1559539936367713e-08,0.0
1965,7.660860668057268e-09,7.1136563306595235e-09
