year,nos_DET arbres_NOUN,nos_DET marbres_NOUN
1800,4.999221445700641e-07,3.772997558826319e-08
1801,3.3574675484260297e-07,0.0
1802,3.2672465977157117e-07,2.0140561218795483e-08
1803,4.212732687136622e-07,2.145373123596528e-08
1804,4.795390751155537e-07,1.730295728918918e-08
1805,4.406460529793321e-07,5.685755422035754e-09
1806,2.795219176121577e-07,8.645007376628655e-09
1807,2.1067467415036845e-07,0.0
1808,3.648379038878602e-07,6.798221985349073e-09
1809,5.444263706522179e-07,0.0
1810,3.4399863269030106e-07,1.8721014072298203e-08
1811,2.6825722443390987e-07,0.0
1812,2.1337666566978442e-07,4.267532993651457e-08
1813,3.6234343525620716e-07,0.0
1814,2.517341743946133e-07,3.1466772298927026e-08
1815,4.2885853712704147e-07,5.1247248222807684e-08
1816,2.549364239712304e-07,4.1716869958463576e-08
1817,3.160453134753993e-07,3.113746815941454e-09
1818,4.6850227697348146e-07,4.410835607870922e-08
1819,3.322687165407956e-07,9.315945348475907e-09
1820,3.714208469673963e-07,2.3732962262101864e-08
1821,1.9328517675276657e-07,3.155676253641104e-08
1822,2.1555074170009902e-07,1.9048670196752937e-08
1823,1.7887663439353219e-07,5.5343047478118024e-08
1824,2.6526506413659945e-07,1.0105335235266466e-08
1825,2.2453879111594688e-07,1.6730342222714967e-08
1826,1.9377564974831785e-07,2.3781557056956615e-08
1827,1.944844676415869e-07,7.373818444733615e-09
1828,1.4950851334738502e-07,1.6510142586412258e-08
1829,2.897733447082551e-07,5.3153691670360104e-08
1830,2.515277430781282e-07,3.0266823713986923e-08
1831,2.245133732259319e-07,3.897801548191637e-08
1832,3.490732032318533e-07,5.411987746839486e-09
1833,3.6604266639983507e-07,2.20088942626262e-08
1834,2.94037720394158e-07,1.120143711119681e-08
1835,2.677333199585519e-07,2.7983425354705105e-08
1836,2.8495980863851855e-07,1.949017514046858e-08
1837,3.1310507964121825e-07,4.383471441382625e-08
1838,2.127198497348104e-07,2.209256599883247e-08
1839,1.7268943963699712e-07,5.103776956616457e-08
1840,2.8790991368765617e-07,2.8026629461663788e-08
1841,2.433387846778601e-07,4.8154114029586026e-08
1842,2.0124795607756596e-07,9.391571520467323e-09
1843,2.238719281066892e-07,1.2995204246024628e-08
1844,1.750851064130643e-07,1.756339523817374e-08
1845,2.3157945783225387e-07,1.3392547515422848e-08
1846,3.0619043300816884e-07,1.0538102390711401e-08
1847,1.5370687656002247e-07,1.6718993300912643e-08
1848,2.244616926772025e-07,1.2067832455553429e-08
1849,2.2624420914496568e-07,1.6758829879393033e-09
1850,2.8717453215421074e-07,3.394498016007219e-09
1851,2.6958654331110665e-07,8.384270611117017e-09
1852,4.231854395797541e-07,1.4323200403509873e-08
1853,2.890414876333125e-07,3.165123962922678e-08
1854,2.6965497745834455e-07,3.065441989136275e-08
1855,2.8604390323039297e-07,2.7065379271107304e-08
1856,2.4332789028136403e-07,1.5997515401267037e-07
1857,2.9191424744112737e-07,1.2691923290120144e-08
1858,2.6327975932716186e-07,2.838332058274773e-08
1859,2.260924951702492e-07,1.2730433596175317e-08
1860,2.448793452458631e-07,1.556242534839214e-08
1861,2.796566569429615e-07,1.650587311274876e-08
1862,2.990907024269518e-07,2.1234535907410645e-08
1863,2.252574047290068e-07,4.495158911765884e-09
1864,3.097394394302455e-07,2.7809422320501653e-08
1865,3.5819085653088223e-07,6.213034670077278e-08
1866,2.2235850494212173e-07,2.7247433198596127e-08
1867,3.61534441495337e-07,2.6690463172940326e-08
1868,3.2751364464900234e-07,1.432563490055827e-08
1869,2.783605825840141e-07,1.1769281105245e-07
1870,3.0505140458103597e-07,1.777555214133031e-08
1871,2.5384612811762963e-07,9.559059765962274e-09
1872,3.1083324536496093e-07,1.028047680318167e-08
1873,2.4063738646162847e-07,1.1972009161809183e-08
1874,2.2046307801559806e-07,2.987304553725423e-08
1875,2.9809157453541957e-07,2.2313955738706426e-08
1876,3.3011241207248077e-07,3.4462285469771814e-08
1877,2.486296080128625e-07,3.092408140670244e-08
1878,2.4216745853067323e-07,1.6909447952961898e-08
1879,2.388746178638712e-07,3.604501896958823e-08
1880,2.778927328250802e-07,6.867095203588747e-08
1881,2.0499172936894183e-07,1.3945014920579979e-08
1882,2.2029324631134273e-07,1.6638462607687643e-08
1883,2.8247446159923584e-07,3.222862865470688e-08
1884,2.152153228962561e-07,2.5746618170785496e-08
1885,2.1528422688987803e-07,2.1915161685370776e-08
1886,1.8650511268702985e-07,4.323820679275059e-08
1887,1.6518179801749966e-07,2.4809913345968937e-08
1888,2.1367871205768552e-07,1.3315290647852862e-08
1889,2.2115932329924703e-07,2.4434033463194282e-08
1890,2.1236211811270778e-07,7.144281166659994e-08
1891,2.269222285633532e-07,2.3584614039506846e-08
1892,2.181442275706047e-07,1.1847488678995433e-07
1893,2.303247734758429e-07,1.6011883374744684e-08
1894,2.5458218999574456e-07,1.5123693852814313e-08
1895,1.9319752730950768e-07,1.2639090440913492e-08
1896,1.8339759844110404e-07,1.5921978790967017e-08
1897,2.388952538012745e-07,6.992056267307589e-09
1898,2.3142672223031013e-07,2.2633418694795182e-08
1899,2.2220865680822044e-07,1.5477219506010442e-08
1900,2.2581080560968303e-07,8.824790675987515e-09
1901,2.2746167704923437e-07,3.912117252369285e-08
1902,1.9690238861613807e-07,2.6024505217492333e-08
1903,2.0520837651361035e-07,1.512061720276847e-08
1904,1.8649949407034683e-07,6.987012746151322e-09
1905,1.9301238562974277e-07,7.2250627702885595e-09
1906,1.872483128551039e-07,5.658602919567102e-09
1907,2.566278793914023e-07,1.3371392604266674e-08
1908,2.3230870560553285e-07,9.822778146428846e-09
1909,2.557957383686471e-07,3.300590023513905e-09
1910,1.8276994939725455e-07,1.977335806202518e-08
1911,2.2984015757288034e-07,3.2454283371841086e-08
1912,2.3911243296481643e-07,1.8232974852150363e-08
1913,2.3333155141358475e-07,5.833288518886093e-09
1914,2.0358100805140111e-07,6.027069510139427e-09
1915,1.4019106497897837e-07,4.712304768617059e-09
1916,2.2963796197927877e-07,3.29623865980011e-08
1917,2.456479166745851e-07,7.676496771580332e-09
1918,1.5851199819394424e-07,9.189101035644853e-09
1919,2.47691126276095e-07,8.287063479883727e-09
1920,1.9990691058069388e-07,5.300562211374427e-09
1921,2.120369302360814e-07,9.844571380313027e-09
1922,2.722458170012487e-07,1.4018077088007175e-08
1923,1.9957982377860617e-07,2.1231896241147297e-08
1924,1.5856697599403446e-07,3.867487219366694e-09
1925,1.539744882705918e-07,8.798542561194722e-09
1926,2.5747579357471295e-07,6.687683296036084e-09
1927,1.7838760113519925e-07,6.689535148041159e-09
1928,1.9195749345612967e-07,3.4278122562625413e-09
1929,2.1500984903610743e-07,1.4482528065684619e-08
1930,1.8276270807859873e-07,1.155396367469308e-08
1931,1.2203731714066635e-07,6.843213995466613e-09
1932,2.564531476068055e-07,2.1919072779041926e-08
1933,1.66324598538381e-07,3.441198725973038e-08
1934,2.180647609151265e-07,9.585264137967897e-09
1935,1.831147429243174e-07,1.0771455727365264e-08
1936,2.19457339412088e-07,2.424942913137329e-09
1937,1.7123920192929631e-07,0.0
1938,1.646582195036217e-07,1.0372171566075394e-08
1939,1.621169314347526e-07,9.176430282309411e-09
1940,3.11901311000895e-07,5.0715658339584024e-09
1941,2.390717064315595e-07,5.9030051957620344e-09
1942,3.0342117929293977e-07,0.0
1943,2.3806528393066628e-07,0.0
1944,3.0846586440702595e-07,1.2852744646352221e-08
1945,1.5685228849093846e-07,2.178504043826024e-09
1946,2.102086789079749e-07,4.1763312808029696e-09
1947,1.8238932941727626e-07,9.536696765621855e-09
1948,2.109146226558778e-07,9.784699273041042e-09
1949,1.3351131400440863e-07,0.0
1950,1.4464092057409061e-07,2.1270722960764488e-09
1951,1.7164857091245267e-07,2.1322803522849654e-09
1952,1.1810180389204561e-07,1.0544803918932644e-09
1953,1.2820854777828572e-07,5.386913803917537e-09
1954,1.1238416508518867e-07,1.9545072227344917e-09
1955,9.47946396934185e-08,4.6928039232341234e-09
