year,vos_DET eaux_NOUN,vos_DET maux_NOUN
1800,1.0375742931501009e-07,5.124987865201547e-07
1801,1.2144030847593967e-07,1.0048590937117297e-06
1802,9.84649659585557e-08,4.274274658655486e-07
1803,5.265916058760922e-08,9.517655463753272e-07
1804,8.404293216912606e-08,1.179072915746815e-06
1805,1.7625842474444653e-07,8.699205995554848e-07
1806,5.76333825108577e-08,9.077257683287598e-07
1807,1.1957211132340717e-07,4.925232222063869e-07
1808,7.024829073998262e-08,5.098666502334481e-07
1809,2.0783080856290326e-07,4.3373386571232686e-07
1810,1.193464669313471e-07,1.303450584799748e-06
1811,4.262030373070047e-08,4.7383751322627177e-07
1812,9.868670147739067e-08,4.427565798437172e-07
1813,8.627225156487839e-08,5.463909005243295e-07
1814,2.8320094713762956e-08,8.212827538045531e-07
1815,5.933891955578474e-08,6.95883684009857e-07
1816,2.5493642752394408e-08,4.472975501101928e-07
1817,6.850242650902061e-08,8.609509922763436e-07
1818,7.391129952516451e-08,8.058715712522257e-07
1819,6.728182633253255e-08,5.310088866394835e-07
1820,9.01852530432734e-08,8.935460513725957e-07
1821,1.0354562363090736e-07,9.624812715713915e-07
1822,3.5089655625597516e-08,1.003564150892089e-06
1823,7.412015357033397e-08,7.313188312707553e-07
1824,6.736890156844311e-08,7.890582729430662e-07
1825,1.1799293408998324e-07,5.573845669459843e-07
1826,3.52319382557198e-08,5.954197668245342e-07
1827,8.387718608560135e-08,5.770012871941788e-07
1828,2.843413443587295e-08,4.97138714194989e-07
1829,2.4862209901943544e-08,3.5235753248485935e-07
1830,5.322786122974321e-08,5.061865486766237e-07
1831,7.016043013230444e-08,3.508021411136042e-07
1832,5.953186388296672e-08,4.3160601936875764e-07
1833,6.950177233733257e-08,5.872899748737836e-07
1834,6.254136053485126e-08,5.255340926879626e-07
1835,7.487457054367042e-08,6.799216194508517e-07
1836,4.234072398245914e-08,4.664200590198675e-07
1837,4.0355768504696243e-08,4.1747344514675433e-07
1838,5.6178239615789494e-08,4.7151849358328946e-07
1839,4.334714465148437e-08,3.418831422408175e-07
1840,4.840963396812725e-08,3.5415468424560004e-07
1841,5.778493594732481e-08,3.2166946839495836e-07
1842,3.5553803456878086e-08,4.199373879743007e-07
1843,4.134837811031744e-08,3.8394922885487404e-07
1844,3.348022492577485e-08,3.5456105251796544e-07
1845,2.8459162138005922e-08,3.4262599379886183e-07
1846,4.1566958541849885e-08,3.559536843056321e-07
1847,2.8044762956369595e-08,3.3653715014736463e-07
1848,2.654923214606697e-08,2.5825162353054765e-07
1849,2.262441967104678e-08,2.555721669850186e-07
1850,4.1412874907109654e-08,2.4576165635892266e-07
1851,4.5791015423901626e-08,2.5475281817399775e-07
1852,5.403752667554329e-08,3.3659521214701726e-07
1853,3.881755716861335e-08,3.58315920490071e-07
1854,4.676097908884458e-08,5.689252779994547e-07
1855,3.980202833986368e-08,3.990816708210332e-07
1856,3.36517302912398e-08,5.777743385948497e-07
1857,4.393358032928063e-08,2.41146554724736e-07
1858,3.3766365703513657e-08,4.247710645444158e-07
1859,2.7497736532211547e-08,3.264083083820424e-07
1860,5.8587955015232396e-08,2.8424311171448835e-07
1861,5.046081197335184e-08,2.9380454424909885e-07
1862,6.957699216769697e-08,4.780029394524377e-07
1863,5.344244291549671e-08,4.0106804632955573e-07
1864,8.582563282288902e-08,3.433025277388424e-07
1865,7.954566783041628e-08,4.6221212413044555e-07
1866,4.3303953534135076e-08,4.958059443005425e-07
1867,4.949867715708933e-08,2.8340418012362534e-07
1868,4.347089188616593e-08,2.460057209052735e-07
1869,4.053320767916091e-08,2.2220012407814238e-07
1870,4.300536593504489e-08,1.9495765979371527e-07
1871,2.230447138096281e-08,2.612809706370456e-07
1872,4.233137573805834e-08,2.0560954272497156e-07
1873,4.3697831131339626e-08,1.5084730653480705e-07
1874,3.2262889249068394e-08,1.2666171356201517e-07
1875,3.4901315615343265e-08,2.3000539783879503e-07
1876,6.227394910851558e-08,2.043552953523431e-07
1877,6.061119695033312e-08,2.412078163871456e-07
1878,2.4760263173106978e-08,1.4795766722919268e-07
1879,2.565916623620268e-08,1.893890884119287e-07
1880,6.482024983434087e-08,2.00236802250231e-07
1881,2.161477319351235e-08,1.9104671311609422e-07
1882,2.1297232422057277e-08,1.9167509712758601e-07
1883,2.1485751844352308e-08,1.4913639390101707e-07
1884,1.9805090012425808e-08,1.4457716446258928e-07
1885,2.127059772760731e-08,1.1602144356359645e-07
1886,2.774989432685615e-08,1.3165066947706805e-07
1887,3.3297517243457975e-08,1.0903304015208448e-07
1888,7.22830080235326e-08,8.306205412367262e-08
1889,2.380751951136517e-08,1.2029062790297473e-07
1890,2.0318598359381213e-08,7.537544632896243e-08
1891,3.6970476458009216e-08,9.81629877383483e-08
1892,3.008885940403161e-08,1.2599709675598092e-07
1893,3.4487133149241345e-08,9.730298033971962e-08
1894,4.348062176973144e-08,9.767385877879065e-08
1895,2.9491210362664333e-08,1.1254808929272997e-07
1896,1.592197840238896e-08,8.373781001935754e-08
1897,3.379494017963225e-08,7.166857829421502e-08
1898,3.168678830434146e-08,9.619203067412485e-08
1899,2.2110313580014918e-08,9.72853779757088e-08
1900,2.906989848838748e-08,7.942311031072791e-08
1901,2.6825947685438223e-08,1.2407000982150862e-07
1902,1.669496474399068e-08,1.026249329960649e-07
1903,2.75411240480139e-08,1.0476427458883109e-07
1904,1.7198800605910947e-08,1.0480519030409141e-07
1905,2.7868098939620722e-08,1.1095632146407297e-07
1906,1.3374879870298173e-08,1.224315910874907e-07
1907,4.0628462372183094e-08,1.2445680519501678e-07
1908,2.2101251051509507e-08,1.0117461313186027e-07
1909,2.8605114721358404e-08,8.636543924467333e-08
1910,2.2979847358328698e-08,1.1596807025782141e-07
1911,2.4473720827700163e-08,9.789488208955532e-08
1912,2.6047105805560022e-08,1.364868331132918e-07
1913,2.598464909908671e-08,9.704470871341186e-08
1914,2.276892807628883e-08,7.433385573740736e-08
1915,1.8849219074468238e-08,8.010918128853461e-08
1916,8.789969641043172e-09,5.16410700868164e-08
1917,3.509255963596303e-08,3.838248474608008e-08
1918,1.8378202071289707e-08,1.1256648502211419e-07
1919,1.8415697411455767e-08,4.6960028365905515e-08
1920,4.391894270483476e-08,6.512119199442168e-08
1921,1.6660043622440668e-08,1.1434848801172848e-07
1922,2.8036154453570106e-08,9.44375715405954e-08
