year,six_DET archers_NOUN,six_DET marchés_NOUN
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,1.1371510844071508e-08,0.0
1806,4.034336598124355e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,0.0
1810,3.978215445954447e-08,0.0
1811,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,3.738463982827511e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.6972236000233352e-08,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,1.668964833001496e-08,0.0
1819,1.449147024601416e-08,0.0
1820,4.034603762193001e-08,1.1866481131050932e-09
1821,3.0570614484304315e-08,0.0
1822,7.017931125119503e-09,0.0
1823,5.830785099192326e-08,0.0
1824,1.0947446504872005e-08,8.421112696055388e-10
1825,2.553578504205234e-08,0.0
1826,2.554315381431138e-08,1.7615968683770689e-09
1827,3.6869092223668076e-09,2.7651819167751057e-09
1828,4.219258542548232e-08,9.172301251858528e-10
1829,2.4862210512566207e-08,8.57317605795771e-10
1830,4.174734336004349e-09,0.0
1831,0.0,1.5591206103948707e-09
1832,1.352996914505411e-08,4.058990921151917e-09
1833,5.791814139399776e-09,6.950177322551099e-09
1834,4.667265507407592e-08,0.0
1835,4.61348363955949e-08,2.2689263801112247e-09
1836,3.8980349614803345e-08,6.720750067579218e-10
1837,2.7831563720326358e-08,0.0
1838,6.249040040984255e-08,0.0
1839,2.7266752522514537e-08,2.0974426639952526e-09
1840,4.777266437994143e-08,3.821813088222825e-09
1841,1.6693427085101575e-08,0.0
1842,2.2808102073668124e-08,1.341653010911159e-09
1843,1.2995204023980023e-08,2.3627644285539873e-09
1844,1.2074834465636286e-08,5.488561272137815e-10
1845,1.2834524554250493e-08,1.674068439427856e-09
1846,3.1028856595227694e-08,2.3418005312692003e-09
1847,1.887628275909492e-08,5.393223645455691e-10
1848,8.84974404868899e-09,0.0
1849,1.7596771817451895e-08,8.379414939696517e-10
1850,1.5614690873633208e-08,2.0366988096043315e-09
1851,1.2253933867611977e-08,6.449438760824933e-10
1852,1.4974254503030693e-08,5.208436348880241e-09
1853,5.3747388761848924e-09,1.7915795513800958e-09
1854,2.286092382064453e-08,5.195664454227256e-10
1855,1.8574279891936385e-08,5.306937111981824e-10
1856,2.329735204753547e-08,0.0
1857,1.5132678665708e-08,4.881509085841174e-10
1858,9.787352039936081e-09,1.468102750479261e-09
1859,1.8841042281891873e-08,5.092173349652285e-10
1860,8.238931037407582e-09,4.577183909670879e-10
1861,1.6034277017240584e-08,0.0
1862,2.710791768834042e-08,1.3553959066214816e-09
1863,4.495158911765884e-09,0.0
1864,1.7261019946701595e-08,5.274200631788517e-09
1865,4.4715020575125664e-08,0.0
1866,1.3137154475373336e-08,0.0
1867,1.0190904120577216e-08,4.85281148598915e-10
1868,1.531360938056281e-08,9.87974813071446e-10
1869,1.269714977603087e-08,4.883519144627257e-10
1870,2.064257564882155e-08,2.2936195165357276e-09
1871,1.1683295220166201e-08,6.37270636261178e-09
1872,9.071008832961525e-09,5.442605477412599e-09
1873,5.986004303348835e-09,0.0
1874,1.672890553860995e-08,5.974609251779839e-09
1875,2.8035482713129056e-08,2.2886108563824337e-09
1876,2.2974855795609983e-08,1.0278225381910033e-08
1877,1.4225077116236662e-08,2.4739263970730008e-09
1878,1.8117266742390115e-08,0.0
1879,8.55305559710473e-09,6.10932526790009e-10
1880,1.9895323166707612e-08,1.2835692508872398e-09
1881,1.1853262482652838e-08,3.4862537301449947e-09
1882,1.5307385581309063e-08,1.3310770263785798e-09
1883,3.2860562271253e-08,0.0
1884,6.601696966868076e-09,0.0
1885,7.090199205528336e-09,0.0
1886,1.6779005962419546e-08,3.2267319927115068e-09
1887,2.2198344051815866e-08,1.3057849246322917e-09
1888,2.4094335415725254e-08,1.268122939990235e-09
1889,1.0650732740202784e-08,1.8795409673089125e-09
1890,1.0487018364813139e-08,1.4419650362640368e-08
1891,6.3742202627281586e-09,0.0
1892,2.068609039618252e-08,6.268512375839919e-10
1893,1.7243566574620672e-08,4.926733243593162e-09
1894,2.520615716150587e-08,6.301539290376468e-09
1895,1.2037228991346183e-08,6.018614495673091e-10
1896,2.9485144326102386e-08,1.179405795248556e-09
1897,7.574727511894253e-09,1.7480140668268973e-09
1898,5.6583546736987955e-09,2.8291774478717002e-09
1899,1.0502398950507086e-08,2.2110313580014918e-09
1900,1.5054054003371675e-08,1.038210628578895e-09
1901,1.2295225282343836e-08,1.1177477832191585e-09
1902,1.1293653123800595e-08,5.4013122863239005e-09
1903,1.3500550899436803e-08,2.1600881083827517e-09
1904,6.449550227216605e-09,5.374625189347171e-10
1905,9.805441791854719e-09,2.0643036169332163e-09
1906,1.800464666246171e-08,0.0
1907,1.3371392326710918e-08,3.0857059130084963e-09
1908,2.2592389292697135e-08,5.893666665812702e-09
