year,leurs_DET effets_NOUN,leurs_DET méfaits_NOUN
1800,6.171995003967368e-06,6.288328968651058e-09
1801,5.781511305258391e-06,2.3811825844433088e-09
1802,5.822860032367316e-06,2.4616241489638924e-08
1803,5.1488954682099575e-06,1.1702034896643454e-08
1804,5.556721013988408e-06,3.707776485839531e-08
1805,5.975728861074003e-06,8.528632911009026e-09
1806,5.325324700322653e-06,1.0085842205853623e-07
1807,5.346581758658431e-06,3.131650672116848e-08
1808,5.1961075442363835e-06,1.1330369531492579e-08
1809,5.324535038653266e-06,4.51806094758922e-08
1810,4.046079013164672e-06,3.7442028144596406e-08
1811,4.221917407676301e-06,1.0028307428910921e-07
1812,5.742499297411996e-06,2.400487453257938e-08
1813,4.4631511855186545e-06,3.738464116054274e-08
1814,4.326681221300532e-06,9.440030979135372e-09
1815,6.308805993171518e-06,4.045835311217161e-08
1816,4.700100873833435e-06,5.0987285504788815e-08
1817,4.709541940428608e-06,9.341240669868967e-09
1818,4.41202791989781e-06,1.7881765401739358e-08
1819,4.466477996345475e-06,3.1053151161586356e-08
1820,4.7192993548605955e-06,3.4412794391869284e-08
1821,4.075753068377708e-06,3.0570614484304315e-08
1822,4.245848188588752e-06,3.208197085768916e-08
1823,4.8286810425679505e-06,5.336650943377208e-08
1824,4.602138204745643e-06,1.2042191599448415e-07
1825,3.7590437145240685e-06,1.5497579664014438e-07
1826,4.3238394979994155e-06,1.2683497097043528e-07
1827,3.9532886049187255e-06,1.2074627875335864e-07
1828,3.662499967305166e-06,6.970948618345574e-08
1829,3.825351171826696e-06,9.601956918459109e-08
1830,4.210219501032952e-06,7.931995327226105e-08
1831,3.815168199139407e-06,8.575163690238696e-08
1832,3.79786238546842e-06,9.065079353831607e-08
1833,4.080912219706079e-06,1.7027933552071772e-07
1834,4.129596284485615e-06,1.5121939611617563e-07
1835,3.891208692152759e-06,1.610937658824696e-07
1836,3.5714065589331767e-06,1.1694105239712371e-07
1837,3.5241718094880525e-06,1.9551673346995813e-07
1838,3.375112868297947e-06,1.344490512256158e-07
1839,3.6383636157211185e-06,1.7968091015063692e-07
1840,3.81480665367917e-06,2.9045779115222103e-07
1841,3.922955023938357e-06,1.573034325019762e-07
1842,3.5614178486298442e-06,1.831356399861761e-07
1843,3.5039795704960852e-06,1.346775775346032e-07
1844,3.5362799373217513e-06,2.6345094283897197e-07
1845,3.5049411586385304e-06,1.8191542494605528e-07
1846,3.7954732192702068e-06,2.1368930447351886e-07
1847,3.208967953582942e-06,1.5154958532548335e-07
1848,2.804564289249356e-06,1.3274615184855065e-07
1849,2.5280695403750997e-06,1.566950658116184e-07
1850,2.710846032982772e-06,1.2966982865236787e-07
1851,3.544611431038902e-06,1.7735956703290867e-07
1852,3.0820921992358308e-06,1.5495098182327638e-07
1853,3.167512709012499e-06,1.5407584519344653e-07
1854,2.769289050519319e-06,1.5431123756570742e-07
1855,3.0514888536004037e-06,2.58978531064713e-07
1856,2.9779193049250807e-06,2.2313685449359966e-07
1857,2.970398334412039e-06,1.7866322821191716e-07
1858,2.7619907854159464e-06,2.1483238299424556e-07
1859,2.7670869044982283e-06,1.904472808345048e-07
1860,2.699165364106193e-06,2.238242890473252e-07
1861,2.8338226840673997e-06,2.0278643830806686e-07
1862,2.6028118540466494e-06,1.8975542565025094e-07
1863,2.786499056384173e-06,2.6771166972139326e-07
1864,2.7857368500860957e-06,2.1863959742685068e-07
1865,2.4131991480658144e-06,2.466386535004972e-07
1866,2.5520140631840604e-06,2.0386917753967282e-07
1867,2.2871300515703297e-06,2.0042111259499507e-07
1868,2.748052054357686e-06,2.3168009410934332e-07
1869,2.785070954303137e-06,2.637100370295187e-07
1870,2.6066985192585435e-06,2.3108217206413428e-07
1871,2.984550754092652e-06,2.1985837550531073e-07
1872,2.603984235349799e-06,1.814201728844722e-07
1873,2.7469773797861308e-06,1.9514374116624822e-07
1874,2.8899184840724956e-06,2.126960875759032e-07
1875,2.5306315265538615e-06,2.0654712784562435e-07
1876,2.480679814453879e-06,2.6481545822854e-07
1877,2.230863017871343e-06,2.69657978724247e-07
1878,2.1952086868282095e-06,2.796098086399468e-07
1879,2.1480387637495824e-06,2.7919616718552476e-07
1880,2.5992276491138e-06,1.6493865473421465e-07
1881,2.3420652937033992e-06,1.812852017391009e-07
1882,2.049858650821079e-06,3.074787948698088e-07
1883,2.3078225410699815e-06,2.2244073250021756e-07
1884,2.213548896179418e-06,2.7066957386523427e-07
1885,2.2817550053844116e-06,2.3591027353830896e-07
1886,2.3013051837494913e-06,2.1425499419081007e-07
1887,2.277941742789835e-06,1.8999170159350598e-07
1888,2.2984728964559054e-06,1.502725710533781e-07
1889,2.428993600034346e-06,2.399547429643434e-07
1890,2.188509625966617e-06,2.425122991311923e-07
1891,2.2826081647053797e-06,2.1991059762083154e-07
1892,2.074877517799223e-06,2.6390435725609507e-07
1893,2.3660635442013245e-06,1.896792274358461e-07
1894,2.4380656356015606e-06,2.0164926128884986e-07
1895,2.4062420678205854e-06,2.0463289973626786e-07
1896,2.5439783684078066e-06,2.7892946197205504e-07
1897,2.198419004173502e-06,2.7035951510878675e-07
1898,2.2593812118998358e-06,2.2124167742276768e-07
1899,2.3271104865330017e-06,2.2884174377679756e-07
1900,2.1407902401904266e-06,2.2684902045710942e-07
1901,2.0818052721693903e-06,2.4813999788264596e-07
1902,2.0986553153079512e-06,2.4649624208450405e-07
1903,2.251891960014518e-06,2.5975059880778417e-07
1904,2.2175702856230828e-06,2.0799800193316287e-07
1905,2.0648196112915684e-06,2.384270691990764e-07
1906,2.1096299853695655e-06,2.561803791323314e-07
1907,2.305536717983614e-06,2.7977068750573153e-07
1908,2.1521707580518523e-06,2.7651120770855186e-07
1909,2.226248021486299e-06,2.0518668186753075e-07
1910,2.1659841884513753e-06,2.4209003024466824e-07
1911,2.325535483294061e-06,2.936846388301717e-07
1912,2.434362439629467e-06,2.5005222514806746e-07
1913,2.0655146002468427e-06,2.2219527062716793e-07
1914,2.2434092201706335e-06,2.9934444789603276e-07
1915,2.2607281202624563e-06,3.2161479857073516e-07
1916,2.253528514017944e-06,3.2522888027131103e-07
1917,2.186705138740308e-06,3.2131622784703495e-07
1918,2.189303433652867e-06,2.791189510631398e-07
1919,2.0957063213700167e-06,2.6242368722506626e-07
1920,2.4109986966891483e-06,2.1277970851940609e-07
1921,2.016622687506242e-06,2.1052237819674247e-07
1922,2.1336989952658314e-06,2.073199940610948e-07
1923,2.074356231673846e-06,1.7197836221782836e-07
1924,2.209624437199409e-06,2.2431426582869562e-07
1925,2.3019185348971405e-06,1.8366957288407093e-07
1926,2.1133079037838343e-06,2.0285972190947632e-07
1927,1.9812172666888728e-06,1.9399650685869574e-07
1928,2.2566432207327125e-06,2.3423385098197969e-07
1929,2.244791886596431e-06,1.6933417956721541e-07
1930,2.2698286734623707e-06,1.9851811217108661e-07
1931,2.160174457088715e-06,1.7222088377621958e-07
1932,2.0647767939863115e-06,1.6658496138077794e-07
1933,2.220720311640889e-06,1.9614833002279397e-07
1934,2.2129979626583918e-06,2.2645186525949157e-07
1935,2.405625124879407e-06,1.9747669277592195e-07
1936,2.3012707472958027e-06,1.43071630986924e-07
1937,2.422531245827031e-06,1.9893966607398283e-07
1938,2.5684090125821513e-06,1.828095221867443e-07
1939,2.7957525148281093e-06,1.7588157597003828e-07
1940,2.4140652712389965e-06,1.8764794162962062e-07
1941,2.0276823562426216e-06,2.2431420276802783e-07
1942,2.0571956866888286e-06,1.6688165294098667e-07
1943,2.3922658343167313e-06,2.2645234665219505e-07
1944,2.4291687878985613e-06,2.1528347637911338e-07
1945,2.3309993437692356e-06,2.0477938544871677e-07
1946,2.4027826341921354e-06,1.9071912138457492e-07
1947,2.36867712288813e-06,1.883497591226302e-07
1948,2.4135590308560495e-06,1.7829896759025132e-07
1949,2.657464261091036e-06,1.9830357134154042e-07
1950,2.4663404403213463e-06,1.6803871161208406e-07
1951,2.5299505921339005e-06,1.7591312539977366e-07
1952,2.7743379575895233e-06,1.6449894024717082e-07
1953,2.5296945764807788e-06,1.6160740612392033e-07
1954,2.7294692372947793e-06,1.4365628286938659e-07
1955,2.6101374430709257e-06,1.7081806014118683e-07
1956,2.6198308944458404e-06,1.5698054234292158e-07
1957,2.5798310545610548e-06,1.281080437287585e-07
