year,ces_DET auteurs_NOUN,ces_DET moteurs_NOUN
1800,3.4019858787814883e-06,2.829748080301897e-08
1801,2.590726694506884e-06,2.3811825844433088e-09
1802,3.871463434279576e-06,8.951360541686881e-09
1803,3.489156966907103e-06,0.0
1804,3.697888956821771e-06,4.943701892301533e-09
1805,4.238730753058917e-06,3.695740957709859e-08
1806,3.0171075593443675e-06,2.0171682990621775e-08
1807,3.490367049607812e-06,4.839823830593559e-08
1808,4.493624686574549e-06,9.064295980465431e-09
1809,3.822279666110262e-06,6.777091243748146e-08
1810,4.404118470802132e-06,1.1466621430145096e-07
1811,3.236636189285491e-06,8.022645436867037e-08
1812,4.542255680917151e-06,4.5342538612658245e-08
1813,5.719849923480069e-06,2.5881675469463516e-08
1814,3.3858245558349154e-06,6.293354282149721e-09
1815,5.677655707359008e-06,3.506390555685357e-08
1816,3.8008704450476216e-06,3.244645441213834e-08
1817,4.558525347420073e-06,6.227493809518592e-08
1818,3.001752418185788e-06,7.987188865854478e-08
1819,4.356757102641495e-06,5.072014452878193e-08
1820,3.5741840633818356e-06,8.781195948159848e-08
1821,4.605314984473807e-06,7.198886542436611e-08
1822,3.3976812687797064e-06,8.421517350143404e-08
1823,2.762210954188049e-06,6.127265983479901e-08
1824,3.20086485317006e-06,4.378978690766644e-08
1825,3.125051705410442e-06,9.597932937310816e-08
1826,3.3708155626754888e-06,5.1967108727346556e-08
1827,3.657413941482446e-06,5.8068819086543044e-08
1828,3.7184509551480005e-06,6.970948618345574e-08
1829,3.496998544960661e-06,3.600733844422166e-08
1830,3.7718725138802256e-06,3.757260813586072e-08
1831,2.910878208695067e-06,4.5214496147139016e-08
1832,3.386551242101632e-06,3.111892887819323e-08
1833,3.0325940088005154e-06,4.170106304712817e-08
1834,3.0309221585866908e-06,3.173740559248017e-08
1835,2.778678492632025e-06,5.974839467626225e-08
1836,3.4484167770187923e-06,2.6210924986003192e-08
1837,2.9932847098734783e-06,5.0792602124261066e-08
1838,3.1674428839778557e-06,5.365337618634669e-08
1839,2.9657837501417816e-06,9.927894817352012e-08
1840,3.0300608386824024e-06,5.159447979963261e-08
1841,3.936438361051842e-06,3.4028907691663335e-08
1842,3.2736332400418178e-06,6.507017102919121e-08
1843,3.959993108537674e-06,5.493427313041366e-08
1844,3.1795235884146678e-06,9.87941040087037e-08
1845,3.3286059988313355e-06,5.357018939555758e-08
1846,3.649696111551748e-06,8.371937032514154e-08
1847,3.446809273555118e-06,9.06061563554772e-08
1848,3.2744051736699475e-06,5.14894179515224e-08
1849,3.2000985470403975e-06,1.2736711130223455e-07
1850,3.2050849654297053e-06,5.499086785931695e-08
1851,3.069287828338929e-06,5.224045285245893e-08
1852,3.7103599481724814e-06,4.036538037155424e-08
1853,3.526425757627294e-06,7.584353678424804e-08
1854,2.9007394459767966e-06,1.1378504982673121e-07
1855,3.0366294652139914e-06,8.491099023899551e-08
1856,2.896637454341544e-06,8.076415425328776e-08
1857,2.6330859554946073e-06,7.712784100277759e-08
1858,2.685160040982737e-06,1.879171653840217e-07
1859,3.126594549485162e-06,5.703234062792717e-08
1860,2.781554627517835e-06,7.781212474355925e-08
1861,2.703661920122613e-06,8.724533007153923e-08
1862,2.3751052822262864e-06,1.1430505264531376e-07
1863,2.503803500530921e-06,8.390962791260392e-08
1864,2.5378495536187984e-06,8.342826585128194e-08
1865,2.7855104178797774e-06,1.0119715643241989e-07
1866,2.955859912390224e-06,9.244664767038557e-08
1867,2.6510909378885117e-06,1.0579129039456348e-07
1868,2.7253284144990175e-06,1.684496986342765e-07
1869,3.1210572046802554e-06,1.1866951155070637e-07
1870,2.520114463777645e-06,1.0837352348858076e-07
1871,2.8985191988795123e-06,4.248470730772169e-08
1872,2.7333973662280187e-06,7.740594121230515e-08
1873,3.194131920736254e-06,9.876907647310418e-08
1874,3.050635513091038e-06,1.141150347550024e-07
1875,3.1702981573289435e-06,1.1443054415138931e-07
1876,3.1191390803542163e-06,1.523595649643994e-07
1877,3.091171151936578e-06,6.741449531943999e-08
1878,3.076915589872442e-06,1.3527558095915992e-07
1879,2.789517935752883e-06,1.441800794310666e-07
1880,2.8514490963971184e-06,1.2643157099034852e-07
1881,2.7799387112281693e-06,1.4084465149721836e-07
1882,3.111392629762122e-06,1.5440493150720158e-07
1883,3.0263314556577825e-06,1.5419187082699182e-07
1884,2.845331465550771e-06,1.7098394522463423e-07
1885,3.0326715432238416e-06,1.740321664556177e-07
1886,3.065395446810726e-06,2.3684211925001364e-07
1887,3.433561460042256e-06,1.9782641302867887e-07
1888,3.345308186908369e-06,3.3605258664692883e-07
1889,3.226545516099577e-06,3.3581134317728356e-07
1890,3.296856505130563e-06,4.6011791710043326e-07
1891,3.198583613084338e-06,6.093754620906111e-07
1892,3.5404557934270997e-06,7.208789156720741e-07
1893,3.627307307851879e-06,6.79889197385819e-07
1894,3.0959462264945614e-06,7.423213048696198e-07
1895,3.5961222693003947e-06,7.246411541927955e-07
1896,3.6632345086218265e-06,7.271036679412646e-07
1897,3.949929066493496e-06,5.721832678773353e-07
1898,3.804111997851578e-06,7.180452286092986e-07
1899,3.8123708918647026e-06,6.699424801581699e-07
1900,3.921840743714711e-06,6.478434144696621e-07
1901,3.922735800188093e-06,7.656572336145473e-07
1902,3.8035058764762653e-06,1.2162773117552206e-06
1903,4.308295785904193e-06,9.110171674819867e-07
1904,4.781266568443243e-06,9.926933017823103e-07
1905,4.559530566439207e-06,7.416010419092345e-07
1906,4.348893639871676e-06,7.582527956628837e-07
1907,4.661987418330682e-06,7.328551845375841e-07
1908,4.586255158756103e-06,7.20500793249812e-07
1909,4.97233918395068e-06,8.031435783095731e-07
1910,4.692698666985962e-06,7.754362485457023e-07
1911,4.810150358025567e-06,9.624556867038336e-07
1912,4.795793188350217e-06,8.387168293211289e-07
