year,ces_DET airs_NOUN,ces_DET mers_NOUN
1800,4.181738866293472e-07,1.5846589107582076e-06
1801,4.238504889286787e-07,1.616823016803437e-06
1802,3.6700578220916213e-07,1.494877267305128e-06
1803,4.0567054426787763e-07,1.008325391183007e-06
1804,7.786330371573058e-07,1.636365361434855e-06
1805,6.02690079176682e-07,1.253709118742563e-06
1806,7.405889590472725e-07,1.5272845867997376e-06
1807,3.3024679169102455e-07,1.4661819420780375e-06
1808,3.3991110370834576e-07,1.262203271679141e-06
1809,3.998484032763372e-07,1.2876474295708817e-06
1810,4.5632472378542843e-07,1.1934646315658881e-06
1811,4.061464267124393e-07,1.2485241818183113e-06
1812,6.027890364634914e-07,8.508394344630688e-07
1813,6.039057396378666e-07,1.1761783298425144e-06
1814,7.457624633389059e-07,4.971749865134711e-07
1815,2.643279088943018e-07,1.1463199598438223e-06
1816,3.036061109185084e-07,1.2862701801452658e-06
1817,4.110145797042719e-07,9.71488979928381e-07
1818,3.9339886015454795e-07,1.1396645778205539e-06
1819,4.5958660876976865e-07,1.5857808595143297e-06
1820,5.541646501683317e-07,1.42635104438682e-06
1821,5.216727174683911e-07,1.0837775397121163e-06
1822,4.4513735986129177e-07,8.381414602354198e-07
1823,3.014219576158439e-07,8.222395697643492e-07
1824,3.7558162802042716e-07,9.204276141261403e-07
1825,5.151184421237076e-07,1.0865916344471316e-06
1826,3.8138572833190665e-07,1.1036404359288099e-06
1827,2.7283126868837826e-07,9.742657072209226e-07
1828,3.6689204740980585e-07,1.301549492183085e-06
1829,3.7379047057584103e-07,1.1968154112196316e-06
1830,5.89681221185856e-07,1.115697701337126e-06
1831,2.806417143119688e-07,9.385906167835856e-07
1832,4.4784197683611637e-07,9.403328498081009e-07
1833,5.965568661281395e-07,1.9912257371856867e-06
1834,3.2857548859510644e-07,1.1565483681863498e-06
1835,4.363901808801529e-07,1.0535381989029702e-06
1836,3.790502951517283e-07,1.192933144267272e-06
1837,2.845777480331435e-07,1.1403983233293502e-06
1838,3.1118958787601514e-07,9.10213742599808e-07
1839,4.1809022022221143e-07,1.312999058811215e-06
1840,3.40141363963653e-07,1.0873058506888356e-06
1841,3.6918153512033314e-07,1.1441417271385035e-06
1842,3.481589700982113e-07,1.0739932534420404e-06
1843,3.691819294715515e-07,1.0821461131627075e-06
1844,3.9956725217393796e-07,9.840990022880192e-07
1845,3.7499130378648715e-07,1.0747519318954346e-06
1846,3.4424467898475086e-07,9.507710334588637e-07
1847,2.998632275819091e-07,9.62151141870038e-07
1848,3.041093847855336e-07,9.57381409705249e-07
1849,3.578010066007664e-07,1.4689114280486137e-06
1850,2.966791328162799e-07,8.126428339139125e-07
1851,2.7281125092315506e-07,6.829955623288697e-07
1852,5.546984809257083e-07,8.522303716063107e-07
1853,3.702597801691354e-07,9.244550298603826e-07
1854,5.268403597824545e-07,8.04288877276349e-07
1855,3.5184992697168127e-07,8.204524881705311e-07
1856,4.498977546063543e-07,8.620019809058022e-07
1857,4.266438917710502e-07,6.956150695458518e-07
1858,3.4402541970735e-07,7.893499667233073e-07
1859,5.356966497060967e-07,7.307268505840625e-07
1860,3.712096017238764e-07,7.328071589540741e-07
1861,4.456585642742539e-07,6.602349404971619e-07
1862,3.194216411372963e-07,7.730274385053804e-07
1863,3.041724134789092e-07,7.696710540017193e-07
1864,3.490561972796513e-07,9.076419793530022e-07
1865,4.2079188133925527e-07,6.707253081827957e-07
1866,3.649209681100274e-07,5.425158366989535e-07
1867,3.3532926302370925e-07,5.600144348250069e-07
1868,3.665386465456777e-07,5.838931400603542e-07
1869,4.2193605054308136e-07,5.806504113081701e-07
1870,2.712205091626174e-07,6.049421603648852e-07
1871,2.655294260023311e-07,4.1953651308546114e-07
1872,3.319989190231354e-07,5.684499022606815e-07
1873,3.3162464418978743e-07,5.662760109714782e-07
1874,3.0231522352153206e-07,5.490665522245308e-07
1875,2.4888642258247273e-07,6.09914797777833e-07
1876,2.6844305978102057e-07,5.368861142329706e-07
1877,3.117147393538744e-07,6.33943650463209e-07
1878,3.907290277993525e-07,5.386867245604776e-07
1879,3.097427843101741e-07,5.034084100685732e-07
1880,2.5350492194320395e-07,5.66695824488761e-07
1881,3.249188438303463e-07,5.110848046996352e-07
1882,2.622221639825284e-07,4.1396496097689806e-07
1883,2.4076681448548243e-07,5.377757226199265e-07
1884,3.129204415586173e-07,7.037408700227843e-07
1885,2.391330813367176e-07,5.175845219085318e-07
1886,3.175104374975035e-07,5.130503897277094e-07
1887,2.872726856395502e-07,4.3352060874468634e-07
1888,2.460158547989977e-07,4.406727338590599e-07
1889,3.0887123614320444e-07,5.294040690273505e-07
1890,2.5758738786407775e-07,5.053431761936622e-07
1891,2.2373512464923806e-07,2.6835466560015675e-07
1892,2.3506920854288182e-07,4.0619959840171305e-07
1893,1.9460596156761767e-07,3.892119204707001e-07
1894,2.350474090917487e-07,3.2452928167003847e-07
1895,2.4194829784107696e-07,3.8338575336638314e-07
1896,2.1642096648122333e-07,3.762304610077649e-07
1897,2.1966709518039806e-07,3.659176011083787e-07
1898,2.2633420115880654e-07,2.783910519887911e-07
1899,2.5150482407809704e-07,3.1064990402285275e-07
1900,2.3515470104484848e-07,2.9640913101758315e-07
1901,2.1851968501351848e-07,2.844667972290438e-07
1902,1.9935752160193942e-07,2.843054218715224e-07
1903,2.694710055095584e-07,2.9161190262527725e-07
1904,1.9348650681649815e-07,2.526073821229602e-07
1905,1.9610884827159225e-07,3.2306351371858e-07
1906,1.8879157437368121e-07,2.8395899565047955e-07
1907,2.000566077242638e-07,2.5714217022354546e-07
1908,2.681618447297751e-07,2.411492054932296e-07
1909,2.2884090888908304e-07,2.3379180680294098e-07
1910,2.933938674232195e-07,3.2545876527123596e-07
1911,2.0270625533669318e-07,3.107098516252904e-07
1912,2.9745795515623286e-07,2.6672235797775556e-07
1913,2.6196769375985696e-07,2.5136170211936815e-07
1914,2.270196119980028e-07,2.57824644300797e-07
1915,1.684648918143239e-07,2.9451905447785975e-07
1916,1.4173825491070602e-07,2.395266673893559e-07
1917,2.5771097966753587e-07,2.9828674152909684e-07
1918,2.63038021586226e-07,2.9864578010574405e-07
1919,2.2282992784283806e-07,2.2375072195046641e-07
1920,2.559414298275442e-07,2.3625362643997505e-07
1921,3.612200565328294e-07,1.9689143115897423e-07
1922,3.1430005975607855e-07,2.5011201554292484e-07
1923,2.6964508137439225e-07,2.2718128711574082e-07
1924,3.0166401998599213e-07,2.4623001548818024e-07
1925,3.1894715490921044e-07,2.650560979589045e-07
1926,3.35498771875109e-07,2.3183967778894754e-07
1927,3.7015426102016136e-07,2.51972479325957e-07
1928,2.685119735446051e-07,2.330912378667449e-07
1929,3.130454260258375e-07,2.8073823332697145e-07
1930,3.445182059635954e-07,2.2057567683475554e-07
1931,2.919771411313832e-07,2.2468552440813028e-07
1932,2.1590287069273018e-07,2.6193292868015305e-07
1933,2.2253084708268034e-07,3.039725431364104e-07
1934,2.1447027975796118e-07,2.0967765834711827e-07
1935,2.5492445665520336e-07,1.8909888321871904e-07
1936,3.0918022098092024e-07,2.3521945990978566e-07
1937,1.586480848914107e-07,2.1404900385491032e-07
1938,1.970712553145404e-07,2.657868929389906e-07
1939,1.529405118105842e-07,2.3246956804001684e-07
1940,1.3946805843545462e-07,2.0539841982802898e-07
1941,3.5418031529843574e-07,2.4497471606821364e-07
1942,1.8205270713167465e-07,1.5777901296587515e-07
1943,1.9451676003257035e-07,2.4387175479034795e-07
1944,2.7954719428180397e-07,2.2170984337321897e-07
1945,2.091363882072983e-07,1.3288874534111983e-07
1946,2.0324812055605435e-07,2.0603233608085247e-07
1947,1.8954184177744082e-07,2.08615238417309e-07
1948,2.58750922910167e-07,1.576423720450748e-07
