year,avons_VERB uni_VERB,avons_VERB muni_VERB
1800,6.288328968651058e-09,9.432493897065797e-09
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,2.2378401354217203e-09,1.3427040812530322e-08
1803,0.0,7.801356893821776e-09
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,2.305335300434308e-08
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,1.0069366851439554e-07
1815,5.394447111228828e-09,5.394447111228828e-09
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,4.670620334934483e-09,2.80237220096069e-08
1818,1.1921177378582115e-09,3.457141417584353e-08
1819,0.0,8.280840013696888e-09
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,0.0,0.0
1822,2.8071724500478012e-08,8.02049271442229e-09
1823,1.087095569118901e-08,0.0
1824,0.0,0.0
1825,0.0,2.641632912414593e-09
1826,0.0,1.7615968683770689e-09
1827,1.474763688946723e-08,9.217273055917019e-10
1828,3.668920500743411e-09,0.0
1829,2.571952872898464e-09,7.715858174606183e-09
1830,1.0436835395921662e-08,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,1.488296597074168e-08
1833,3.4750886612755494e-09,3.4750886612755494e-09
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,1.739510224751939e-08
1836,2.016224964762614e-09,2.688300071440608e-08
1837,1.2524203896191466e-08,6.957890930081589e-10
1838,0.0,1.2624323808552163e-08
1839,0.0,8.38977065598101e-09
1840,5.732719632334238e-09,1.1465439264668476e-08
1841,2.5682194149112547e-09,6.420548537278137e-10
1842,2.683306021822318e-09,1.1404051036834062e-08
1843,4.134837805480629e-09,2.953455480181333e-09
1844,1.5916826967554698e-08,1.0428266250528395e-08
1845,1.0602432709561072e-08,1.1160455670733427e-08
1846,1.1709002656346001e-08,2.3418005312692003e-09
1847,1.5101026207275936e-08,4.853901280910122e-09
1848,8.045221711050488e-10,0.0
1849,8.379414939696517e-10,5.865590679832167e-09
1850,8.82569484161877e-09,6.788996032014438e-10
1851,0.0,5.8044946626978344e-09
1852,9.765818376195057e-09,2.6042181744401205e-09
1853,3.5831591027601917e-09,5.971931837933653e-09
1854,1.558699391779328e-09,3.63696517347023e-09
1855,6.368324534378189e-09,3.343370380548549e-08
1856,5.177189343896771e-09,7.248064815001953e-09
1857,4.393358121745905e-09,1.3668225662399891e-08
1858,3.9149408159744326e-09,7.829881631948865e-09
