year,les_DET auteurs_NOUN,les_DET moteurs_NOUN
1800,3.1954143651091726e-05,2.609656477581268e-07
1801,3.573202457118896e-05,2.285935303270037e-07
1802,3.668491353892023e-05,3.1329761895904085e-07
1803,3.4587316804390866e-05,2.86699872731333e-07
1804,3.587150104067405e-05,2.1752287793219693e-07
1805,3.535402765919571e-05,3.1555942570093976e-07
1806,3.840688486889121e-05,2.5935023018064385e-07
1807,3.896342605003156e-05,3.359407116931834e-07
1808,4.1949562728405e-05,2.4246991081611213e-07
1809,4.079131531398161e-05,3.3433652557590676e-07
1810,4.442730687514995e-05,9.243500898037382e-07
1811,4.665419055527309e-05,4.6380920792898905e-07
1812,5.204790159041295e-05,6.427971896982854e-07
1813,4.5620764922205126e-05,1.236568909490643e-07
1814,3.9415276660292875e-05,2.7376090994124525e-07
1815,4.256758256815374e-05,2.8320847134111204e-07
1816,3.835402685581357e-05,2.711596440718722e-07
1817,4.337605059845373e-05,3.7832023735973053e-07
1818,3.973090133513324e-05,8.046794448546279e-07
1819,4.3157667278137524e-05,5.341141999792853e-07
1820,4.214143291392247e-05,3.322614574585714e-07
1821,4.2398484310979256e-05,3.175399356791786e-07
1822,3.729930313056684e-05,7.66959587394922e-07
1823,3.524264957377454e-05,4.555918806659065e-07
1824,3.9340913190244464e-05,4.058976230680855e-07
1825,3.896760699717561e-05,4.35869417003687e-07
1826,3.966763824791997e-05,2.739283164743256e-07
1827,4.1893429624906275e-05,3.6500401634498303e-07
1828,4.294929976822459e-05,4.668701336640879e-07
1829,4.164506117376732e-05,4.6809540421577367e-07
1830,4.1573046473786235e-05,3.5067768777707897e-07
1831,3.72255640286312e-05,3.024693882025531e-07
1832,4.0131241803464945e-05,3.3013125744218996e-07
1833,3.773251091843122e-05,2.930658116184759e-07
1834,3.547308369888924e-05,4.96597054588932e-07
1835,3.4365914871159475e-05,3.69835007063557e-07
1836,3.7716175938840024e-05,3.629205060917684e-07
1837,3.7958076973154675e-05,3.8337978836011644e-07
1838,3.4650613542908104e-05,2.960404010821094e-07
1839,3.656121907624765e-05,5.285555184642021e-07
1840,3.5133291930833366e-05,5.051163007863124e-07
1841,3.979841221735114e-05,3.6083482601867445e-07
1842,3.751261965589947e-05,3.8840855509647554e-07
1843,3.914864237231086e-05,3.2015458373280126e-07
1844,3.561253015504917e-05,3.7157560339728946e-07
1845,3.5995818507217336e-05,4.3860593024191985e-07
1846,3.9175397432700265e-05,5.901337170044485e-07
1847,3.59652499355434e-05,4.487161966437725e-07
1848,3.510049828037154e-05,4.416826797637441e-07
1849,3.706382904056227e-05,3.142280746715187e-07
1850,3.7015642647020286e-05,2.6748644366136887e-07
1851,3.634129870988545e-05,4.230831927021228e-07
1852,4.03393387387041e-05,4.817803485046568e-07
1853,3.801612410825328e-05,5.135861496086136e-07
1854,3.278776011939044e-05,4.993033571043526e-07
1855,3.266472867835546e-05,4.590500566337141e-07
1856,3.3102431189036e-05,4.799254309517664e-07
1857,3.239759871576098e-05,4.017481922691246e-07
1858,3.2279665447276784e-05,5.275382690683728e-07
1859,3.719476035257685e-05,4.318163022709598e-07
1860,3.2675601232767804e-05,4.54514354597535e-07
1861,3.241800686737406e-05,5.96097835536824e-07
1862,3.19918599416269e-05,7.282994127777442e-07
1863,3.1206890525936615e-05,4.7648683632051103e-07
1864,3.0136783607304096e-05,4.7611650011436524e-07
1865,3.16262280648516e-05,4.862170266406451e-07
1866,3.275287281212513e-05,4.7293758709265887e-07
1867,3.155249532937887e-05,6.929814553302549e-07
1868,3.211955572623992e-05,6.481114900314111e-07
1869,3.42720495609683e-05,4.365865980959782e-07
1870,3.2307351830240805e-05,5.682442498766704e-07
1871,3.118271524726879e-05,4.790151066913495e-07
1872,3.2265579648083076e-05,4.644356650373993e-07
1873,3.278833901276812e-05,7.829693648986336e-07
1874,3.273129823355703e-05,6.95444513088006e-07
1875,3.103299059148412e-05,6.551148352684777e-07
1876,3.508744248392759e-05,1.0792136242443462e-06
1877,3.3957113373617176e-05,7.935118699897714e-07
1878,3.86012520721124e-05,8.03802700843903e-07
1879,3.4810323995770887e-05,1.179099825776575e-06
1880,3.7419893942569615e-05,9.658858584060681e-07
1881,3.4843712910515023e-05,1.3303544772469422e-06
1882,3.576604012778262e-05,1.1706822391488458e-06
1883,3.640697514128988e-05,1.4983152230030328e-06
1884,3.50708546648093e-05,1.4523733158355867e-06
1885,3.4816745028365403e-05,1.5817589691380363e-06
1886,3.379033705641632e-05,2.1444860074382177e-06
1887,3.952415181629476e-05,1.2222147223184265e-06
1888,3.775962795771193e-05,1.9193040365905745e-06
1889,3.570626768123475e-05,2.0261452675640612e-06
1890,3.652169607448741e-05,2.561454301996946e-06
1891,3.45571975230996e-05,3.947554397143449e-06
1892,3.654291958810063e-05,4.080801573991266e-06
1893,4.029020874440903e-05,3.962325255457699e-06
1894,3.594902045733761e-05,4.099151304615134e-06
1895,3.672016919153975e-05,4.267197589058469e-06
1896,3.6217193155607674e-05,4.1951464808676064e-06
1897,3.77862379536964e-05,4.217375199289108e-06
1898,3.783402462431695e-05,4.893911231818038e-06
1899,3.715306502272142e-05,4.139050727047788e-06
1900,3.6406932849786244e-05,4.586295350605951e-06
1901,3.800901322392747e-05,5.218205732404613e-06
1902,3.2956351788016036e-05,1.0226648299749286e-05
1903,4.017601804662263e-05,5.935922061439669e-06
1904,4.1024512029252946e-05,6.3786051072156624e-06
1905,4.075554716109764e-05,5.0317402493504915e-06
1906,4.1317576688015833e-05,5.45643647242855e-06
1907,3.984880731877638e-05,5.041015210593969e-06
1908,4.109457313461462e-05,4.9973384008694666e-06
1909,4.0970226109493524e-05,6.2606692630140515e-06
1910,4.154275575274369e-05,5.569139521099942e-06
1911,4.188464481558185e-05,6.5004331126772286e-06
1912,4.1459177737124264e-05,6.954577386864003e-06
1913,4.3163685404579155e-05,7.216308272717242e-06
1914,4.1410654375795275e-05,5.904519102983841e-06
1915,3.962459322792711e-05,4.186882831547223e-06
1916,3.7077191336720716e-05,3.7082683785882864e-06
1917,3.607734379329486e-05,4.287871934849363e-06
1918,3.5736414247367065e-05,5.765012275560366e-06
1919,3.6157378417556174e-05,6.936272161084389e-06
1920,3.863731308229035e-05,6.764274516513069e-06
1921,4.1219221202482004e-05,7.014635954760706e-06
1922,4.5360284275375307e-05,7.184633339818447e-06
1923,3.861444929498248e-05,5.866373093965649e-06
1924,4.219299717078684e-05,6.48964351057657e-06
1925,4.123216785956174e-05,3.5502117583519066e-06
1926,4.238430756231537e-05,5.162891270060754e-06
1927,4.125213217776036e-05,4.243395032688113e-06
1928,4.325213740230538e-05,4.6035520284704035e-06
1929,4.216086745145731e-05,4.2511789892785146e-06
1930,4.430315038916888e-05,4.7360750023983655e-06
1931,4.376691686047707e-05,5.865774795665857e-06
1932,4.5896348638052586e-05,5.3920918077210445e-06
1933,4.4084050387027673e-05,5.882155569736369e-06
1934,4.391848233353812e-05,5.057424942833677e-06
1935,4.7411161176569294e-05,4.731062915652728e-06
1936,4.737974722957006e-05,4.897172310336373e-06
1937,4.679740686697187e-05,5.062888590146031e-06
1938,4.7934991926013026e-05,5.333889099290445e-06
1939,4.707049902208382e-05,4.7656263149065126e-06
1940,4.785022338182898e-05,3.8112816937996286e-06
1941,3.860270317090908e-05,4.858173305422042e-06
1942,4.246986190992175e-05,3.4559672101863725e-06
