year,trois_DET eaux_NOUN,trois_DET mots_NOUN
1800,9.432493897065797e-09,8.583569268694191e-07
1801,8.096020565062645e-08,1.1239181390010344e-06
1802,1.1189200677108602e-08,4.945626699282002e-07
1803,2.3404069793286908e-08,7.196751532489998e-07
1804,1.730295728918918e-08,8.404293101449412e-07
1805,2.842877755426798e-08,7.220909408189868e-07
1806,5.76333825108577e-09,5.763338322140044e-07
1807,1.9928686256776018e-08,4.868293403959001e-07
1808,2.2660739062985158e-08,5.801149356443602e-07
1809,5.421673421324158e-08,6.031611730072939e-07
1810,9.594519667643908e-08,6.060928305906543e-07
1811,7.019814773912003e-08,8.524061030357188e-07
1812,1.600324850414836e-08,7.521526974585413e-07
1813,3.738464116054274e-08,6.154087319742985e-07
1814,4.090680150170556e-08,4.562681770181598e-07
1815,3.506390555685357e-08,4.6392243824300294e-07
1816,2.3176038865813098e-09,7.416332277188076e-07
1817,2.1796227045456362e-08,6.912517758195236e-07
1818,2.6226590676969863e-08,6.020194582845306e-07
1819,1.2421260464634543e-08,5.837992285151472e-07
1820,3.5599443393152796e-09,6.324834522786205e-07
1821,5.9168927535324656e-09,7.011518139421469e-07
1822,2.7069162911175226e-08,6.356240618288211e-07
1823,7.609668595254249e-08,6.403981327451902e-07
1824,5.221090049190025e-08,5.91162125473943e-07
1825,3.874394849390228e-08,5.996506438066262e-07
1826,2.906634755106552e-08,5.311214330561143e-07
1827,2.949527377893446e-08,4.756112943482549e-07
1828,4.219258542548232e-08,5.833583465175707e-07
1829,2.8291481157793896e-08,4.526636958601671e-07
1830,5.844628248041772e-08,6.084675412409979e-07
1831,4.053713453799901e-08,6.189709083059824e-07
1832,3.111892965534935e-08,6.156136080903707e-07
1833,5.21263281427764e-08,6.127739435868307e-07
1834,3.733812370398937e-09,6.32881197226709e-07
1835,6.806779140333674e-09,6.852157525827351e-07
1836,1.6129799718100912e-08,6.996300623285379e-07
1837,5.5663127440652715e-09,6.881354170928944e-07
1838,1.2624323364462953e-08,4.967671358713233e-07
1839,1.8876983531868063e-08,5.355469809842361e-07
1840,5.732719632334238e-09,5.968398149036602e-07
1841,0.0,6.388445843441559e-07
1842,1.8783142152756227e-08,6.600932627165434e-07
1843,4.843666989717832e-08,5.983700797074221e-07
1844,1.8112252364588244e-08,7.266854984422366e-07
1845,1.5066614622583074e-08,7.321258994608115e-07
1846,1.6978054517835517e-08,6.305298079212207e-07
1847,2.9662729161827883e-08,5.646704934747504e-07
1848,2.333114323960217e-08,8.093493164551546e-07
1849,4.189707314417035e-08,8.714591643865788e-07
1850,2.2403686017469226e-08,6.721106053930725e-07
1851,1.096404567135778e-08,6.862203019153412e-07
1852,4.427170807730363e-08,6.26965515948541e-07
1853,5.971931837933653e-09,6.587040779493236e-07
1854,4.208488119106235e-08,8.2663022737961e-07
1855,5.837630823180007e-08,8.21513857829359e-07
1856,5.3842768188427925e-08,7.16522963628563e-07
1857,2.0502338549110988e-08,7.292974686379239e-07
1858,2.6425849952715907e-08,7.110511344166071e-07
1859,4.226503946824778e-08,7.709550171597357e-07
1860,5.0806741119791e-08,7.556930690100216e-07
1861,5.234719679947375e-08,6.875875300238476e-07
1862,5.737842562192341e-08,7.779972168719951e-07
1863,4.9946207170137313e-08,7.886506452337017e-07
1864,3.068625842317374e-08,7.614028163516195e-07
1865,2.729969672543575e-08,7.234419889812216e-07
1866,1.0217787504984699e-08,7.045407741657073e-07
1867,4.610170911689693e-08,8.123606320964427e-07
1868,5.532658775564414e-08,7.780301523041544e-07
1869,4.2974966696363026e-08,8.404536657735662e-07
