year,trois_DET auteurs_NOUN,trois_DET moteurs_NOUN
1980,2.3365969781252716e-07,5.2871900635409474e-08
1981,2.1759890245220959e-07,2.846497215713839e-08
1982,2.0298532632523347e-07,4.283176457953175e-08
1983,2.456657988147981e-07,4.294415045791311e-08
1984,2.058647972091876e-07,2.029652917956426e-08
1985,2.2558342038792034e-07,1.6242006406486098e-08
1986,2.9792593281285917e-07,3.596691433571664e-08
1987,2.6948701759010874e-07,2.261002318704186e-08
1988,2.5785181989590455e-07,2.7584148298842592e-08
1989,2.562952978735211e-07,2.030605161795762e-08
1990,2.8550931219228914e-07,2.397406495546761e-08
1991,2.5966291161694244e-07,1.4067516596050211e-08
1992,2.666813010421265e-07,1.3774860585513693e-08
1993,2.957936828806851e-07,3.71126915865716e-08
1994,2.468665591948138e-07,1.8462243067673967e-08
1995,2.868476549622301e-07,2.2774294172744902e-08
1996,2.7170888827754425e-07,1.3345230254202534e-08
1997,3.476298360283181e-07,1.2946214766884623e-08
1998,3.2232552982236484e-07,1.9549330043666657e-08
1999,2.801533298679715e-07,1.9194844491643437e-08
2000,3.048441605812968e-07,1.6346716869009015e-08
2001,2.961699081538427e-07,2.3220422695757748e-08
2002,3.1019049373526286e-07,3.023042882688287e-08
2003,2.9335137696762104e-07,2.2918075437416974e-08
2004,3.021686936222068e-07,2.5107310452909815e-08
2005,3.2742258326834417e-07,2.34194974524371e-08
2006,2.8454618572482104e-07,3.088417366292617e-08
2007,3.03979881266514e-07,2.1570189912001325e-08
2008,2.456542667061967e-07,1.4901038791759191e-08
2009,2.1123092253105824e-07,2.28873242580363e-08
2010,2.02178348729376e-07,1.0392344318432833e-08
2011,1.414869643667771e-07,2.71502018645009e-08
2012,1.1540416799959985e-07,2.178721769663383e-08
2013,1.2551062766874566e-07,1.4782362667276061e-08
2014,9.592921834666868e-08,2.252063052710085e-08
2015,1.052873326301551e-07,1.906254798456075e-08
2016,9.010329193870348e-08,1.719212239237322e-08
2017,1.0062445454650515e-07,2.213738048428837e-08
2018,1.009353489678233e-07,1.8586559735744856e-08
2019,9.209065510162873e-08,1.7091618509379458e-08
