year,nos_DET eaux_NOUN,nos_DET mots_NOUN
1800,1.6978488170948935e-07,4.967779858588983e-07
1801,2.5240534040626983e-07,2.3335588750228453e-07
1802,5.572221937200084e-07,3.513409012612101e-07
1803,5.558466682487051e-07,1.4432510297979206e-07
1804,1.9033252907085796e-07,9.393033550963992e-08
1805,2.4448747981686836e-07,7.107194432975916e-08
1806,1.123850950079941e-07,2.017168405643588e-07
1807,1.7366425675291453e-07,2.761546511464985e-07
1808,2.1074488509853495e-07,4.940041091749947e-07
1809,3.4789070069152217e-07,1.671682543502584e-07
1810,6.248138508802015e-07,2.29332422385653e-07
1811,2.0307322312618226e-07,9.777599307980722e-08
1812,5.521120840512594e-07,1.1202274663446588e-07
1813,2.5594099395398473e-07,4.026038169513413e-08
1814,1.5733385794192145e-07,3.4613449884091096e-08
1815,2.0498898534171417e-07,1.8610843177668812e-07
1816,2.0394914201915526e-07,1.9467872647283002e-07
1817,4.125714561098448e-07,9.341240492233283e-08
1818,9.393887872022333e-07,1.1325118443039628e-07
1819,2.950049129424315e-07,5.382546075516359e-08
1820,2.7530235424677585e-07,6.05190555447166e-08
1821,4.4376696273218386e-07,3.8459804674317866e-08
1822,3.258325307342602e-07,6.817418807258946e-08
1823,2.2137218458340158e-07,1.4824030680760103e-07
1824,2.206331588539001e-07,2.1642260339405084e-07
1825,1.6994505336320742e-07,1.1270966937537708e-07
1826,1.8849086469430176e-07,1.2507337920908412e-07
1827,5.382887540150705e-07,7.18947319455765e-08
1828,4.797113555277122e-07,5.77854966654634e-08
1829,9.199018062844289e-07,9.859152783064928e-08
1830,3.965997514843167e-07,7.931995327226105e-08
1831,3.710706950599274e-07,7.483778574624012e-08
1832,3.0983630083802893e-07,6.494385429434146e-08
1833,1.646033624069787e-06,8.571884890784531e-08
1834,4.060521003879103e-07,1.0734710320647878e-07
1835,4.250455489795968e-07,8.24376584773745e-08
1836,3.75017862097593e-07,7.863277229347432e-08
1837,4.049492597912874e-07,8.906100035233067e-08
1838,2.670044372266034e-07,9.973215497893761e-08
1839,2.7126923396458835e-07,7.900367027247057e-08
1840,2.223021389191615e-07,6.751870218479894e-08
1841,3.5698249689630757e-07,8.603535217588387e-08
1842,2.5223075894587055e-07,9.257406130558365e-08
1843,3.538239612410621e-07,7.26550033469664e-08
1844,3.507190520779524e-07,5.378790224330743e-08
1845,3.1026068048056743e-07,8.705155885024851e-08
1846,3.2199757704631793e-07,8.371936743856168e-08
1847,2.1518961723643315e-07,4.853901280910122e-08
1848,2.244616927882248e-07,6.033916166714448e-08
1849,4.7678869941059077e-07,6.20076696655758e-08
1850,2.0706437897644037e-07,9.979824167061224e-08
1851,3.3021126988330707e-07,7.416854241881765e-08
1852,5.462347409945778e-07,6.966283594422862e-08
1853,5.303075720775041e-07,1.0510599679491861e-07
1854,3.7720523471396206e-07,5.4034909713340795e-08
1855,3.0886374702276953e-07,6.209116776290102e-08
1856,2.7335559593666403e-07,1.0665009453347807e-07
1857,3.8075769914769353e-07,9.567757541795174e-08
1858,3.2445070619058214e-07,1.242993734607012e-07
1859,2.7344970776610467e-07,1.0642642322977736e-07
1860,3.7212506143191604e-07,4.531411912367389e-08
1861,3.437937690087267e-07,9.526246569357966e-08
1862,3.3930077683597126e-07,8.403454646033204e-08
1863,4.1255567762021883e-07,1.2636390422926524e-07
1864,3.015883973667144e-07,8.007195473336282e-08
1865,3.751355008851931e-07,9.084209851017988e-08
1866,3.5129725728388905e-07,7.930949053047698e-08
1867,4.682963172797372e-07,1.3539343335366993e-07
1868,4.954693952896605e-07,1.5906393802112007e-07
1869,3.750542578728755e-07,1.0597236754783523e-07
1870,6.748975378556565e-07,1.2442885477526033e-07
1871,3.016414447110094e-07,7.647247701747517e-08
1872,5.140238581446965e-07,1.0885210932620737e-07
1873,4.561335344988038e-07,1.131354815941954e-07
1874,4.098581971589965e-07,1.1292011148356096e-07
1875,5.321020166704216e-07,1.4418248461822714e-07
1876,3.845265357238503e-07,8.403960283231982e-08
1877,4.490176337412777e-07,8.844287169296194e-08
1878,3.2973425279081425e-07,8.515115013096874e-08
1879,4.765273846629725e-07,1.0874599043475541e-07
1880,3.5426511679759187e-07,6.867095692086878e-08
1881,3.186436088320477e-07,8.715634181033494e-08
1882,4.166271019290235e-07,6.721938916598447e-08
1883,3.791603362945928e-07,1.131161648793011e-07
1884,3.307450313627669e-07,7.393900425256561e-08
1885,5.143617218816843e-07,6.83237364462741e-08
1886,4.175391046246091e-07,9.163919001409226e-08
1887,4.119751542130956e-07,8.2264446810143e-08
1888,4.6793736685479814e-07,1.0081577683784815e-07
1889,3.6024536420597997e-07,4.886806664883281e-08
1890,4.155481057033228e-07,6.226667292885679e-08
1891,3.129742042196071e-07,7.266610668743567e-08
1892,3.91782009945274e-07,5.516291046170352e-08
1893,4.27394099777878e-07,4.803564856992182e-08
1894,3.1444679748915405e-07,5.419323878541604e-08
1895,3.141716815591167e-07,6.620476167285005e-08
1896,3.408482802669255e-07,1.090950325632889e-07
1897,3.589255677116654e-07,1.0080214285501654e-07
1898,3.3271127719558535e-07,7.186110573265125e-08
1899,3.742170449072546e-07,8.623022296205818e-08
1900,3.389757836647078e-07,7.682758607074902e-08
1901,3.576792846349264e-07,1.050682920666901e-07
1902,3.3439032454118944e-07,5.6959292060732025e-08
1903,4.741393360152557e-07,6.480264391761636e-08
1904,4.3158239471097204e-07,5.482117781951956e-08
1905,4.051195880983016e-07,6.967024379633813e-08
1906,3.8375617172903276e-07,9.310973680953794e-08
