year,trois_DET âges_NOUN,trois_DET ages_NOUN,trois_DET mages_NOUN
1800,1.3834323908668011e-07,0.0,6.288328968651058e-09
1801,1.166779455274991e-07,7.143547975374531e-09,4.7623651688866175e-09
1802,7.832440473976021e-08,0.0,8.951360541686881e-09
1803,2.2038832980797451e-07,0.0,1.950339267864365e-08
1804,6.921182738039988e-08,7.4155526164076946e-09,7.4155528384522995e-09
1805,3.1271655132059095e-07,5.685755422035754e-09,5.685755422035754e-09
1806,6.051504897186533e-08,0.0,2.881669125542885e-09
1807,8.540865303885425e-08,0.0,8.540865348294346e-09
1808,1.0197332933614689e-07,2.2660739951163578e-09,4.5321479902327155e-09
1809,2.5978849693686357e-07,2.259030518203531e-09,0.0
1810,8.89248181756841e-08,0.0,9.828532299138715e-08
1811,6.267691565753353e-08,0.0,2.757784400841956e-08
1812,9.601949635396068e-08,0.0,1.600324939232678e-08
1813,1.2365688917270745e-07,0.0,2.8757416448144113e-09
1814,1.0069366851439554e-07,0.0,0.0
1815,8.091670622434322e-08,0.0,2.9669459555847766e-08
1816,1.0197456923322079e-07,0.0,1.8540831092650478e-08
1817,7.784366895524641e-08,0.0,3.736496234640896e-08
1818,4.887682614196365e-08,0.0,3.576353058143411e-08
1819,9.729986949480462e-08,0.0,9.626476504820403e-08
1820,7.950542357804125e-08,0.0,3.5599443393152796e-09
1821,1.1932401111636182e-07,9.86148829262845e-10,3.8459803342050236e-08
1822,5.3135764233047666e-08,1.0025615893027862e-09,3.208197085768916e-08
1823,9.289725966254991e-08,0.0,8.894418312976882e-09
1824,9.263224054478769e-08,0.0,1.0105335235266466e-08
1825,5.8115923406987235e-08,0.0,3.43412274173005e-08
1826,5.9013494535520294e-08,0.0,2.2019960743691058e-08
1827,1.3365046402924463e-07,9.217273055917019e-10,2.5808364056967292e-08
1828,1.2749498523589864e-07,9.172301251858528e-10,1.9261832573391757e-08
1829,7.287199432770564e-08,3.429270423183084e-09,4.80097871458085e-08
1830,1.2941676086342113e-07,0.0,2.400472265406961e-08
1831,8.263338902025907e-08,0.0,7.327866624606827e-08
1832,1.0147477369493174e-07,1.3529969367098715e-09,4.058990776822924e-08
1833,2.0039677472993844e-07,0.0,4.6334514003376626e-09
1834,1.7548918584964213e-07,9.334530925997342e-10,1.586870301828469e-08
1835,1.7016947850834185e-07,1.5126175867408165e-09,1.739510224751939e-08
1836,9.610672258020259e-08,6.720750067579218e-10,1.344149991311383e-08
1837,8.210310964429368e-08,6.957890930081589e-10,2.574419688539109e-08
1838,8.458297107161172e-08,0.0,1.3886756189407379e-08
1839,7.131304480267886e-08,0.0,7.690622805256453e-09
1840,9.55453303141951e-08,0.0,8.917564464638872e-09
1841,1.0850727383271419e-07,6.420548537278137e-10,8.346713098461578e-09
1842,8.31824840119566e-08,0.0,1.0062397581833693e-08
1843,1.4353793309496155e-07,5.906911071384968e-10,4.607390668986966e-08
1844,1.0208724354754395e-07,3.2931368743049916e-09,3.841993001518773e-09
1845,9.263178046836629e-08,5.580227946389016e-10,5.580227835366713e-09
1846,6.615586789493477e-08,2.3418005312692003e-09,9.952652479938706e-09
1847,5.015697901455951e-08,0.0,2.534815202182017e-08
1848,6.194820656446609e-08,8.045221711050488e-10,7.2406994844342876e-09
1849,1.0977033770842581e-07,1.6758829879393033e-09,1.6758829879393033e-09
1850,7.603675911127539e-08,2.0366988096043315e-09,1.4935791270431764e-08
1851,9.158203084780325e-08,0.0,1.2253934089656582e-08
1852,1.23049304079359e-07,2.6042181744401205e-09,4.557381805270211e-09
1853,8.539862506040663e-08,1.1943863675867306e-09,1.5527022556582892e-08
1854,7.118060096900081e-08,5.195664454227256e-10,1.6626125809438008e-08
1855,1.310813395605237e-07,1.5920811335945473e-09,1.2205955357558196e-08
1856,8.749449492695405e-08,2.5885946164372342e-09,1.2425253881342968e-08
1857,8.005675150579705e-08,1.4644527812635033e-09,1.1227470730901246e-08
1858,1.0961834107092727e-07,1.9574704079872163e-09,9.787352039936081e-10
1859,1.059172090034366e-07,1.018434669930457e-09,5.601390684617513e-09
1860,1.0207120348937337e-07,0.0,7.323494144451104e-09
1861,1.0469439470917052e-07,4.715963730639317e-10,1.131831295353436e-08
1862,9.126332445319463e-08,4.517986262886353e-10,9.487771179816917e-09
1863,8.341016466406614e-08,4.994620828036034e-10,1.9479021950985498e-08
1864,1.1938872823691327e-07,1.4384183844029508e-09,7.671564938860342e-09
