year,leurs_DET êtres_NOUN,leurs_DET maîtres_NOUN
1800,0.0,4.697381882579066e-06
1801,4.7623651688866175e-09,4.014673777419375e-06
1802,2.2378401354217203e-08,5.097799657960422e-06
1803,5.070882025393075e-08,5.3088233471498825e-06
1804,1.4831105232815389e-08,4.7459539018746e-06
1805,2.842877711017877e-09,5.048950697528198e-06
1806,2.881669125542885e-09,4.365728727862006e-06
1807,8.540865792383556e-09,6.2576073105446994e-06
1808,1.5862518409903714e-08,5.3660633057006635e-06
1809,2.259030518203531e-09,6.503748863906367e-06
1810,0.0,4.827681550523266e-06
1811,5.0141535368197765e-09,5.009139385947492e-06
1812,0.0,5.057027010479942e-06
1813,1.1502966579257645e-08,4.074925982422428e-06
1814,3.1466772298927026e-08,5.550738478632411e-06
1815,2.697223555614414e-09,4.8981578402162995e-06
1816,3.7081662185300956e-08,4.16009879700141e-06
1817,1.556873407970727e-09,5.0364856178930495e-06
1818,7.152706427149269e-09,5.487318048835732e-06
1819,0.0,6.514950655400753e-06
1820,1.1866481131050932e-09,5.529780082724756e-06
1821,8.875339574387908e-09,5.416915428213542e-06
1822,1.303330066093622e-08,6.234930424398044e-06
1823,0.0,5.546163720282493e-06
1824,6.736890156844311e-09,5.192458047531545e-06
1825,1.584979791857677e-08,5.797503490612144e-06
1826,7.0463874735082754e-09,5.982382845104439e-06
1827,8.295545583791863e-09,5.773699740529992e-06
1828,3.668920500743411e-09,5.837252501805779e-06
1829,1.3717081692732336e-08,5.474830231833039e-06
1830,1.0436835840010872e-09,5.956302175036399e-06
1831,0.0,4.998540589440381e-06
1832,1.3529969367098715e-09,4.850493951380486e-06
1833,1.18153010930655e-07,4.972851911588805e-06
1834,6.16079063320285e-08,4.667265329771908e-06
1835,1.5126175867408165e-09,5.22911886946531e-06
1836,4.032449929525228e-09,4.892705874226522e-06
1837,8.349468672008697e-09,5.349226739781443e-06
1838,1.8936486156917454e-08,5.322414835973177e-06
1839,3.4957374772659477e-09,4.453569545148639e-06
1840,7.64362617644565e-09,5.033964953327086e-06
1841,5.1364388298225094e-09,3.9357960304187145e-06
1842,5.366612043644636e-09,4.751464075525291e-06
1843,1.7130041385371442e-08,5.072855401522247e-06
1844,8.781698035420504e-09,5.622482149192365e-06
1845,1.674068439427856e-09,4.8285710363416e-06
1846,9.952652035849496e-09,4.650815753848292e-06
1847,2.1572894581822766e-09,5.364639491745038e-06
1848,0.0,4.095017629879294e-06
1849,8.379414939696517e-10,3.431370487305685e-06
1850,5.0238568860550004e-08,3.8907737689442e-06
1851,3.2247193804124663e-09,4.2579194996505976e-06
1852,0.0,3.704500386447762e-06
1853,0.0,4.724992322735488e-06
1854,0.0,3.700352181112976e-06
1855,5.837630823180007e-09,3.97436542698415e-06
1856,5.177189232874468e-10,3.93259279007907e-06
1857,4.393358121745905e-09,3.5947432479588315e-06
1858,7.34051397444091e-09,3.524914745867136e-06
1859,1.2221216039165483e-08,3.971895239374135e-06
1860,1.373155145145688e-09,3.889233084919397e-06
1861,2.8295783494058924e-09,4.2486117308726534e-06
1862,1.1294965851504912e-08,3.538486907928018e-06
