year,nos_DET ondes_NOUN,nos_DET mondes_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,7.282503844407984e-08
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,0.0,3.9339884239097955e-08
1819,0.0,0.0
1820,1.3053129244156025e-08,2.3732962262101864e-08
1821,0.0,0.0
1822,2.0051231786055723e-09,0.0
1823,1.9765373782121287e-09,3.95307486744656e-09
1824,0.0,2.5263338088166165e-09
1825,3.522177216552791e-09,3.522177216552791e-09
1826,1.7615968683770689e-09,1.5854372037438225e-08
1827,0.0,0.0
1828,1.8344602503717056e-09,2.7516904310687096e-09
1829,8.57317605795771e-10,0.0
1830,5.218417697960831e-09,0.0
1831,9.354723218280014e-09,9.354723218280014e-09
1832,0.0,0.0
1833,1.1583628500844156e-09,2.6642345218874652e-08
1834,9.334530925997342e-10,6.534171426153534e-09
1835,4.5378527602224494e-09,0.0
1836,5.376600054063374e-09,1.1425274948351216e-08
1837,0.0,0.0
1838,1.2624323808552163e-09,5.049729523420865e-09
1839,3.4957374772659477e-09,6.9914751765765e-10
1840,6.3696887764308485e-09,7.64362617644565e-09
1841,2.5682194149112547e-09,0.0
1842,4.024959032733477e-09,0.0
1843,6.497602011990011e-09,0.0
1844,1.6465684371524958e-09,2.195424508855126e-09
1845,2.2320911785556063e-09,0.0
1846,4.0981511517657054e-09,5.854501328173001e-10
1847,2.6966118227278457e-09,0.0
1848,3.218088684420195e-09,8.045221711050488e-10
1849,0.0,4.189707469848258e-09
1850,6.788996032014438e-10,5.431196825611551e-09
1851,5.159551008659946e-09,0.0
1852,3.906327261660181e-09,3.2552727180501506e-09
1853,5.3747388761848924e-09,1.0152284346531815e-08
1854,0.0,4.676098175337984e-09
1855,2.653468555990912e-09,1.1675261646360013e-08
1856,2.0708756931497874e-09,2.5885946719483854e-09
1857,6.345961978126979e-09,1.6597130780837688e-08
1858,4.893676019968041e-10,1.9574704523961373e-08
1859,4.073738679721828e-09,1.5276519604867644e-08
1860,6.865775947773045e-09,3.661747127736703e-09
1861,4.715963730639317e-10,2.357981809808507e-09
1862,1.8071945051545413e-09,2.710791813242963e-09
1863,1.9479021062807078e-08,1.6482249343141575e-08
1864,1.4384183844029508e-09,1.6302075245278047e-08
1865,4.23615986733239e-09,3.0594487832047434e-08
1866,1.9462451650298362e-09,4.865613079108044e-09
1867,4.367530337390235e-09,1.2132028714972876e-08
1868,7.409810987013543e-09,7.409811431102753e-09
1869,6.8369265804335555e-09,1.2697149998075474e-08
1870,1.490852596930381e-08,5.734048791339319e-09
1871,9.559059321873065e-09,6.37270636261178e-09
1872,7.861540751719076e-09,1.8142017332856142e-08
1873,2.9930022904522957e-09,2.9930022904522957e-09
1874,5.974609140757536e-10,2.987304570378768e-09
1875,1.1443054281912168e-09,1.1443054281912168e-09
1876,0.0,0.0
1877,1.2369631985365004e-09,1.8554447978047506e-09
1878,0.0,3.925407554561389e-08
1879,5.498392852132383e-09,4.887460214320072e-09
1880,1.2835692508872398e-09,3.8507077526617195e-09
1881,2.091752326904839e-09,2.7890030285249168e-09
1882,6.655385131892899e-10,1.9966155395678697e-09
1883,2.5277355764075082e-09,0.0
1884,6.601696966868076e-10,0.0
1885,2.578254332252783e-09,0.0
1886,1.1616235306988187e-08,0.0
1887,1.9586774424595887e-09,1.3057849246322917e-09
1888,6.974675947901687e-09,6.974675947901687e-09
1889,9.397704836544563e-09,3.7590820456401275e-09
1890,5.898947996740844e-09,6.554386478008212e-10
1891,0.0,1.9122659011827636e-09
