year,grands_ADJ auteurs_NOUN,grands_ADJ moteurs_NOUN
1800,3.018398047061055e-07,9.432493897065797e-09
1801,1.3572740442668874e-07,1.0715321963061797e-07
1802,1.656001700212073e-07,1.5664880947952042e-08
1803,2.4379241381211614e-07,7.021220937986072e-08
1804,2.076354803648428e-07,4.943701892301533e-09
1805,2.899735136452364e-07,2.842877711017877e-09
1806,2.0748018414451508e-07,1.729001475325731e-08
1807,2.3345032218458073e-07,5.693910232196231e-09
1808,2.809931629599305e-07,0.0
1809,1.6265019553429738e-07,0.0
1810,2.8783560424017196e-07,2.574139479349924e-08
1811,2.281439890339243e-07,2.5070767684098882e-09
1812,2.4805035536701325e-07,1.600324850414836e-08
1813,2.7894694198948855e-07,0.0
1814,2.580275122454623e-07,3.776012391654149e-08
1815,1.8341120266995858e-07,8.091670444798638e-09
1816,2.2944279010062019e-07,1.622322720606917e-08
1817,3.300571620457049e-07,3.7364962679475866e-08
1818,2.2769448548842774e-07,1.1921176934492905e-08
1819,2.3910925506243075e-07,8.280840013696888e-09
1820,3.7972739619362983e-07,5.6959109429044474e-08
1821,3.2444296493849833e-07,2.9584464655840748e-08
1822,2.7269675229035784e-07,1.303330066093622e-08
1823,1.7294702558956487e-07,2.3718449093657057e-08
1824,1.8358025499765063e-07,1.0947446504872005e-08
1825,2.491940449544927e-07,2.0252518551089338e-08
1826,1.3916614705067332e-07,2.0258363653269384e-08
1827,1.4655464042334643e-07,4.055600300034712e-08
1828,1.6877034170192928e-07,3.485474309172787e-08
1829,2.0918550092119403e-07,4.029392641768936e-08
1830,2.817945699007396e-07,3.444155893816969e-08
1831,1.7306238930814288e-07,4.5214498811674275e-08
1832,3.166012731981027e-07,1.0823975493678972e-08
1833,2.2472239891158097e-07,4.51761508202253e-08
1834,1.4095141409598e-07,2.9870498963191494e-08
1835,1.958839845883631e-07,1.4369867074037757e-08
1836,1.6398630009462067e-07,3.1587525484155776e-08
1837,1.3219992922586243e-07,1.6698937344017395e-08
1838,1.7863418122487928e-07,1.2624323808552163e-08
1839,1.2794399140148016e-07,3.0063343814390464e-08
1840,1.6624886711724685e-07,3.121147429396842e-08
1841,1.4895672961756645e-07,3.0818632978935057e-08
1842,1.6099835420391173e-07,1.8112315203211438e-08
1843,1.5476106796086242e-07,4.7255288571079745e-09
1844,1.5642399375792593e-07,1.3721403568922597e-08
1845,1.9084379232481297e-07,2.622707206967334e-08
1846,1.6509693523403257e-07,1.4636253098387897e-08
1847,1.5963942701091582e-07,4.1527822958187244e-08
1848,1.0619692858426788e-07,1.448139919091318e-08
1849,1.3574651802628068e-07,1.6758828991214614e-08
1850,8.214685465190996e-08,7.467895635215882e-09
1851,1.5736630132323626e-07,2.7087642351375507e-08
1852,2.558644480732397e-07,1.8880582430824688e-08
1853,2.2693340895330039e-07,4.18035241978032e-08
1854,1.9379828586352232e-07,1.506742641765868e-08
1855,1.937032010346229e-07,3.02495415382964e-08
1856,2.371152731939219e-07,1.9673318973900678e-08
1857,2.1869161059839826e-07,1.9037885934380938e-08
1858,2.0504502629137278e-07,1.468102794888182e-08
1859,2.490072859018255e-07,1.3748867822016564e-08
1860,1.5837056821510487e-07,2.5174511364411956e-08
1861,2.258946665278927e-07,3.8670901147952463e-08
1862,1.9698420317126875e-07,4.021007882215599e-08
1863,2.0427998492777988e-07,1.2986014041871385e-08
1864,2.248727355436131e-07,3.5960461275408306e-08
1865,2.475800044976495e-07,2.871175119878444e-08
1866,1.9803044892796606e-07,6.3252967308358166e-09
1867,1.6014277548492828e-07,1.844068364675877e-08
