year,des_DET airs_NOUN,des_DET mères_NOUN
1800,1.9305169658423438e-06,8.803660325185092e-07
1801,1.514432067750704e-06,9.691413254131476e-07
1802,1.609007057368217e-06,8.951360541686881e-07
1803,1.7045964781914336e-06,9.244607879210776e-07
1804,2.031861363605003e-06,1.0505366798696514e-06
1805,1.6289689126480766e-06,1.122936687636411e-06
1806,2.4321286673512077e-06,6.916005688140103e-07
1807,1.6853974180719433e-06,9.821994950698354e-07
1808,1.8400520644945573e-06,6.594275578919451e-07
1809,1.6468332475483294e-06,9.081302465574481e-07
1810,2.5975406430234216e-06,7.675615956159731e-07
1811,2.2062274780410007e-06,6.894461286321985e-07
1812,1.7150148821087896e-06,6.347955703311925e-07
1813,2.2286997882758897e-06,7.735744880221773e-07
1814,2.0359000529879268e-06,1.1831505659642971e-06
1815,1.151714417169103e-06,8.334420549260813e-07
1816,1.3418926556596489e-06,6.697875125638575e-07
1817,1.6627408570002444e-06,8.36041034624202e-07
1818,1.6308170760481744e-06,8.130243167592255e-07
1819,1.495726777989148e-06,7.576968337197343e-07
1820,1.940169710223927e-06,6.775760672539377e-07
1821,1.4900709235377008e-06,8.954231213165187e-07
1822,1.6903187969319333e-06,7.579365473020516e-07
1823,1.6691858242268154e-06,6.018556271136788e-07
1824,1.5318003860897988e-06,7.814792661875458e-07
1825,1.7681329573804305e-06,8.611723245621761e-07
1826,1.4621254500468694e-06,7.160891166702044e-07
1827,1.1825761010442193e-06,5.677839958195818e-07
1828,1.3740107824844472e-06,6.530678451355243e-07
1829,1.3717082136821546e-06,5.443966619722573e-07
1830,1.652151127018442e-06,5.928122754905729e-07
1831,1.4437456314908559e-06,6.158526177912904e-07
1832,1.6290083664216581e-06,8.388581207441348e-07
1833,1.692368128303201e-06,6.788006423619208e-07
1834,1.4617875230271693e-06,8.233056210116274e-07
1835,2.072286044096927e-06,6.458876882220466e-07
1836,1.4785650712667575e-06,6.720750078681448e-07
1837,1.4423708147859315e-06,5.872459700739796e-07
1838,1.5433235649453536e-06,5.952368522521567e-07
1839,1.7059199706181971e-06,6.816688477018218e-07
1840,1.4790416997811917e-06,7.764650478137014e-07
1841,1.596790447422336e-06,5.354737204754656e-07
1842,1.6992035796192795e-06,7.526673346802681e-07
1843,1.7130041811697083e-06,6.787041066935728e-07
1844,1.6449218165348611e-06,7.255877778611364e-07
1845,1.343718853519249e-06,7.310098650847863e-07
1846,1.5087050151407766e-06,7.037110743013386e-07
1847,1.3671822181038351e-06,7.124448568873731e-07
1848,1.5519232903216107e-06,6.22700184749192e-07
1849,1.539298523312027e-06,5.488516960916456e-07
1850,1.2220192786571715e-06,6.483491157283083e-07
1851,1.2756989651308004e-06,6.907348648610423e-07
1852,1.5840156546431672e-06,6.972794395210258e-07
1853,1.6166019918273378e-06,7.375335862036536e-07
1854,1.4360816216196781e-06,6.458210850546209e-07
1855,1.7979903113030105e-06,7.371335755124164e-07
1856,1.812533945155792e-06,8.117832583920404e-07
1857,1.770035183312757e-06,6.638852276807938e-07
1858,1.914895452870269e-06,6.547738458095864e-07
1859,1.8591524533206893e-06,7.241070285601836e-07
1860,1.9251635201555928e-06,8.170273426699737e-07
1861,1.9288291834840265e-06,8.366119788050241e-07
1862,1.8026765253864596e-06,7.761900535641075e-07
1863,1.7641001193169359e-06,6.772705720692329e-07
1864,1.7898718951414594e-06,8.2709059867625e-07
1865,1.7490633963390678e-06,7.672156447924294e-07
1866,1.8270376607176786e-06,7.926083203102507e-07
1867,1.8125251433076528e-06,7.890671245291969e-07
1868,1.8361512310605121e-06,6.624371300389953e-07
1869,1.8352264561372067e-06,8.448488166834522e-07
1870,1.6852369242315035e-06,6.605624296440737e-07
1871,1.6154811071089625e-06,6.308979334512799e-07
1872,1.7216775152206765e-06,7.801067809509732e-07
1873,1.4905151246580317e-06,6.626507147444727e-07
1874,1.5283050114334173e-06,6.24944088478685e-07
1875,1.6964327826940462e-06,7.666846482123901e-07
1876,1.6547942500722002e-06,7.291493950845052e-07
1877,1.775042161256124e-06,7.044505512254773e-07
1878,2.2719050463138046e-06,7.506586996441911e-07
1879,1.9769776749001267e-06,8.791319139334064e-07
1880,1.8605336293830987e-06,7.419030119137915e-07
1881,2.2563035102507456e-06,6.33103690361736e-07
1882,2.0159161078225907e-06,6.801803458245104e-07
1883,1.9097042383009466e-06,6.989188872097429e-07
1884,2.049826843375513e-06,5.809493597297433e-07
1885,2.0587360900492513e-06,6.535874499391525e-07
1886,2.0889863341366777e-06,6.175964761823138e-07
1887,1.9893632776657455e-06,6.084957986374206e-07
1888,2.0581634512240043e-06,5.896771817504032e-07
1889,2.110724487636162e-06,6.553332880798735e-07
1890,1.797868172559447e-06,6.364309061979156e-07
1891,1.9721835933239618e-06,6.737550446445084e-07
1892,1.9024934863054455e-06,5.779568637009902e-07
1893,1.771160555996687e-06,5.69653540338777e-07
1894,1.973011842792971e-06,6.408665598200969e-07
1895,1.8687797744831869e-06,6.205191809272037e-07
1896,1.832206883989329e-06,6.899524134240664e-07
1897,1.7724862146906162e-06,6.805601220349899e-07
1898,1.9317623554115926e-06,6.541058095166363e-07
1899,1.8849042131563465e-06,6.423045935122218e-07
1900,1.7197959465420354e-06,6.343467049418905e-07
1901,1.697858832194754e-06,6.231443725468466e-07
1902,1.5025468886875615e-06,6.240970975568416e-07
1903,1.870096280498501e-06,6.636870626408609e-07
1904,1.856932946964207e-06,6.342057803365719e-07
1905,1.7293703589160714e-06,7.116686577823828e-07
1906,1.7901761788507997e-06,7.196713927015708e-07
1907,1.8930806122696708e-06,6.618839432093182e-07
1908,1.9910771698050667e-06,6.438830819632813e-07
1909,1.9539492637221656e-06,7.695876096391885e-07
1910,2.117352416952656e-06,7.89865456596317e-07
1911,1.8514902437871683e-06,6.714311950872798e-07
1912,1.9066481815599445e-06,6.66284970307629e-07
1913,1.987030294969827e-06,6.718887766155035e-07
1914,1.9387073528776e-06,7.165515891749408e-07
1915,1.7188132179768445e-06,1.0720493559546185e-06
1916,1.5734045568649435e-06,9.108606144891951e-07
1917,2.125293070420753e-06,1.037423792205061e-06
1918,1.8584956933409558e-06,8.62626849951198e-07
1919,1.9336481642540093e-06,8.508051676514583e-07
1920,2.0429882034989078e-06,7.753965363122006e-07
1921,2.077961921642668e-06,6.565572236993944e-07
1922,2.112302823320533e-06,6.795078508758934e-07
1923,2.002167809322941e-06,6.189097589981429e-07
1924,2.0665274149678226e-06,6.703644492844774e-07
1925,1.995069361271362e-06,5.928017987599787e-07
1926,1.9528033785576326e-06,5.662238464765323e-07
1927,2.2019718510790653e-06,6.912519499024938e-07
1928,1.9058636606672508e-06,5.393091688787877e-07
1929,1.8192283608442494e-06,5.046604130143351e-07
1930,1.874893225561891e-06,6.102593479440088e-07
1931,1.7290520730739445e-06,5.885164213736971e-07
1932,1.6537940901173442e-06,4.219421469997542e-07
1933,1.699952134615046e-06,4.6800302477834066e-07
1934,1.6235040618539642e-06,5.18802403703944e-07
1935,1.728220176744344e-06,4.488106419842097e-07
1936,1.613799465616239e-06,4.57101725359621e-07
1937,1.412723467097976e-06,4.5579847185450717e-07
1938,1.6271343916685055e-06,5.263877103089953e-07
1939,1.3443470656682166e-06,5.062330821203886e-07
1940,1.1943537816527794e-06,6.770540412759374e-07
1941,1.9391372134691665e-06,5.666885076749395e-07
1942,1.7264664702310029e-06,6.068423417104896e-07
1943,1.8087155417845224e-06,5.719373392665261e-07
1944,1.6547909247321968e-06,5.141097876304457e-07
1945,2.017294706391226e-06,7.058353386213412e-07
1946,1.994894326173835e-06,5.29001971116827e-07
1947,1.7106449430315251e-06,5.149816200145096e-07
1948,1.6373062763364032e-06,5.098915423218386e-07
1949,1.3449301121681856e-06,5.625145735876913e-07
1950,1.5346826263140656e-06,5.115608976424824e-07
1951,1.6279961059240122e-06,5.042843156388699e-07
1952,1.3159915042137982e-06,4.186287050345072e-07
1953,1.482478598546777e-06,4.255661956165113e-07
1954,1.4434036259558525e-06,4.4269587640144437e-07
1955,1.4857417180991206e-06,4.354922102933756e-07
1956,1.5837592748368934e-06,5.703626619890656e-07
1957,1.4542471866718643e-06,4.7267450753452067e-07
1958,1.4451609189336523e-06,4.558006141408555e-07
1959,1.4098610190416139e-06,4.4411783672870797e-07
1960,1.589023288062208e-06,4.540066811387078e-07
1961,1.523731381958271e-06,4.634422268168237e-07
1962,1.473870621993001e-06,4.756467362199146e-07
1963,1.5369808146203923e-06,4.927132559728875e-07
1964,1.3475989479871942e-06,5.049693676539846e-07
1965,1.4292977166263654e-06,4.766149848123291e-07
1966,1.5282307277431073e-06,5.289816513709411e-07
1967,1.6181360944500511e-06,5.142340011587976e-07
1968,2.097042171911312e-06,5.245973699885553e-07
1969,1.4783421935504748e-06,5.391066526527766e-07
1970,1.4587156158540893e-06,4.902240924309353e-07
1971,1.6298996303731883e-06,5.338794784037759e-07
1972,1.8858419466027954e-06,5.335352897262169e-07
1973,1.3132451233133224e-06,5.458071532515874e-07
1974,1.145366347543586e-06,6.621297874431775e-07
1975,1.1337287730839307e-06,7.219310851347416e-07
1976,1.1575604990099464e-06,6.07919251827127e-07
1977,1.258219027633345e-06,6.429199048696432e-07
1978,1.4584151575292026e-06,7.051481762943013e-07
1979,1.350635496777386e-06,5.974864816238323e-07
1980,1.4366375644669915e-06,6.418535196672792e-07
1981,1.3580955080527701e-06,7.445171990028143e-07
1982,1.34144127628133e-06,7.237947547977797e-07
1983,1.448733495834631e-06,6.189009589263605e-07
1984,1.5378970346091592e-06,7.150177570025562e-07
1985,1.3378601231295306e-06,8.175143548783126e-07
1986,1.3973145307488721e-06,7.373217147943478e-07
1987,1.3749338148016932e-06,8.029613089988175e-07
1988,1.4745526311088497e-06,7.531671624150249e-07
1989,1.519112231562758e-06,8.116932921353737e-07
1990,1.4259120142412485e-06,7.829711279327967e-07
1991,1.5468406875385199e-06,9.173193014078151e-07
1992,1.4750120396200828e-06,7.708411722262554e-07
1993,1.5094340302113096e-06,9.095378370460594e-07
1994,1.4279226512314835e-06,8.371308606314187e-07
1995,1.5356380274056391e-06,8.041494510280245e-07
1996,1.4364806446565126e-06,9.411056662855799e-07
1997,1.5046378480931821e-06,8.947272895909464e-07
1998,1.5181723362900357e-06,9.541026511072914e-07
1999,1.483944361169165e-06,9.633984170420717e-07
