year,les_DET yeux_NOUN,les_DET mieux_NOUN
1800,0.0001025060491883778,2.2009151834367913e-08
1801,9.941199050444993e-05,3.333655484993869e-08
1802,0.00010179487208006321,4.699464284385613e-08
1803,0.00010422807645227294,2.3404069793286908e-08
1804,9.626870951251476e-05,2.2246657849223084e-08
1805,9.488104592492164e-05,4.8328921309348516e-08
1806,8.220249617352238e-05,1.4408345627714425e-08
1807,7.849054895814334e-05,1.9928686256776018e-08
1808,9.373841407978034e-05,2.945896149242344e-08
1809,8.105401502689347e-05,3.388545621874073e-08
1810,0.00010389929093435057,1.4040760554223652e-08
1811,8.05924919404788e-05,4.763445815569867e-08
1812,7.7773121915925e-05,5.3344165529267684e-08
1813,8.904159142275603e-05,2.0130190847567064e-08
1814,8.399110367918183e-05,7.237357380063258e-08
1815,8.04446948450277e-05,1.8880564667256294e-08
1816,9.330209718427795e-05,4.1716869958463576e-08
1817,9.829787632043008e-05,1.71256075987003e-08
1818,9.738409494275402e-05,3.9339884239097955e-08
1819,9.329504973720759e-05,3.1053151161586356e-08
1820,9.070263513422105e-05,4.50926265216367e-08
1821,9.514265093457652e-05,5.719663320746804e-08
1822,8.882996121428732e-05,3.308453244699194e-08
1823,8.762978677623323e-05,4.0519015698237126e-08
1824,8.590376751271833e-05,2.3579115548955087e-08
1825,9.316863247477158e-05,4.9310479255382234e-08
1826,8.825072131912748e-05,1.76159691278599e-08
1827,7.953215936140623e-05,3.041700225026034e-08
1828,8.569039050598803e-05,3.5771975603893225e-08
1829,9.187444129565847e-05,4.715246859632316e-08
1830,9.189216780214338e-05,1.6698937344017395e-08
1831,8.978508049040101e-05,3.5859775371349656e-08
1832,9.637397261030856e-05,5.141388470519814e-08
1833,8.695482347320649e-05,4.2859424898011866e-08
1834,9.190312744067342e-05,4.7606106390318814e-08
1835,9.674777379586885e-05,4.9160071569076536e-08
1836,9.116495948546799e-05,6.04867480547e-08
1837,8.948613253778603e-05,3.5485243188304594e-08
1838,8.266533609457838e-05,2.651107999795954e-08
1839,8.271194860753894e-05,5.2436064379435265e-08
1840,8.449455845038756e-05,4.458782143501594e-08
1841,8.343117337972217e-05,3.723918240439161e-08
1842,8.688075115514948e-05,6.439934452373564e-08
1843,8.813111287508946e-05,3.6622846977252266e-08
1844,8.758700801081432e-05,7.299786825010202e-08
1845,8.663304015499307e-05,4.129368652572296e-08
1846,8.527022941962059e-05,4.742146231251354e-08
1847,7.724228885308548e-05,6.687597498000741e-08
1848,7.969114017214451e-05,2.172209789819135e-08
