year,plusieurs_DET auteurs_NOUN
1800,3.2573544785918784e-06
1801,3.2550765354244504e-06
1802,4.737507509844363e-06
1803,3.5944751033412103e-06
1804,3.9648488012744565e-06
1805,3.906113882123918e-06
1806,5.1841228696503094e-06
1807,3.6412556454479272e-06
1808,4.724764167463036e-06
1809,4.045923610362934e-06
1810,4.212228244426797e-06
1811,4.096563394284658e-06
1812,5.363755875009701e-06
1813,4.871506305903495e-06
1814,3.4519048313086387e-06
1815,3.981102025818473e-06
1816,4.470657870569994e-06
1817,4.572537260827403e-06
1818,3.436875507745185e-06
1819,4.018277632411582e-06
1820,3.552824447972114e-06
1821,3.4643409252410606e-06
1822,3.3465506277252643e-06
1823,3.0082899584726874e-06
1824,2.874125674345862e-06
1825,2.8203833606355033e-06
1826,3.4078091406541944e-06
1827,3.2472453881382535e-06
1828,3.379993141039428e-06
1829,3.40269356124967e-06
1830,3.1133080105050226e-06
1831,3.2071111890630277e-06
1832,3.1727778007084595e-06
1833,2.915599312647288e-06
1834,3.0421235783784084e-06
1835,2.895906426658712e-06
1836,2.9134452159129687e-06
1837,3.0308573799597838e-06
1838,2.9932271559118817e-06
1839,3.500631578390312e-06
1840,2.66444072849481e-06
1841,2.8545759813702887e-06
1842,2.7463636174118733e-06
1843,3.0178409722303456e-06
1844,2.8666755096384833e-06
1845,2.7700251918894025e-06
1846,3.130401827755591e-06
1847,2.509466908939828e-06
1848,2.561598626438233e-06
1849,2.9244158987751234e-06
1850,2.7970663714071975e-06
1851,3.0525193308594822e-06
1852,3.1237597588607002e-06
1853,3.1376530618132392e-06
1854,2.333892439310148e-06
1855,2.6322408324119806e-06
1856,2.0071963415801974e-06
1857,2.2118118052638636e-06
1858,2.196771096585337e-06
1859,2.4483169183131537e-06
1860,2.35175712859359e-06
1861,1.9632557167748033e-06
1862,2.033997404504717e-06
1863,1.8545027233862754e-06
1864,2.0027579124004546e-06
1865,1.8088403574978429e-06
1866,2.4313467363867858e-06
1867,2.1017526687927557e-06
1868,2.1671227834474394e-06
1869,2.1477716565243554e-06
1870,2.1342129912227392e-06
1871,1.9351784839027886e-06
1872,1.917611314183887e-06
1873,2.193272074513253e-06
1874,2.149066952839007e-06
1875,1.697577137860229e-06
1876,2.0743876731899036e-06
