year,vos_DET auteurs_NOUN
1952,2.8470971358274255e-08
1953,2.4779802321184263e-08
1954,1.6613310860336128e-07
1955,2.815682398349395e-08
1956,2.0058624983221307e-08
1957,1.9437083775830644e-08
1958,3.060730113801924e-08
1959,2.6352543258667538e-08
1960,2.0762500829718533e-08
1961,1.806521465752553e-08
1962,1.1859458481922047e-07
1963,8.987813826522029e-08
1964,8.091677899946248e-08
1965,1.1381849862601712e-07
1966,2.43719298076428e-08
1967,8.529480699515091e-08
1968,3.54821867443178e-08
1969,3.5425710032122026e-08
1970,2.7132477709024272e-08
1971,3.0316544386010946e-08
1972,5.437955574727482e-08
1973,2.370677587570924e-08
1974,1.2938814464291681e-08
1975,1.8276735680444745e-08
1976,4.627956617930806e-08
1977,2.6445518219730957e-08
1978,4.2178197601216993e-08
1979,2.691907674545746e-08
1980,2.3877632981950114e-08
1981,2.2771979080182803e-08
1982,3.04167616649309e-08
1983,2.4629731809611144e-08
1984,1.565732282715615e-08
1985,2.0452897819822624e-08
1986,2.877353055819043e-08
1987,5.9274923025487425e-08
1988,1.8589316530537303e-08
1989,3.951447880012893e-08
1990,2.6698389554713486e-08
1991,2.696273926350301e-08
1992,1.983579922537615e-08
1993,2.3264671966671813e-08
1994,2.2154691858844444e-08
1995,2.3858783393393423e-08
1996,2.7224270393588768e-08
1997,2.109753616252874e-08
1998,1.8595703199508762e-08
1999,2.4222065464485354e-08
2000,3.7111463679906365e-08
2001,2.4096663997497103e-08
2002,2.2782351782879573e-08
2003,3.5418846633383794e-08
2004,2.1583477671782703e-08
2005,3.467887355057542e-08
2006,2.1001237637818804e-08
2007,3.555086824924558e-08
2008,2.426740630667723e-08
2009,1.76423122777436e-08
2010,3.967986084152386e-08
2011,3.479814567053374e-08
2012,2.825529710204222e-08
2013,3.179602442449081e-08
2014,3.0532776529312855e-08
2015,4.277990373058316e-08
2016,4.577661671945066e-08
2017,4.175914902759814e-08
2018,4.07871750818245e-08
2019,5.0254458150433834e-08
