year,anciens_ADJ arbres_NOUN,anciens_ADJ marbres_NOUN
1800,5.345079756580162e-08,9.432493897065797e-09
1801,2.8574191901498125e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,3.1205427575287104e-08,1.5602713787643552e-08
1804,3.460591457837836e-08,4.943701892301533e-09
1805,4.264316544322355e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.4092147649953404e-08,0.0
1808,1.5862518409903714e-08,2.2660739062985158e-08
1809,4.51806094758922e-08,9.036122072814123e-09
1810,4.680253518074551e-09,0.0
1811,3.008491944456182e-08,5.0141535368197765e-09
1812,4.267533171287141e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,9.440030979135372e-09,0.0
1815,1.6183340889597275e-08,1.3486118000116676e-08
1816,0.0,2.3176038865813098e-09
1817,6.227493631882908e-09,3.113746815941454e-09
1818,1.1921177378582115e-09,2.741870730460505e-08
1819,7.24573512300708e-09,8.280840013696888e-09
1820,3.5599443393152796e-09,8.306536791735653e-09
1821,8.875339574387908e-09,1.97229765852569e-09
1822,1.9048670196752937e-08,1.4035862250239006e-08
1823,1.9765373338032077e-08,0.0
1824,1.0947446504872005e-08,1.6842225392110777e-09
1825,1.4088708866211164e-08,1.6730341556581152e-08
1826,1.76159691278599e-08,1.8496766784892316e-08
1827,0.0,2.5808365222701468e-08
1828,9.172301251858528e-10,1.4675682002973645e-08
1829,1.457439946506156e-08,3.6864655328372464e-08
1830,3.1310506187764986e-08,1.3567886369969528e-08
1831,2.6505050598757407e-08,1.2472964883158966e-08
1832,1.8941957335982806e-08,0.0
1833,1.6217079235048004e-08,1.2741991461950875e-08
1834,2.0535967593104942e-08,0.0
1835,8.31939672707449e-09,2.117664621437143e-08
1836,6.72075017860152e-09,1.9490174807401672e-08
1837,2.0873672568200163e-08,1.87863058442872e-08
1838,1.0730675015224733e-08,1.4517972601879592e-08
1839,2.027527834513876e-08,1.6080392128969834e-08
1840,7.0066574764382494e-09,5.732719632334238e-09
1841,3.852328944731198e-08,1.2841097074556274e-08
1842,3.219967226186782e-08,2.817471411731276e-08
1843,8.860366662588604e-09,0.0
1844,3.841992946007622e-09,1.3721403568922597e-08
1845,7.254296274794569e-09,3.348136878855712e-09
1846,1.5807152919933287e-08,3.5127008857216424e-08
1847,3.829188699455699e-08,9.168480197274675e-09
1848,2.494018680465615e-08,8.84974404868899e-09
1849,9.217356655710773e-09,1.256912263158938e-08
