year,deux_DET ondes_NOUN,deux_DET mondes_NOUN
1800,0.0,2.263798482005086e-07
1801,2.3811825400343878e-08,1.6668278579601292e-07
1802,0.0,1.544109693440987e-07
1803,1.755305234496518e-08,1.5212645965156923e-07
1804,0.0,1.77973268788989e-07
1805,0.0,2.615447534104476e-07
1806,1.729001475325731e-08,1.0085841939400098e-07
1807,0.0,8.256169747866693e-08
1808,0.0,3.217825117474149e-07
1809,1.3554183553310395e-08,2.1234887181975637e-07
1810,0.0,9.594519490008224e-08
1811,0.0,1.5543876008550228e-07
1812,0.0,1.3069320203840107e-07
1813,8.627225156487839e-09,1.0352669699287276e-07
1814,3.1466771410748606e-09,8.810696305872057e-08
1815,1.8880564667256294e-08,5.9338919333740137e-08
1816,4.1716869958463576e-08,1.3905623497123543e-07
1817,9.185553295765203e-08,1.5257359042841756e-07
1818,1.3113295338484932e-08,1.6332013297315484e-07
1819,3.8298885840504227e-08,2.0184547055990265e-07
1820,1.898636980968149e-08,1.9461029499012739e-07
1821,2.2681422962023134e-08,1.3904697870881222e-07
1822,1.1028177482330648e-08,1.6241497746705136e-07
1823,5.929612356680991e-09,1.3638107621005702e-07
1824,1.6842225392110777e-08,1.8021180991922847e-07
1825,7.924898959288385e-09,1.699450438152894e-07
1826,2.2900759399924198e-08,1.823252746557813e-07
1827,1.935627302884768e-08,1.2627663420472501e-07
1828,1.559291185060374e-08,1.797770980971336e-07
1829,6.77280880267972e-08,2.400489359510871e-07
1830,4.5922078584226256e-08,2.2230460117178552e-07
1831,4.677361786775691e-08,3.4612478660989154e-07
1832,5.141388426110893e-08,6.115546291596274e-07
1833,2.7800708068959068e-08,4.1237716086328646e-07
1834,1.8669061851994684e-09,4.3685605355392454e-07
1835,1.2100940693926532e-08,2.836157833030484e-07
1836,2.688300071440608e-08,3.3603749888255763e-07
1837,2.5048407792382932e-08,3.0614719292998416e-07
1838,2.9667161172142187e-08,3.3075727512432707e-07
1839,3.5656523067473245e-08,3.467771803045139e-07
1840,4.0766007458614695e-08,3.102038443891786e-07
1841,2.5040138851295524e-08,3.8523291845393715e-07
1842,3.4882980060046975e-08,3.743211953732839e-07
1843,8.91943585656918e-08,3.916281985372194e-07
1844,1.2623690537338916e-08,3.5675648524247094e-07
1845,1.5066614622583074e-08,3.6662097491202417e-07
1846,1.6978054517835517e-08,3.2316846954039136e-07
1847,1.8714486405002617e-07,3.5703141687548623e-07
1848,2.494018680465615e-08,3.861706509011853e-07
1849,3.5193544078993e-08,4.1813280482472237e-07
1850,3.190828135046786e-08,4.120920733541311e-07
1851,7.352360142931502e-08,3.4762474299121493e-07
1852,5.338647213193326e-08,4.4857657588437405e-07
1853,4.598387537413373e-08,4.2460435123459206e-07
1854,4.364358119346434e-08,3.0134855211194633e-07
1855,1.8043586180738203e-08,4.420678685335133e-07
1856,3.9346637947801355e-08,3.9450180766564813e-07
1857,1.757343248698362e-08,5.008428216601857e-07
1858,9.493731312204545e-08,3.968771353779488e-07
1859,6.161529597648041e-08,5.148187203207755e-07
1860,1.5104706818647173e-08,4.069116534832773e-07
1861,6.366551197345416e-08,4.5320411184990306e-07
1862,2.3493528900075944e-08,3.975827864710624e-07
1863,1.1587520276634677e-07,4.635008203912605e-07
1864,5.7057263802562375e-08,5.686547188687996e-07
1865,4.753912818955541e-08,4.4620884276369566e-07
1866,1.2358657386357663e-07,3.8876247265839936e-07
1867,8.443891807985437e-08,4.115184033537389e-07
1868,7.558007042440806e-08,3.368994203611919e-07
1869,1.6896975851832252e-07,5.19606428106556e-07
1870,9.23181886491875e-08,5.670974276839047e-07
1871,1.359510690690513e-07,3.218216726441625e-07
1872,1.0038583297955483e-07,4.1061433631028876e-07
1873,3.771182865985878e-08,3.525756520073031e-07
