year,mêmes_ADJ auteurs_NOUN,mêmes_ADJ moteurs_NOUN
1800,4.6533634190382145e-07,0.0
1801,3.6908329548168695e-07,7.143547975374531e-09
1802,3.1329761895904085e-07,6.713520406265161e-09
1803,4.485780209506629e-07,0.0
1804,2.966221188671625e-07,0.0
1805,2.956592766167887e-07,2.842877711017877e-09
1806,3.803803281243745e-07,2.881669125542885e-09
1807,5.010641075386957e-07,0.0
1808,5.755828169640154e-07,0.0
1809,5.17317971571174e-07,2.259030518203531e-09
1810,5.171680186322192e-07,1.1700633351097167e-08
1811,5.490497869686806e-07,0.0
1812,7.468183298442455e-07,0.0
1813,5.492666446116345e-07,0.0
1814,6.104553449404193e-07,0.0
1815,7.606170162599568e-07,0.0
1816,3.73134213305093e-07,0.0
1817,4.561639173061849e-07,0.0
1818,4.2797026367225044e-07,1.1921177378582115e-09
1819,5.351492973204586e-07,0.0
1820,4.877123842561559e-07,1.6613073583471305e-08
1821,5.749247407038638e-07,0.0
1822,4.3210405920035555e-07,0.0
1823,4.2495553997934365e-07,1.9765373782121287e-09
1824,4.749507525048102e-07,2.0210670470532932e-08
1825,4.11214193585252e-07,8.805443485471187e-09
1826,5.434526428871322e-07,1.5854372037438225e-08
1827,5.32758360705099e-07,1.8434546111834038e-09
1828,4.980559538125817e-07,0.0
1829,5.152478582681752e-07,0.0
1830,4.529586690171783e-07,3.1310507520032616e-09
1831,4.069304679887864e-07,1.091384405071949e-08
1832,4.884319039222262e-07,0.0
1833,3.8689320569496033e-07,6.950177322551099e-09
1834,4.5552509764235083e-07,6.534171426153534e-09
1835,3.569777504708327e-07,0.0
1836,4.785174143040472e-07,2.688300027031687e-09
1837,3.6181032914139877e-07,3.478945576063097e-09
1838,5.958680786566362e-07,3.787297142565649e-09
1839,3.453788641749611e-07,6.9914751765765e-10
1840,3.3377167341086533e-07,8.280594876453051e-09
1841,5.194223593463221e-07,0.0
1842,3.924334959215514e-07,6.708265054555795e-09
1843,3.7154470211575585e-07,5.31621990873532e-09
1844,4.253634919848537e-07,1.097712254427563e-09
1845,3.7220120940872903e-07,6.696273757711424e-09
1846,5.04657992950186e-07,5.854501328173001e-10
1847,4.487162010846646e-07,2.6966118227278457e-09
1848,4.5616407362558675e-07,1.6090443422100975e-09
1849,4.776266471218094e-07,2.513824481908955e-09
1850,4.480737452183803e-07,2.7155984128057753e-09
1851,4.2888767071147527e-07,1.1608989325395669e-08
1852,6.588671905838339e-07,6.510545436100301e-10
1853,4.896983984981063e-07,3.5831591027601917e-09
1854,4.38514089706743e-07,5.195664454227256e-10
1855,3.608717165093367e-07,5.837630823180007e-09
1856,5.187543651308246e-07,5.694908100650764e-09
1857,3.524449612712921e-07,5.369659827891837e-09
1858,4.6392047442500584e-07,2.4468380654951716e-09
1859,3.309912628424172e-07,5.092173349652285e-09
1860,3.648015652890635e-07,1.8308735638683515e-09
1861,4.079308513205149e-07,0.0
1862,3.957756009864699e-07,4.517986262886353e-10
1863,3.820884910687994e-07,1.9978483312144135e-09
1864,3.183699499587078e-07,4.794728170054441e-09
1865,3.727820832022388e-07,2.3534221238463715e-09
1866,3.5421662336609927e-07,0.0
1867,2.824336320372822e-07,9.7056229719783e-10
1868,3.5171903145503336e-07,9.87974813071446e-10
1869,3.218239212898766e-07,1.953407657850903e-09
1870,3.2798758198282485e-07,5.734048791339319e-10
