year,mêmes_ADJ êtres_NOUN,mêmes_ADJ maîtres_NOUN
1800,5.65949598296811e-08,8.803660378475797e-08
1801,6.667310969987739e-08,5.476719877606229e-08
1802,5.370816325012129e-08,1.1412984690650774e-07
1803,6.046051481689574e-08,1.3847408908418402e-07
1804,3.707776485839531e-08,6.179627121127851e-08
1805,1.2224374756897305e-07,5.1171799242411e-08
1806,2.881669125542885e-08,6.051504897186533e-08
1807,1.9928686256776018e-08,7.117387923472052e-08
1808,4.5321478125970316e-08,9.970725223240606e-08
1809,4.51806094758922e-08,6.777091243748146e-08
1810,3.510190182964834e-08,6.084329529087995e-08
1811,4.262030373070047e-08,1.7048121492280188e-07
1812,9.068507722531649e-08,1.0402111882967802e-07
1813,4.3136125782439194e-08,4.888760685162197e-08
1814,6.293354282149721e-09,9.125363842343859e-08
1815,1.0519171667056071e-07,1.0519171667056071e-07
1816,1.0429217667251578e-07,9.502176112619054e-08
1817,9.652615062805125e-08,7.472992535895173e-08
1818,9.894576891156248e-08,1.6093589749743842e-07
1819,4.0369094733705424e-08,1.2421260464634543e-07
1820,8.187871713971617e-08,8.662531314485022e-08
1821,5.5224333550540905e-08,1.2819934624985763e-07
1822,5.714601059025881e-08,1.2130995230563713e-07
1823,6.917881023582595e-08,5.0401702367253165e-08
1824,1.271587990459011e-07,4.884245274894283e-08
1825,7.308517524506897e-08,6.78019147493103e-08
1826,6.870227764466108e-08,6.78214817639855e-08
1827,7.005127855563842e-08,8.111200600069424e-08
1828,7.33784091266898e-08,4.035812395386529e-08
1829,6.001223340490469e-08,1.6203303232487087e-07
1830,1.1271782796029584e-07,7.618890407457002e-08
1831,7.951515357262906e-08,1.1849316905454543e-07
1832,1.1094574858816486e-07,2.4353944638733083e-08
1833,4.51761508202253e-08,7.761030929032131e-08
1834,5.880754372356023e-08,5.1339920759119195e-08
1835,9.605121675804185e-08,4.159698363537245e-08
1836,6.25029770162655e-08,6.72075017860152e-08
1837,7.305785487687899e-08,5.4967337348443834e-08
1838,4.670999942391063e-08,7.574594462766981e-08
1839,8.94908822601792e-08,5.033862038317238e-08
1840,1.0573683084658114e-07,1.0127804728199408e-07
1841,9.887644836226173e-08,8.731946365969634e-08
1842,9.324488559059319e-08,1.1001554867107188e-07
1843,1.1872891292341592e-07,8.32874462730615e-08
1844,6.147188713612195e-08,7.57421432240335e-08
1845,5.30121653241622e-08,6.249855033502172e-08
1846,8.430481557297753e-08,4.507965911670908e-08
1847,6.957258591455684e-08,8.305564591637449e-08
1848,8.286578179195203e-08,6.91889070481011e-08
1849,4.022119171054328e-08,7.373885013706172e-08
1850,4.277067588986938e-08,5.0238568860550004e-08
1851,5.93348374877678e-08,4.837079004005318e-08
1852,6.315229228448516e-08,6.185018008864063e-08
1853,5.852493245583901e-08,7.763511056246841e-08
1854,6.702406807335137e-08,6.806320129726373e-08
1855,7.111295730055645e-08,7.00515663254464e-08
1856,6.73034605824796e-08,9.370712206191456e-08
1857,3.7099468386259105e-08,8.78671670978548e-08
1858,4.7468656561022726e-08,7.193704026908776e-08
1859,5.8050776630125256e-08,6.263373109050008e-08
1860,4.897586691754441e-08,8.422018282772115e-08
1861,5.32903889904901e-08,5.6119969671364345e-08
1862,3.7499287230957634e-08,8.719713662230788e-08
1863,6.193329937786984e-08,7.741662244598047e-08
1864,8.486668434670719e-08,7.623617648278014e-08
1865,3.294790928975999e-08,1.4920696855824644e-07
1866,4.135770836910524e-08,3.795178216137174e-08
1867,2.7661025470138156e-08,9.657095034754093e-08
1868,5.433861360870651e-08,8.397785933311752e-08
