year,mes_DET oies_NOUN,mes_DET mois_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,4.475680270843441e-09,0.0
1803,0.0,1.950339223455444e-09
1804,1.730295728918918e-08,1.2359254952798437e-08
1805,8.528633133053631e-09,2.842877711017877e-09
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,2.259030518203531e-09,0.0
1810,1.8721014072298203e-08,9.360507036149102e-09
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,2.9584463767662328e-09,9.86148829262845e-10
1822,1.4035862250239006e-08,2.0051231786055723e-08
1823,0.0,1.7788837070042973e-08
1824,0.0,1.2631669044083083e-08
1825,0.0,0.0
1826,2.642395191543301e-09,1.8496766784892316e-08
1827,9.217273055917019e-10,4.6086365279585095e-09
1828,5.503380862137419e-09,1.8344602503717056e-09
1829,1.714635211591542e-09,8.57317605795771e-10
1830,1.3567886369969528e-08,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,0.0
1833,0.0,1.1583628500844156e-09
1834,2.8003592777992026e-09,0.0
1835,1.5882484660778573e-08,6.806779140333674e-09
1836,2.016224964762614e-09,2.688300027031687e-09
1837,3.478945576063097e-09,2.0873671680021744e-09
1838,1.8936485712828244e-09,1.8936485712828244e-09
1839,4.194885327990505e-09,1.3982950353153e-09
1840,3.821813088222825e-09,2.5478754661634184e-09
1841,5.778493683550323e-09,1.2841097074556274e-09
1842,6.708265054555795e-10,3.3541325272778977e-09
1843,2.953455480181333e-09,1.7720733214154905e-09
1844,4.9397050894128824e-09,0.0
1845,1.1160455670733427e-08,6.138250796539069e-09
1846,1.1709002656346001e-09,1.7563503984519002e-09
1847,6.47186837454683e-09,5.393223645455691e-10
1848,0.0,4.82713291560799e-09
1849,9.217356655710773e-09,1.5920887719289567e-08
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,1.2253933867611977e-08,0.0
1852,5.859490670445666e-09,6.510545436100301e-10
