year,ses_DET in_ADJ,ses_DET mines_NOUN
1800,1.8864987794131594e-08,1.8141829585260894e-06
1801,1.1905912700171939e-08,1.5168132492249242e-06
1802,1.5664880947952042e-08,1.203958021278595e-06
1803,2.145373123596528e-08,1.7260501650184779e-06
1804,1.4831105232815389e-08,1.0678396193952722e-06
1805,1.7057266488151868e-08,8.159058797474472e-07
1806,2.0171682990621775e-08,6.426122212133123e-07
1807,1.9928686256776018e-08,1.392161010471682e-06
1808,4.5321479902327155e-09,9.494849955160589e-07
1809,3.388545621874073e-08,8.810219291888188e-07
1810,9.360507036149102e-09,7.09058426195952e-07
1811,2.5070768572277302e-08,1.6697131570708734e-06
1812,2.1337665856435706e-08,1.0268751182707092e-06
1813,1.7254450312975678e-08,1.2221901428688398e-06
1814,1.5733386149463513e-08,7.961093224650995e-07
1815,1.0788894222457657e-08,7.22855933110722e-07
1816,3.476405652236281e-08,6.141650548130428e-07
1817,1.401186100480345e-08,5.558037878827804e-07
1818,2.384235386898581e-08,7.558026524634442e-07
1819,2.277231081482256e-08,1.01233274207857e-06
1820,2.254631326081835e-08,4.972055478447146e-07
1821,1.972297603014539e-08,4.605315138128674e-07
1822,1.2030739071633434e-08,7.358801923373903e-07
1823,2.174191138237802e-08,5.415712163170383e-07
1824,1.9368559200927393e-08,5.49056551335525e-07
1825,1.7610886970942374e-08,5.952479220638907e-07
1826,8.80798456392995e-09,6.403404348986896e-07
1827,1.198245475064752e-08,7.032779389959387e-07
1828,2.0179061976932644e-08,7.209428547483299e-07
1829,2.4004892296147773e-08,7.235760577373185e-07
1830,1.7742621594152297e-08,7.337095659920578e-07
1831,2.0268567268999504e-08,5.456922202995429e-07
1832,2.0294954161670375e-08,4.816669036955545e-07
1833,2.20088942626262e-08,9.892418511014966e-07
1834,1.8669062740173104e-08,7.458289985606825e-07
1835,9.075705520444899e-09,5.43786050855033e-07
1836,1.4785650037651976e-08,5.652151067181421e-07
1837,1.3219993100221927e-08,6.644785841558587e-07
1838,1.2624323808552163e-08,6.514151333902873e-07
1839,1.0487213097931658e-08,5.719026532347016e-07
1840,2.8663599493938818e-08,6.114901127673988e-07
1841,1.6693427085101575e-08,5.92616638428467e-07
1842,2.1466448618667755e-08,5.286112640945362e-07
1843,1.1813821920725331e-08,4.938177760038798e-07
1844,1.097712254427563e-08,4.829934017180904e-07
1845,1.4508592549589139e-08,5.312377115984646e-07
1846,2.2832555401919308e-08,5.608612143603864e-07
1847,9.168480197274675e-09,5.555020612391104e-07
1848,1.448139919091318e-08,4.3926910286984366e-07
1849,3.267971848686102e-08,4.533263506800722e-07
1850,1.8330289286438983e-08,5.336150898926917e-07
1851,1.3543821175687754e-08,4.1792362370784986e-07
1852,1.3021090872200602e-08,4.2839387681681274e-07
1853,9.555090940693844e-09,5.559868601068274e-07
1854,2.0263090760863633e-08,6.645254693182778e-07
1855,1.539011762474729e-08,5.482065787987267e-07
1856,1.5531566865956137e-08,4.659470365098173e-07
1857,1.3180074864838076e-08,5.428237894733456e-07
1858,1.0766087576996597e-08,4.971974609802032e-07
1859,1.1711998260111045e-08,4.562587410106289e-07
1860,1.9681890062184237e-08,4.087425331533723e-07
1861,1.2261505866195677e-08,4.607496677522249e-07
1862,9.487771512883825e-09,6.817641438061628e-07
1863,2.0477944673302773e-08,4.1255567495568357e-07
1864,1.7740493851725603e-08,4.2481290929430315e-07
1865,9.88437331983505e-09,4.4997432979698715e-07
1866,1.1677470823645564e-08,3.4156603523349816e-07
1867,9.220341823379385e-09,6.012633608776241e-07
1868,1.2349685163393076e-08,4.984332884205855e-07
1869,5.860222973552709e-09,3.9703009413472046e-07
1870,1.7202147262196377e-08,4.036770455684291e-07
1871,1.0621176826930423e-08,2.772127314365491e-07
1872,1.5118347462816928e-08,3.477220129610714e-07
1873,1.0774807712721213e-08,3.8849167793841843e-07
1874,1.1351757756017378e-08,3.8536227719987437e-07
1875,1.2587359599081083e-08,4.554335504280971e-07
1876,1.1487427897804992e-08,4.3289465523344006e-07
1877,9.895705366247398e-09,5.096288182571129e-07
