year,deux_DET arrêts_NOUN,deux_DET marais_NOUN
1800,9.432493630612271e-08,3.144164395507687e-08
1801,1.1191558435541538e-07,1.904946067554647e-08
1802,2.1259481286506343e-07,2.2378401354217203e-09
1803,3.9786920069673215e-07,1.3652374342143503e-08
1804,4.3257391979523163e-07,3.707776485839531e-08
1805,3.9800288575975173e-07,1.421438877713399e-08
1806,4.178420223155399e-07,8.645007376628655e-09
1807,3.3935706085230777e-06,2.2775640928784924e-08
1808,3.6438468953292613e-06,6.118399653587403e-08
1809,3.4495396192824046e-06,4.292158095609011e-08
1810,1.9657064314060335e-06,2.3401267590372754e-09
1811,1.017873181297091e-06,2.0056614147279106e-08
1812,4.515583412967317e-06,3.200649700829672e-08
1813,3.3818720908129762e-06,5.751483289628823e-09
1814,7.898159424257756e-07,3.776012391654149e-08
1815,2.853662593338413e-06,3.776112933451259e-08
1816,6.00259387084634e-07,6.952811659743929e-09
1817,4.110145894742345e-07,1.8682481339737933e-08
1818,3.3975354440940464e-07,3.099506074022429e-08
1819,7.639074794951739e-07,8.280840013696888e-09
1820,6.30110136512485e-07,2.610625848831205e-08
1821,8.43157273777706e-07,2.3667571014129862e-08
1822,8.120748873352568e-07,1.804610860745015e-08
1823,1.1286028680501659e-06,1.680056804787e-08
1824,1.3616939185112642e-06,8.421112696055388e-10
1825,2.3906777357751707e-06,1.7610886082763955e-09
1826,3.2783318602014333e-06,2.9066348328221636e-08
1827,4.575454227051523e-06,3.502563927781921e-08
1828,4.434807578945765e-06,1.2841221419535032e-08
1829,2.391916041233344e-06,1.8860987438529264e-08
1830,1.9172467773387325e-06,5.218417697960831e-09
1831,1.1896090157392791e-06,1.091384405071949e-08
1832,1.961845541131879e-06,1.6235963684607668e-08
1833,1.2857827869083849e-06,3.59092489077284e-08
1834,1.3544404851018044e-06,2.9870498075013074e-08
1835,1.1155554631159248e-06,6.050470346963266e-09
1836,1.022898132418959e-06,2.2850549896702432e-08
1837,1.0325509904873797e-06,3.1310509740478665e-08
1838,9.373560700964845e-07,1.7042836475411605e-08
1839,1.3269820158257062e-06,1.7478688718597368e-08
1840,9.458987690891263e-07,2.5478754661634184e-09
1841,1.106260498318079e-06,1.3483152372373297e-08
