year,vos_DET in_ADJ,vos_DET mines_NOUN
1800,0.0,1.2576658381391326e-08
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,2.2378401354217203e-09,1.7902721083373763e-08
1803,1.950339223455444e-09,2.7304748684287006e-08
1804,0.0,2.9662212241987618e-08
1805,0.0,2.842877755426798e-08
1806,0.0,1.152667650217154e-08
1807,2.8469551160981155e-09,2.8469550272802735e-08
1808,2.2660739951163578e-09,2.039466595604722e-08
1809,0.0,1.355418288717658e-08
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,1.8670456736202823e-08
1813,0.0,2.300593315851529e-08
1814,0.0,1.8880061958270744e-08
1815,2.697223555614414e-09,8.091670444798638e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,6.227493631882908e-09,1.8682481006671026e-08
1818,1.1921177378582115e-09,1.4305413076343143e-08
1819,3.1053151161586356e-09,3.1053151161586356e-09
1820,2.3732962262101864e-09,7.475883201379929e-08
1821,1.0847637454958203e-08,1.3806083831724436e-08
1822,6.015369535816717e-09,6.115625694746996e-08
1823,1.9765373782121287e-09,3.854247943024802e-08
1824,1.6842225392110777e-09,6.400045649002095e-08
1825,1.0566531649658373e-08,1.496925272626015e-08
1826,5.284790383086602e-09,1.4092774947016551e-08
1827,2.7651818612639545e-09,8.295545583791863e-09
1828,8.255071293206129e-09,9.172301251858528e-10
1829,8.57317605795771e-10,1.7146352337960025e-08
1830,2.0873671680021744e-09,1.2524203008013046e-08
1831,3.1182412207897414e-09,1.5591206103948707e-09
1832,5.411987746839486e-09,2.4353944194643873e-08
1833,3.4750886612755494e-09,1.0425265983826648e-08
1834,6.534171426153534e-09,1.1201437333241415e-08
1835,3.781543966852041e-09,2.2689263801112247e-08
1836,3.36037508930076e-09,1.0753200108126748e-08
1837,4.174734336004349e-09,2.0177882920080492e-08
1838,0.0,2.0830134062066463e-08
1839,3.4957374772659477e-09,1.1186360393544703e-08
1840,2.5478754661634184e-09,1.9109066329292546e-08
1841,5.1364388298225094e-09,1.5409316489467528e-08
1842,0.0,2.0124794719578176e-08
1843,3.5441467538532834e-09,1.1813821976236483e-08
1844,6.037417232818143e-09,1.756339607084101e-08
1845,3.348136878855712e-09,2.511102614732863e-08
1846,0.0,2.1661654692195498e-08
1847,7.550513103637968e-09,2.3730184928183462e-08
1848,3.218088684420195e-09,1.3676877297363887e-08
1849,1.005529792763582e-08,1.6758829435303824e-08
1850,2.0366988096043315e-09,4.073397708026505e-08
1851,1.9348316282474798e-09,3.740674348051698e-08
1852,6.510545436100301e-09,1.4323200181465268e-08
1853,1.7915795513800958e-09,2.329053483407506e-08
1854,1.558699391779328e-09,1.2989161302101593e-08
1855,2.653468555990912e-09,2.812676669350367e-08
1856,4.141751386299575e-09,1.5531568031690313e-08
1857,2.4407544874094356e-09,2.0502338937689046e-08
1858,3.4255731584664773e-09,2.838332102683694e-08
1859,3.5645213447565993e-09,1.4258085823115607e-08
1860,1.8308735638683515e-09,1.6020144405493042e-08
1861,1.8863854922557266e-09,2.2636625574001812e-08
1862,1.3553959066214816e-09,2.349352912212055e-08
1863,2.4973103585068657e-09,2.3474717281146695e-08
1864,2.3973640850272204e-09,1.6781547707012123e-08
1865,1.882737743486018e-09,1.1296426460916109e-08
1866,4.865612801552288e-09,1.4596838404656864e-08
1867,2.91168689159349e-09,3.2513836956127307e-08
1868,4.93987406535723e-10,1.778354619119682e-08
1869,5.371870948067681e-09,6.8369268024781604e-09
1870,5.734048791339319e-10,6.307453670473251e-09
1871,7.434824311758348e-09,7.434823867669138e-09
1872,6.652073114565837e-09,1.3908880713842109e-08
1873,5.986004469882289e-10,1.3767810003173508e-08
1874,1.7923826867161097e-09,1.3144140331711185e-08
1875,1.716458086775674e-09,1.7164581533890555e-08
1876,2.418405919968336e-09,8.464420719889176e-09
1877,1.8554447978047506e-09,1.9791411176584006e-08
1878,0.0,1.5701630662334765e-08
1879,1.221865053580018e-09,1.1607718231054776e-08
1880,1.2835692508872398e-09,2.8238523519519276e-08
1881,6.972507571312292e-10,9.761510821881814e-09
1882,6.655385131892899e-10,2.1297232422057277e-08
1883,5.687405213450347e-09,1.7062215640351042e-08
1884,1.3203393933736152e-09,1.4523733327109767e-08
1885,6.445635691854079e-10,8.379326621454908e-09
1886,1.2906927748801422e-09,2.839524015918471e-08
1887,6.528924623161458e-10,6.528924623161458e-09
1888,1.9021844099853524e-09,1.268122939990235e-08
1889,3.759081934617825e-09,1.3156787215251597e-08
1890,6.554386478008212e-10,1.0487018364813139e-08
1891,1.9122659011827636e-09,9.561329950003028e-09
1892,6.268512375839919e-10,2.193979309339511e-08
1893,2.463366621796581e-09,7.390099865389743e-09
1894,6.301539290376468e-10,3.780923574225881e-09
1895,1.2037228991346183e-09,8.426060515986933e-09
1896,1.7691086373616827e-09,2.0049899296381568e-08
1897,5.826713556089658e-10,1.3984112534615178e-08
1898,2.26334195829736e-09,1.584339415217073e-08
1899,3.3165470370022376e-09,2.04520400615138e-08
1900,5.191053142894475e-10,1.1939421784568083e-08
1901,4.470991132876634e-09,1.0059730048972426e-08
1902,8.347482705062248e-09,9.820568025453724e-09
1903,0.0,1.3500550455347593e-08
1904,1.0749250378694342e-09,1.5586413049106795e-08
1905,1.5482277682110634e-09,1.0321518306710686e-08
1906,2.0576738091193647e-09,7.716276673175315e-09
1907,6.1714118260169926e-09,2.1085658330477486e-08
1908,0.0,2.0136694756089923e-08
1909,1.6502950117569526e-09,9.901770070541716e-09
1910,1.6032452032632705e-09,8.016225794271747e-09
