year,ses_DET arrêts_NOUN,ses_DET marais_NOUN
1800,6.005354258320494e-07,1.5720821844311672e-07
1801,4.5242469082218406e-07,2.524053521746339e-07
1802,4.5428154749060923e-07,2.1483265300048515e-07
1803,4.739324186431304e-07,2.3599105247740226e-07
1804,6.87174594560247e-07,3.1145322321179947e-07
1805,9.637355518066215e-07,2.444874951379461e-07
1806,7.37707313902547e-07,2.564685619432794e-07
1807,9.195665171546352e-07,1.992868541300652e-07
1808,1.0899816236253912e-06,2.402038425941555e-07
1809,1.0707804420917455e-06,2.2816207945197675e-07
1810,1.102199703950646e-06,9.360506680877734e-08
1811,6.016984244183732e-07,2.181156801839279e-07
1812,1.3416057802473347e-06,1.8670458246106136e-07
1813,1.1733026159532756e-06,3.278345559465379e-07
1814,8.716295880617508e-07,1.0069366851439554e-07
1815,9.386337742611772e-07,1.7531952778426785e-07
1816,8.343373760766326e-07,8.343374169328399e-08
1817,8.578372492351605e-07,1.4167548556542897e-07
1818,1.1134379747090861e-06,1.6689647619472225e-07
1819,1.0237187961781302e-06,1.2317749664703115e-07
1820,9.552517576949526e-07,1.9105034354538475e-07
1821,8.717555699533364e-07,1.1044866710108181e-07
1822,8.942849234472305e-07,1.0927921323400369e-07
1823,1.0801777072799723e-06,5.6331316500290995e-08
1824,9.507436358191512e-07,8.58953468352297e-08
1825,1.1077246959700915e-06,2.3774695678824287e-07
1826,1.0648852608596826e-06,1.761596877258853e-07
1827,1.2876530419703158e-06,1.4378946300297457e-07
1828,1.0759108803881645e-06,1.6785310680278442e-07
1829,1.1222287206180681e-06,1.311695889683051e-07
1830,1.3213034613102081e-06,1.9308146348429034e-07
1831,1.1412762770390827e-06,1.637076678662197e-07
1832,1.152753338118373e-06,1.1771073049615666e-07
1833,1.2185977755763133e-06,2.0155513225095234e-07
1834,9.978613331185215e-07,1.2694961526449333e-07
1835,9.642937186526979e-07,1.5126175867408165e-07
1836,8.736975112277889e-07,1.155969037158755e-07
1837,8.405132372324431e-07,1.40549400784451e-07
1838,9.297814536068927e-07,1.6537864344634556e-07
1839,1.1703729829726228e-06,1.3913035934454143e-07
1840,1.111510644857816e-06,1.566943395037157e-07
1841,1.0086681689891464e-06,1.3675768473220273e-07
1842,1.2631662951179123e-06,1.2611537769657843e-07
1843,1.073876411794572e-06,1.0927785720760141e-07
1844,1.20089725919037e-06,1.5477743225966734e-07
1845,1.1489689297761174e-06,1.6629079946373082e-07
1846,9.367201840859707e-07,9.601381867341274e-08
1847,9.761734531821276e-07,1.278194012854783e-07
1848,9.943893588548747e-07,1.3274615184855065e-07
1849,1.0189368158108891e-06,1.1982562853063428e-07
1850,9.443493471650299e-07,1.2831202322871604e-07
1851,9.648360159708602e-07,7.610337604546658e-08
1852,1.0501509484228677e-06,1.074240012499672e-07
1853,8.916094431654642e-07,1.1824424706041725e-07
1854,1.1331743663411942e-06,1.2573508323399096e-07
1855,9.90274457990381e-07,1.0242388626124921e-07
1856,9.546737214094492e-07,1.232171058518361e-07
1857,9.831359513157167e-07,9.665388156498977e-08
1858,9.992885918741479e-07,1.1695885882012647e-07
1859,1.0016304941018461e-06,1.2526746528962462e-07
1860,1.0014878555342221e-06,1.3090746620036953e-07
1861,8.644361684240209e-07,1.245014443762571e-07
1862,9.478735050194587e-07,1.0120289342663291e-07
1863,1.223682111195501e-06,1.0388811366723871e-07
1864,1.021756479424596e-06,9.014088808712017e-08
1865,8.354648934894016e-07,8.048703992180606e-08
1866,8.091514227537289e-07,8.612134871910371e-08
1867,1.032192962213685e-06,8.249779348545871e-08
1868,7.69138389866697e-07,7.953197089793917e-08
1869,9.034510681793506e-07,9.815873813767695e-08
1870,8.710020238389404e-07,1.1410756917129561e-07
1871,8.974894969426828e-07,5.5230122919525115e-08
1872,8.460227949314003e-07,7.317280459329112e-08
1873,7.530393411059322e-07,1.2211449362808935e-07
1874,6.852876612839509e-07,8.782675164908937e-08
1875,7.254896194908156e-07,8.410644625200803e-08
1876,8.96624004154134e-07,1.5780098205908644e-07
1877,7.359931029071731e-07,1.2369631463560182e-07
1878,8.098417736412955e-07,8.213160640480055e-08
1879,7.190675971324723e-07,1.0080386414479392e-07
