year,devrions_VERB être_VERB,devrions_VERB etre_VERB,devrions_VERB mettre_VERB
1800,7.860410988769218e-08,0.0,0.0
1801,1.5477687043130572e-07,0.0,0.0
1802,1.1189200677108602e-07,0.0,0.0
1803,4.6808139586573816e-08,1.950339223455444e-09,2.7304748684287006e-08
1804,7.909923027682453e-08,0.0,2.4718509461507665e-09
1805,9.665784261869703e-08,0.0,2.842877711017877e-09
1806,2.0171682990621775e-08,0.0,5.76333825108577e-09
1807,1.366538526781369e-07,0.0,0.0
1808,7.931259204951857e-08,0.0,0.0
1809,6.551188391767937e-08,0.0,0.0
1810,2.4103306373035593e-07,0.0,0.0
1811,3.259199843341776e-08,0.0,0.0
1812,3.7340914360584065e-08,0.0,2.6672082320544632e-09
1813,7.476928232108548e-08,0.0,0.0
1814,5.664018942752591e-08,0.0,0.0
1815,5.1247248222807684e-08,0.0,2.697223555614414e-09
1816,1.4600904307826568e-07,0.0,4.6352077731626196e-09
1817,1.0742426326260102e-07,3.113746815941454e-09,0.0
1818,1.3947777688372298e-07,0.0,0.0
1819,9.315944993204539e-08,0.0,2.070210003424222e-09
1820,1.2222476186707354e-07,0.0,0.0
1821,8.875339574387908e-08,0.0,1.97229765852569e-09
1822,1.3935606091308728e-07,0.0,1.0025615893027862e-09
1823,1.4132241688002978e-07,0.0,0.0
1824,1.288430269141827e-07,0.0,0.0
1825,1.0566531472022689e-07,0.0,8.805443041381977e-10
1826,9.953022583886195e-08,0.0,2.642395191543301e-09
1827,1.3918082686359412e-07,0.0,0.0
1828,1.5684635457091645e-07,9.172301251858528e-10,1.1006761724274838e-08
1829,9.516225674133238e-08,0.0,0.0
1830,9.601888706356476e-08,0.0,7.305785310052215e-09
1831,8.107426907599802e-08,0.0,7.795603274018958e-09
1832,5.0060886991332154e-08,1.3529969367098715e-09,8.117981842303834e-09
1833,1.3784517705062171e-07,0.0,1.1583628278799551e-08
1834,1.2881652367013885e-07,0.0,1.0267983796552471e-08
1835,1.958839845883631e-07,0.0,9.832014313815307e-09
1836,9.879502727017098e-08,0.0,2.688300027031687e-09
1837,1.0645572956491378e-07,1.3915781860163179e-09,0.0
1838,8.710783561127755e-08,6.312161904276081e-10,8.837027110075724e-09
1839,6.50207212515852e-08,0.0,4.194885327990505e-09
1840,1.1019561441116821e-07,0.0,1.2739377330817092e-09
1841,9.887644836226173e-08,0.0,1.219904177673925e-08
1842,1.2812786565064016e-07,0.0,0.0
1843,1.1754752904380439e-07,0.0,1.1813822142769936e-09
1844,1.0538037997775973e-07,0.0,1.6465684371524958e-09
1845,1.2611315014510183e-07,5.580227946389016e-10,8.928364714222425e-09
1846,9.777016884982004e-08,0.0,2.9272506640865004e-09
