year,légers_ADJ effets_NOUN,légers_ADJ méfaits_NOUN
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-08,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,2.55858996212055e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.1577788444915313e-08,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.1921176934492905e-08,0.0
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,0.0,5.9168927535324656e-09
1822,1.4035862250239006e-08,0.0
1823,9.882686891060644e-10,0.0
1824,3.3684450784221553e-09,0.0
1825,0.0,0.0
1826,1.8496766784892316e-08,0.0
1827,9.217273055917019e-10,0.0
1828,1.559291185060374e-08,0.0
1829,4.286587973467704e-09,8.57317605795771e-10
1830,5.218417697960831e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,5.294161553592858e-09,7.563087933704082e-10
1836,4.032449929525228e-09,1.3441500135158435e-09
1837,6.957890930081589e-10,0.0
1838,8.2058102535143e-09,0.0
1839,5.5931801412612e-09,0.0
1840,1.9109065441114126e-09,0.0
1841,7.704658244733764e-09,0.0
1842,2.0124795163667386e-09,0.0
1843,9.451057714215949e-09,0.0
1844,2.7442805805577564e-09,5.488561272137815e-10
1845,3.9061593959388574e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,5.393223645455691e-10,0.0
1848,1.045878850192139e-08,8.045221711050488e-10
1849,0.0,0.0
1850,3.394498016007219e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,3.2552727180501506e-09,1.3021090872200602e-09
1853,8.360704129017904e-09,0.0
1854,4.676098175337984e-09,0.0
1855,5.306937111981824e-10,0.0
1856,5.177189232874468e-10,0.0
1857,9.763018171682347e-10,5.369659827891837e-09
1858,2.936205500958522e-09,0.0
1859,7.638259802433822e-09,1.018434669930457e-09
1860,1.8308735638683515e-09,2.288591982591015e-09
1861,0.0,0.0
1862,3.6143890103090826e-09,3.162590411776023e-09
1863,4.994620828036034e-10,4.994620828036034e-10
1864,1.4384183844029508e-09,1.4384183844029508e-09
1865,4.23615986733239e-09,4.706844358715045e-10
1866,2.919367858567057e-09,5.352174259343201e-09
1867,2.426405742994575e-09,2.91168689159349e-09
1868,1.4819622196071691e-09,9.87974813071446e-10
1869,0.0,0.0
1870,1.7202146374017957e-09,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,4.182226565063729e-09,0.0
1875,4.005069165202713e-09,5.721527140956084e-10
1876,1.813804439976252e-09,0.0
1877,6.184815992682502e-10,0.0
1878,6.039088673581716e-10,0.0
1879,6.10932526790009e-10,0.0
1880,1.9253538763308597e-09,2.5671385017744797e-09
1881,2.7890030285249168e-09,3.4862537301449947e-09
1882,0.0,6.655385131892899e-10
1883,1.8958017378167824e-09,0.0
1884,2.6406787867472303e-09,4.621187876807653e-09
1885,3.86738152613475e-09,4.511945039809007e-09
1886,2.5813855497602844e-09,0.0
1887,1.3057849246322917e-09,2.6115698492645834e-09
1888,2.53624587998047e-09,0.0
1889,1.8795409673089125e-09,2.5060546970934183e-09
1890,2.6217545912032847e-09,6.554386478008212e-10
1891,6.374220040683554e-10,6.3742202627281586e-09
1892,2.5074049503359674e-09,3.1342561879199593e-09
1893,0.0,3.079208221734575e-09
1894,0.0,2.520615716150587e-09
1895,1.8055843487019274e-09,1.2037228991346183e-09
1896,1.0024948871034667e-08,1.7691086373616827e-09
1897,1.1653427112179315e-09,1.7480140668268973e-09
1898,1.6975064687230201e-09,0.0
1899,6.080336234504102e-09,0.0
1900,2.07642125715779e-09,5.191053142894475e-10
1901,1.676621730339889e-09,0.0
1902,9.820567692386817e-10,9.820567692386817e-10
1903,5.940242076007962e-09,0.0
1904,5.374625189347171e-10,5.374625189347171e-10
1905,1.5482277682110634e-09,2.0643036169332163e-09
1906,5.144184522798412e-10,5.144184522798412e-10
1907,1.028568674676933e-09,0.0
1908,0.0,0.0
1909,7.151278680339601e-09,0.0
1910,3.206490406526541e-09,0.0
1911,2.128149656499545e-09,3.1922244847493175e-09
1912,1.5628263128064646e-09,3.646594803896619e-09
1913,0.0,0.0
1914,0.0,6.696743715117748e-10
1915,0.0,0.0
1916,4.394984820521586e-09,1.0987462051303964e-09
1917,0.0,1.0966424435210342e-09
1918,5.743188147278033e-09,0.0
1919,3.6831393490643904e-09,0.0
1920,1.514446346106979e-09,3.786115865267448e-09
