year,trois_DET auteurs_NOUN
1800,1.414874013505596e-07
1801,9.048493621044429e-08
1802,6.265952379180817e-08
1803,5.851017803593095e-08
1804,1.1864884252865693e-07
1805,5.401467628729506e-08
1806,2.881669125542885e-08
1807,5.4092147649953404e-08
1808,9.744118401044943e-08
1809,1.6942728509050653e-07
1810,2.2699229873524018e-07
1811,9.025476543911282e-08
1812,1.1202274929900113e-07
1813,1.322841143291953e-07
1814,8.810696128236373e-08
1815,8.36139331106267e-08
1816,9.038655157667108e-08
1817,1.5257359287090821e-07
1818,9.298518222067287e-08
1819,8.487861258288376e-08
1820,1.0442503572960504e-07
1821,1.1439326108586556e-07
1822,1.383534993237845e-07
1823,1.5219337967664615e-07
1824,8.842168419676e-08
1825,8.453225319726698e-08
1826,1.215501814755271e-07
1827,1.0231173241948e-07
1828,9.172301185245146e-08
1829,1.0545006223772191e-07
1830,5.635891264788029e-08
1831,6.236482619215167e-08
1832,6.900284699185022e-08
1833,9.730248251571538e-08
1834,8.774459203664264e-08
1835,6.882410019670715e-08
1836,1.0484369639129909e-07
1837,8.00157469171836e-08
1838,1.1740621363998116e-07
1839,7.900367116064899e-08
1840,4.968357103507515e-08
1841,1.662922102241282e-07
1842,6.104520977601169e-08
1843,1.3999379788742772e-07
1844,9.00124064173724e-08
1845,9.207375928355077e-08
1846,1.270426785993095e-07
1847,1.3860585035274653e-07
1848,4.022610866627474e-08
1849,7.29009101974043e-08
1850,9.300924475041938e-08
1851,5.933483793185701e-08
1852,8.33349833584407e-08
1853,8.838459208959648e-08
1854,9.819805768529477e-08
1855,7.429711601503186e-08
1856,5.073645459319209e-08
1857,9.22605201125748e-08
1858,6.851146316932955e-08
1859,1.0235268632641237e-07
1860,7.826984571579487e-08
1861,7.02678608632823e-08
1862,7.861296413835817e-08
1863,9.140156187470438e-08
1864,1.1171715996738385e-07
1865,6.6837192225222e-08
1866,6.373953009841671e-08
1867,8.735060852416154e-08
1868,1.0225539170960474e-07
1869,1.0157719643189012e-07
1870,1.0952033413502704e-07
1871,8.284518404622077e-08
1872,5.200711861164109e-08
1873,7.602225515768168e-08
1874,1.1292011059538254e-07
1875,6.694186893696497e-08
1876,8.585341149114356e-08
1877,8.906135207098487e-08
1878,6.884561409847834e-08
1879,7.147910530136414e-08
1880,1.0011840068102629e-07
1881,1.087711201108732e-07
1882,7.653693234743741e-08
1883,8.720687727503673e-08
1884,8.71423999626586e-08
1885,1.0506386161068804e-07
1886,1.1099957930582605e-07
1887,7.116527989126098e-08
1888,9.891358665470307e-08
1889,7.956723813151712e-08
1890,7.734176188378683e-08
1891,6.947899855447304e-08
1892,9.152028201953044e-08
1893,5.912079736880571e-08
1894,7.498831955388141e-08
1895,1.0051086363205286e-07
1896,5.189385543502567e-08
1897,7.108590782678448e-08
1898,7.8085300891928e-08
1899,7.572782223519425e-08
1900,9.240074572147705e-08
1901,7.153585857011535e-08
1902,5.3031064428665786e-08
1903,7.77631736781359e-08
1904,1.0158041519048311e-07
1905,6.812201824857311e-08
1906,9.413857604556597e-08
1907,7.559979975368947e-08
1908,1.0019233798175264e-07
1909,9.901770425813083e-08
1910,8.069667867260932e-08
1911,8.885024893601212e-08
1912,8.022508879435009e-08
1913,1.1030218693974803e-07
1914,5.625264520858764e-08
1915,7.539687585378374e-08
1916,7.25172464299817e-08
1917,9.760117869461737e-08
1918,6.202643110242434e-08
1919,7.366278609310939e-08
1920,1.0071068468064936e-07
1921,8.632932324559306e-08
1922,9.812654333529736e-08
1923,7.537323298834053e-08
1924,7.219309905437399e-08
1925,9.568414593985608e-08
1926,1.1814906564211469e-07
1927,1.3490561823203961e-07
1928,1.176882218345554e-07
1929,1.5596569458153908e-07
1930,1.2919432634816985e-07
1931,1.197562440324873e-07
1932,1.435699328311557e-07
1933,1.0438302888715612e-07
1934,1.2460843201722582e-07
1935,1.1369869667987587e-07
1936,9.336030437623322e-08
1937,1.2717029207465202e-07
1938,1.0761128166336675e-07
1939,1.0247013726427667e-07
1940,1.4200384335083527e-07
1941,1.1806010391524069e-07
1942,9.406056733496371e-08
1943,1.1032293745216748e-07
1944,1.5744612014145787e-07
1945,1.263532354300878e-07
1946,1.1415305678497134e-07
1947,1.1563245116974485e-07
1948,1.2067795829295846e-07
1949,1.384198196063835e-07
1950,1.2017958717081e-07
1951,1.2153997808184158e-07
1952,1.6660789725619907e-07
1953,1.0558350815870199e-07
1954,1.2411121019795246e-07
1955,1.3139850629784178e-07
1956,8.895564462818584e-08
1957,1.1220497952990627e-07
1958,1.3318311786747472e-07
1959,1.1781136777244683e-07
1960,1.4672166592788471e-07
1961,1.5772321226847907e-07
1962,1.5728052105146162e-07
1963,1.5130564356979903e-07
1964,1.466236412284161e-07
1965,1.8276624302870914e-07
1966,1.7835820287359638e-07
1967,1.77985116422974e-07
1968,1.616909699464486e-07
1969,1.7485768211145114e-07
1970,1.6555409487750694e-07
1971,2.0707742187653366e-07
1972,2.3496072287798597e-07
1973,2.205281504075174e-07
1974,2.0477080653336088e-07
1975,2.3017264894065192e-07
1976,2.3482595779000803e-07
1977,2.0803808098435184e-07
1978,2.1029693186846998e-07
1979,2.23545377764367e-07
1980,2.3365969781252716e-07
1981,2.1759890245220959e-07
1982,2.0298532632523347e-07
1983,2.456657988147981e-07
1984,2.058647972091876e-07
1985,2.2558342038792034e-07
1986,2.9792593281285917e-07
1987,2.6948701759010874e-07
1988,2.5785181989590455e-07
1989,2.562952978735211e-07
1990,2.8550931219228914e-07
1991,2.5966291161694244e-07
1992,2.666813010421265e-07
1993,2.957936828806851e-07
