year,tes_DET êtres_NOUN,tes_DET maîtres_NOUN
1800,3.144164484325529e-09,6.602745239447927e-08
1801,0.0,3.333655484993869e-08
1802,4.475680270843441e-09,8.280008501060365e-08
1803,3.900678446910888e-09,8.776526416731656e-08
1804,0.0,1.1864884186252311e-07
1805,0.0,4.5486043376286034e-08
1806,0.0,6.051504897186533e-08
1807,2.8469551160981155e-09,3.4163463169534225e-08
1808,0.0,4.758755522971114e-08
1809,0.0,4.51806094758922e-08
1810,4.680253518074551e-09,9.360507036149102e-08
1811,2.5070767684098882e-09,5.0141537144554604e-08
1812,2.6672082320544632e-09,7.20146218213813e-08
1813,0.0,6.326631307729258e-08
1814,3.1466771410748606e-09,5.978686612451156e-08
1815,2.697223555614414e-09,2.966945977789237e-08
1816,0.0,5.0987287281145655e-08
1817,3.113746815941454e-09,4.3592456755447984e-08
1818,1.1921177378582115e-09,5.2453181353939726e-08
1819,2.070210003424222e-09,6.003609043236935e-08
1820,3.5599443393152796e-09,6.526564799713697e-08
1821,1.0847637343935901e-08,6.90304156059085e-08
1822,4.010246357211145e-09,1.2632276025215106e-07
1823,3.9530747564242574e-09,9.388552446587539e-08
1824,1.6842225392110777e-09,4.884245452529967e-08
1825,3.522177216552791e-09,9.950150703375016e-08
1826,3.5231936257318353e-09,6.429828403042848e-08
1827,9.217273055917019e-10,4.055600300034712e-08
1828,1.8344602503717056e-09,6.053718826226628e-08
1829,0.0,6.601345214907184e-08
1830,1.0436835840010872e-09,8.03636355239945e-08
1831,0.0,6.860130952190957e-08
1832,1.3529969367098715e-09,7.982682026508314e-08
1833,2.3167257001688313e-09,6.486831927166037e-08
1834,2.8003592777992026e-09,5.6940637760405366e-08
1835,3.025235173481633e-09,9.378229037793062e-08
1836,6.720750067579218e-10,7.392825052132679e-08
1837,1.3915781860163179e-09,5.079260467777402e-08
1838,1.2624323808552163e-09,5.807189129569679e-08
1839,2.0974426639952526e-09,5.1037767900830033e-08
1840,1.9109065441114126e-09,6.560779580722098e-08
1841,2.5682194149112547e-09,5.714288198177542e-08
1842,2.0124795163667386e-09,9.525736599513834e-08
1843,4.134837805480629e-09,8.033399012674636e-08
1844,2.195424508855126e-09,6.366730975759793e-08
1845,3.3481367123222583e-09,6.47306473422482e-08
1846,1.7563503984519002e-09,4.6250560936655916e-08
1847,2.1572894581822766e-09,3.937053350000497e-08
1848,0.0,3.861706332486392e-08
1849,1.6758829879393033e-09,3.100383594301093e-08
1850,2.7155984128057753e-09,6.992665735339187e-08
1851,1.9348316282474798e-09,4.2566295377355345e-08
1852,3.2552727180501506e-09,4.101643558129808e-08
1853,1.7915795513800958e-09,2.8068079194198958e-08
1854,2.0782657816909023e-09,5.975014227832531e-08
1855,2.1227748447927297e-09,6.049907952387912e-08
1856,4.6594703095870216e-09,5.9537675234366816e-08
1857,1.9526036343364694e-09,7.127003431861567e-08
1858,3.914940760463281e-09,4.502181782939374e-08
1859,2.5460866748261424e-09,4.226503924620317e-08
1860,1.8308735638683515e-09,4.9891303699478584e-08
1861,2.8295781828724387e-09,4.43300600672103e-08
1862,3.6143890103090826e-09,4.156547464551075e-08
1863,3.995696662428827e-09,5.693867805023345e-08
1864,3.3563094525845827e-09,6.041357103470091e-08
1865,3.765475486972036e-09,6.165966226490127e-08
1866,2.919367858567057e-09,6.082016246189426e-08
1867,4.85281148598915e-10,5.483677156803424e-08
1868,1.975949626142892e-09,4.100095507553192e-08
1869,1.953407657850903e-09,7.032267335116416e-08
1870,5.734048791339319e-10,5.10330324665631e-08
1871,1.0621177271019633e-09,3.080141297573391e-08
1872,1.2094678591978436e-09,4.595977975974108e-08
1873,1.1972008939764578e-09,4.0106229892700185e-08
1874,5.974609140757536e-10,3.525019315331335e-08
1875,1.1443054281912168e-09,5.66431193060879e-08
1876,2.418405919968336e-09,5.683253823107748e-08
1877,1.2369631985365004e-09,6.432208787821025e-08
1878,1.2078177347163432e-09,5.0728344858086416e-08
1879,0.0,5.315112971970848e-08
1880,1.2835692508872398e-09,4.5566709738764644e-08
1881,1.3945015142624584e-09,2.998178288970976e-08
1882,6.655385131892899e-10,7.187816208897857e-08
1883,6.319338941018771e-10,4.486730631469982e-08
1884,6.601696966868076e-10,5.413391512831822e-08
1885,6.445635691854079e-10,2.578254254537171e-08
1886,6.453463874400711e-10,3.162197287354118e-08
1887,6.528924623161458e-10,3.199173115309151e-08
1888,1.268122939990235e-09,3.233713341543876e-08
1889,6.265136742733546e-10,3.257871072914753e-08
1890,0.0,2.6872984726367122e-08
1891,6.374220040683554e-10,1.5935550101708884e-08
1892,6.268512375839919e-10,4.450643764641882e-08
1893,6.158416554491453e-10,2.956039890644746e-08
1894,0.0,5.293292959507312e-08
1895,0.0,3.611168852835078e-08
1896,0.0,3.656158042986135e-08
