year,meilleurs_ADJ auteurs_NOUN,meilleurs_ADJ moteurs_NOUN
1800,1.0218534498562803e-06,0.0
1801,8.738940071584267e-07,0.0
1802,1.1524876413204765e-06,1.3427040812530322e-08
1803,1.183855917297194e-06,0.0
1804,1.0777270063044853e-06,0.0
1805,1.2167516887373608e-06,0.0
1806,1.368792844402833e-06,0.0
1807,1.1615577051315995e-06,0.0
1808,1.2939282854063094e-06,0.0
1809,9.352386314276373e-07,0.0
1810,1.6146875054801058e-06,0.0
1811,1.1758190225918952e-06,0.0
1812,1.7096804540983612e-06,0.0
1813,1.2106872517847478e-06,0.0
1814,8.275760574605329e-07,3.1466772298927026e-08
1815,9.629087953655358e-07,0.0
1816,8.157965947219736e-07,0.0
1817,8.827472035566331e-07,0.0
1818,7.140785329706745e-07,1.1921177378582115e-09
1819,8.529265317358536e-07,0.0
1820,7.01309030404218e-07,0.0
1821,8.964092818031233e-07,0.0
1822,9.865205896630869e-07,0.0
1823,1.0090222950509542e-06,0.0
1824,8.589535180902885e-07,0.0
1825,9.37779702780972e-07,8.805443041381977e-10
1826,7.108043108550177e-07,0.0
1827,7.34616673048194e-07,2.7651818612639545e-09
1828,7.392875005507449e-07,0.0
1829,6.927126501299341e-07,0.0
1830,7.17010645745475e-07,2.0873671680021744e-09
1831,7.234319443494286e-07,0.0
1832,7.076174153297643e-07,1.3529969367098715e-09
1833,6.278326930564404e-07,0.0
1834,5.311348083569811e-07,0.0
1835,4.961385897672699e-07,7.563087933704082e-10
1836,4.852381647602044e-07,0.0
1837,5.016639595956107e-07,2.7831564608504777e-08
1838,4.917174232232924e-07,8.2058102535143e-09
1839,5.054836378359795e-07,6.292327547896548e-09
1840,4.509739595093265e-07,0.0
1841,5.181382558561154e-07,6.420548537278137e-10
1842,6.439934723267982e-07,6.708265054555795e-10
1843,5.085850467434483e-07,5.906911071384968e-10
1844,4.3579177466668284e-07,1.6465684371524958e-09
1845,4.598107778974736e-07,8.928364714222425e-09
1846,5.85450147472244e-07,1.5221703009160592e-08
1847,6.22917340820095e-07,5.393223645455691e-10
1848,4.658183243577696e-07,4.02261068899179e-09
1849,4.080774953507671e-07,0.0
1850,5.098535940106785e-07,1.3577992064028876e-09
1851,4.192135225622451e-07,1.9348316282474798e-09
1852,5.989701796771385e-07,1.3021090872200602e-09
1853,4.873096375312969e-07,0.0
1854,4.774815502983643e-07,3.117398783558656e-09
1855,5.26448172166738e-07,1.326734277995456e-08
1856,4.095156582728521e-07,1.0872097000458325e-08
1857,4.852219797069068e-07,4.881508974818871e-09
1858,4.174305590076699e-07,1.761723389392955e-08
1859,4.241780382496785e-07,5.092173349652285e-10
1860,3.707519077300603e-07,4.577183909670879e-10
1861,3.0276486057134733e-07,0.0
1862,4.01197191468583e-07,1.3553959066214816e-09
1863,5.274319795356419e-07,0.0
1864,3.850166629959517e-07,1.9178911792039344e-09
1865,4.024352011633425e-07,1.3649848362717876e-08
1866,2.8609804836321473e-07,7.298419202328432e-09
1867,3.455201778024275e-07,1.94112459439566e-09
1868,3.3344148553382524e-07,2.9639244392143382e-09
1869,3.555201963933996e-07,5.371870948067681e-09
1870,3.9564937726055405e-07,5.734048791339319e-10
1871,3.6749273957248363e-07,5.3105884134652115e-09
1872,2.9148174296445006e-07,1.2094678591978436e-09
1873,4.0764690839578677e-07,1.7958012854535355e-09
1874,2.8917107197656833e-07,4.779687312606029e-09
1875,4.0966134484676786e-07,3.432916173551348e-09
1876,3.361584310912491e-07,2.418405919968336e-09
1877,3.574823734808774e-07,4.9478527941460015e-09
1878,4.8373101213528e-07,4.831270938865373e-09
1879,4.41093288561234e-07,9.163987790827832e-09
1880,4.7299526251265434e-07,3.2089231272180996e-09
1881,3.988274457356056e-07,1.3945014920579979e-08
1882,3.6404957359792434e-07,5.324308105514319e-09
1883,3.248140205691641e-07,8.847074184359371e-09
1884,3.2282297457442155e-07,6.601696966868076e-10
1885,3.042340022130219e-07,9.66845359329227e-09
1886,3.4461497966375987e-07,9.034849313138693e-09
1887,3.3428093093590405e-07,1.3057849246322917e-09
1888,2.961067127049688e-07,3.804368819970705e-09
1889,3.4458251635394177e-07,1.1277245803853475e-08
1890,2.149838698173312e-07,1.0487018364813139e-08
1891,3.2890975676380663e-07,3.314594465564369e-08
1892,3.121719052145977e-07,2.193979398157353e-08
1893,3.0053072985758433e-07,1.847524977449666e-08
1894,3.8124313750387273e-07,9.452309157609307e-09
1895,3.9602482715395126e-07,1.1435367319734269e-08
1896,3.278748232915518e-07,1.2383760683576384e-08
1897,3.140598502371361e-07,1.3401440845939305e-08
1898,2.78956908239536e-07,1.3580051749784161e-08
1899,2.940671617324142e-07,7.185851913504848e-09
1900,3.280745585199085e-07,1.245852754294674e-08
1901,2.950854218752852e-07,1.620734302321125e-08
1902,2.7006560632258925e-07,1.178468167495339e-08
1903,2.575905004853496e-07,2.052083658554693e-08
1904,2.9721677297089855e-07,2.2573425795258117e-08
1905,2.631987121581858e-07,9.805441791854719e-09
1906,2.721273728578666e-07,2.0576738535282857e-08
1907,3.2245628034388574e-07,1.2857108266928208e-08
1908,2.701264101290235e-07,1.5225305460830896e-08
1909,3.6966608596422645e-07,1.265226234892225e-08
1910,3.2492435175779377e-07,1.9238942883248455e-08
1911,3.309272817997311e-07,1.5961122201701983e-08
1912,3.2506788349984106e-07,2.135862686714063e-08
1913,2.9908861354233096e-07,1.856046338843953e-08
1914,3.2144370010200873e-07,1.339348720819089e-08
