year,quelques_DET arrêts_NOUN,quelques_DET marais_NOUN
1800,1.8864987794131594e-08,7.231578535993322e-08
1801,3.333655484993869e-08,9.28661236798689e-08
1802,3.8043282302169246e-08,1.208433673127729e-07
1803,9.361628272586131e-08,1.326230716358623e-07
1804,1.1370514130248921e-07,8.651478111687538e-08
1805,1.648869041304124e-07,3.4114531644036106e-08
1806,8.93317411154726e-08,5.187004603612877e-08
1807,2.761546600282827e-07,3.131650672116848e-08
1808,2.809931718417147e-07,5.4385775882792586e-08
1809,2.417162525691907e-07,6.551188391767937e-08
1810,1.6380887224443086e-07,1.193464669313471e-07
1811,1.027901510575191e-07,1.2033968266322859e-07
1812,2.613863969713748e-07,1.7336853375127248e-07
1813,2.703197119480194e-07,4.601186631703058e-08
1814,1.0384034254684593e-07,2.0453401816666883e-07
1815,1.8071397489549668e-07,2.0498898534171417e-07
1816,7.648092470446954e-08,8.1116134253989e-08
1817,5.1376822796100896e-08,1.0742426859167153e-07
1818,4.530047537087967e-08,7.987189087899083e-08
1819,2.442847926165115e-07,6.935203400448842e-08
1820,7.238553223487543e-08,6.763894333516873e-08
1821,1.232686024366103e-07,3.352906086107055e-08
1822,1.383534993237845e-07,4.0102463572111446e-08
1823,9.981514015322546e-08,4.249555340951616e-08
1824,1.0779024606222265e-07,6.06320114115988e-08
1825,1.9812247531447724e-07,4.8429936283511665e-08
1826,2.1667641458833486e-07,4.315912205399286e-08
1827,3.6592573771088155e-07,2.673009258380432e-08
1828,2.925964013300586e-07,4.953042775923677e-08
1829,1.9375378457198167e-07,6.429882337677384e-08
1830,1.461156973192601e-07,1.0436836106464398e-07
1831,2.2607249405837138e-07,6.704218691311326e-08
1832,2.475984341998583e-07,4.464889891142576e-08
1833,1.9692168962137657e-07,9.846084481068829e-08
1834,1.4001796522222776e-07,5.974099792638299e-08
1835,1.6336269936800818e-07,8.395027606411531e-08
1836,1.3172670065841885e-07,4.637317585487466e-08
1837,1.2524203718555782e-07,4.453050195252217e-08
1838,1.2687445405390463e-07,5.365337618634669e-08
1839,1.2654570191727998e-07,5.8029242744339626e-08
1840,1.3885921035239335e-07,4.9683572367342776e-08
1841,1.3675768073539984e-07,4.558589505876398e-08
1842,1.7575654354118342e-07,3.6895456911878455e-08
1843,1.4826346461660478e-07,3.2488010504039266e-08
1844,2.552180955461836e-07,5.159247440378323e-08
1845,2.578065334546409e-07,5.970843952596283e-08
1846,2.0666389843881916e-07,5.327596319659733e-08
1847,2.6534659980370634e-07,1.887628275909492e-08
1848,2.172209789819135e-07,2.0917576004642058e-08
1849,2.4803068043866006e-07,1.9272654583346593e-08
1850,2.423671645601644e-07,4.3449572828535565e-08
1851,2.0767192587811678e-07,5.288539939307668e-08
1852,2.1549905326878616e-07,3.190167241484687e-08
1853,1.4989548802191166e-07,4.001194309211087e-08
1854,2.0990484550509336e-07,3.273268522896444e-08
1855,1.5071700687485645e-07,2.9188154115900034e-08
1856,1.7447128186631744e-07,2.2261913201759853e-08
1857,1.7915137995316854e-07,4.051652457981447e-08
1858,2.4027949763194556e-07,2.0553438895287712e-08
1859,2.159081518016137e-07,2.7497736310166943e-08
1860,1.6706721339687647e-07,2.654766717569146e-08
1861,1.5374041595350718e-07,2.8767378090766016e-08
1862,1.6716549744444364e-07,2.1686334616966008e-08
1863,1.8879666185966926e-07,3.096664902280111e-08
1864,1.4144447391117865e-07,1.534312921158687e-08
1865,1.543844909690506e-07,3.106517243445239e-08
1866,1.1044941317095436e-07,1.2164032725525686e-08
1867,1.999358296700393e-07,2.8631587767335986e-08
1868,1.5066616043668546e-07,2.3711395846781613e-08
1869,1.6945811154300827e-07,4.15099131734209e-08
1870,1.3532355147560793e-07,2.0069170769687616e-08
1871,1.3170259904882187e-07,4.2484709306123136e-08
1872,1.1127104215802319e-07,2.418935796111299e-08
1873,9.218447161174481e-08,1.855661402316855e-08
1874,8.842421639343456e-08,1.0754296120296658e-08
1875,8.238999082976761e-08,3.547346860699463e-08
1876,1.5961478894155334e-07,2.8416269337583344e-08
1877,9.957553803729979e-08,2.9068635831741574e-08
1878,1.3225604256206225e-07,3.5026713030017476e-08
1879,1.2340836708091274e-07,3.6655951940467446e-08
1880,1.5402831365918246e-07,1.5402831010646878e-08
1881,1.2062437981796847e-07,2.1614773970668466e-08
1882,1.0315847021047375e-07,2.861815673327328e-08
1883,7.70959349694067e-08,2.9700892689721314e-08
1884,1.208110553818642e-07,6.271612207342514e-08
1885,1.5662894092827173e-07,1.7403215979427955e-08
1886,1.5101105432790973e-07,2.4523161945566585e-08
1887,1.952148522832431e-07,2.089255946025048e-08
1888,1.3949351895803375e-07,1.5851536971922542e-08
1889,1.0337475764288229e-07,1.3156786771162388e-08
1890,1.514063256990994e-07,3.4082809463598096e-08
