year,quelques_DET amants_NOUN,quelques_DET mamans_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09
1801,3.095537337571841e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,4.475680270843441e-09
1803,3.900678446910888e-09,3.900678446910888e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,2.4849335034105025e-08,2.259030518203531e-09
1810,1.8721014516387413e-08,2.3401267590372754e-09
1811,1.7549536934780008e-08,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,1.1588019432906549e-08,0.0
1817,1.401186100480345e-08,1.556873407970727e-09
1818,5.960588467246453e-09,5.960588467246453e-09
1819,4.140420006848444e-09,1.035105001712111e-09
1820,4.746592452420373e-09,0.0
1821,4.930744257336528e-09,1.97229765852569e-09
1822,9.023054303725075e-09,1.0025615893027862e-09
1823,1.087095569118901e-08,1.9765373782121287e-09
1824,4.210556348027694e-09,3.3684450784221553e-09
1825,3.522177216552791e-09,0.0
1826,9.688783109140786e-09,8.807984341885344e-10
1827,7.373818444733615e-09,0.0
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,1.461157062010443e-08,1.0436835840010872e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,4.058990921151917e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,2.2689263801112247e-09,4.5378527602224494e-09
1836,8.064899859050456e-09,6.720750067579218e-10
1837,1.6003149472254563e-08,1.3915781860163179e-09
1838,7.574594285131298e-09,0.0
1839,5.5931801412612e-09,0.0
1840,5.095750932326837e-09,3.1848443882154243e-09
1841,1.4767261191650505e-08,1.926164561183441e-09
1842,1.341653010911159e-08,6.708265054555795e-10
1843,1.063243981747064e-08,5.906911071384968e-10
1844,3.2931368743049916e-09,0.0
1845,1.1160455670733427e-08,5.580227946389016e-10
1846,4.0981509297211005e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,8.84974404868899e-09,8.045221711050488e-10
1849,5.865590679832167e-09,0.0
1850,3.394498016007219e-09,6.788996032014438e-10
1851,7.094382858952031e-09,2.579775504329973e-09
1852,2.6042181744401205e-09,1.9531636308300904e-09
1853,5.971931837933653e-09,2.388772735173461e-09
1854,4.676098175337984e-09,1.558699391779328e-09
1855,1.4859423913549108e-08,2.653468555990912e-09
1856,1.2425253714809514e-08,0.0
1857,8.298565390418844e-09,9.763018171682347e-10
1858,1.3702292633865909e-08,0.0
1859,5.092173349652285e-09,0.0
1860,6.865775670217289e-09,4.577183909670879e-10
1861,1.0375120318428799e-08,0.0
1862,1.1746764450037972e-08,4.517986262886353e-10
1863,3.496234635136375e-09,3.496234635136375e-09
1864,4.315255264231155e-09,9.589455896019672e-10
1865,9.88437331983505e-09,1.4120533631256649e-09
1866,9.731225603104576e-09,2.919367858567057e-09
1867,2.426405742994575e-09,0.0
1868,9.879748019692158e-09,1.975949626142892e-09
1869,4.883519366671862e-09,0.0
1870,5.734048791339319e-09,3.4404292748035914e-09
1871,3.18635318130589e-09,3.18635318130589e-09
1872,8.4662747923403e-09,1.2094678591978436e-09
1873,5.387403856360606e-09,0.0
1874,1.7923826867161097e-09,1.7923826867161097e-09
1875,9.154443425529735e-09,5.721527140956084e-10
1876,4.836811839936672e-09,3.02300739996042e-09
1877,2.4739263970730008e-09,1.8554447978047506e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,1.710611030603104e-08,1.832797580370027e-09
1880,8.984985200299889e-09,0.0
1881,6.972507571312292e-10,6.972507571312292e-10
1882,6.655385131892899e-09,0.0
1883,1.8958017378167824e-08,3.791603364611262e-09
1884,1.0562715146988921e-08,1.0562715146988921e-08
1885,3.2228177904158883e-09,0.0
1886,5.808117542471791e-09,6.453463874400711e-10
1887,9.14049436140374e-09,5.876032105334161e-09
1888,5.07249175996094e-09,8.876860135842435e-09
1889,1.8795409673089125e-09,1.2530273485467092e-09
1890,1.1797895549392479e-08,6.554386478008212e-10
1891,3.1871101313640793e-09,2.549687905251119e-09
1892,4.387958441043338e-09,4.387958441043338e-09
1893,4.926733243593162e-09,1.847525021858587e-09
1894,5.041231432301174e-09,1.8904617871129403e-09
1895,1.8055843487019274e-09,6.018614495673091e-10
1896,5.307325912085048e-09,1.7691086373616827e-09
1897,4.661370844871726e-09,5.826713556089658e-10
1898,1.0185038590293516e-08,3.3950129374460403e-09
1899,2.2110313580014918e-09,2.2110313580014918e-09
1900,4.6719478286050276e-09,1.5573159428683425e-09
1901,5.588738916095792e-09,2.235495621949468e-09
1902,6.874397495693074e-09,0.0
1903,7.560307935250421e-09,5.400220270956879e-10
1904,1.6123875568041512e-09,2.1498500757388683e-09
1905,6.1929109063108e-09,2.0643036724443675e-09
