year,dix_DET amants_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,0.0
1819,0.0
1820,3.5599443393152796e-09
1821,0.0
1822,0.0
1823,2.9648061783404955e-09
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,9.39315203396518e-09
1831,0.0
1832,2.3000948701223933e-08
1833,0.0
1834,9.334530925997342e-10
1835,0.0
1836,0.0
1837,2.0873671680021744e-09
1838,1.2624323808552163e-09
1839,2.7965900706306e-09
1840,6.369688665408546e-10
1841,2.5682194149112547e-09
1842,0.0
1843,5.906911071384968e-10
1844,2.195424508855126e-09
1845,3.9061593959388574e-09
1846,1.1709002656346001e-09
1847,0.0
1848,1.6090443422100975e-09
1849,8.379414939696517e-10
1850,5.431196825611551e-09
1851,2.579775504329973e-09
1852,6.510545436100301e-10
1853,1.0152284346531815e-08
1854,6.754363734984281e-09
1855,4.2455496895854594e-09
1856,3.1063134287023786e-09
1857,8.78671624349181e-09
1858,1.1744822003834088e-08
1859,5.092173349652285e-09
1860,2.746310290291376e-09
1861,1.8863854922557266e-09
1862,1.8071945051545413e-09
1863,4.994620717013731e-09
1864,3.3563094525845827e-09
1865,1.882737743486018e-09
1866,3.4059290943133647e-09
1867,4.85281148598915e-10
1868,7.409810987013543e-09
1869,5.860222973552709e-09
1870,1.7202146374017957e-09
1871,3.18635318130589e-09
1872,2.4189357183956872e-09
1873,5.986004469882289e-10
1874,1.1949218281515073e-09
1875,4.577221712764867e-09
1876,3.02300739996042e-09
1877,2.4739263970730008e-09
1878,1.8117265465633636e-09
1879,3.665595160740054e-09
1880,1.2835692508872398e-09
1881,1.3945015142624584e-09
1882,3.3276925659464496e-09
1883,6.319338941018771e-10
1884,0.0
1885,3.2228177904158883e-09
1886,7.098810428374236e-09
1887,1.3057849246322917e-09
1888,4.4384300679212174e-09
1889,1.8795409673089125e-09
1890,5.243509182406569e-09
1891,5.099376032546843e-09
1892,1.2537024751679837e-09
1893,1.2316833108982905e-09
1894,6.301539290376468e-10
1895,2.4074457982692365e-09
1896,8.845543852942228e-09
1897,5.826713556089658e-10
1898,3.960848538042683e-09
1899,5.527578395003729e-10
1900,5.19105292084987e-09
1901,2.235495566438317e-09
1902,9.820567692386817e-10
1903,2.1600881083827517e-09
1904,5.374625189347171e-10
1905,1.0321518084666081e-09
1906,7.201858220895474e-09
1907,2.5714217422034835e-09
1908,3.929111258571538e-09
1909,7.701377313651392e-09
1910,1.6032452032632705e-09
1911,5.320374141248863e-10
1912,0.0
1913,2.121195885607108e-09
1914,4.68772043404897e-09
1915,0.0
1916,0.0
1917,2.1932848870420685e-09
1918,0.0
1919,0.0
1920,1.0601124422748853e-08
