year,leurs_DET amants_NOUN,leurs_DET mamans_NOUN
1800,5.345079756580162e-08,1.2576657937302116e-08
1801,2.214499801311831e-07,7.143547975374531e-09
1802,8.056224487518193e-08,2.0140561218795483e-08
1803,7.60632292706731e-08,2.145373123596528e-08
1804,3.707776485839531e-08,1.2359254952798437e-08
1805,5.1171799242411e-08,1.7057265822018053e-08
1806,6.339671898558663e-08,1.4408345627714425e-08
1807,6.832692145408714e-08,2.8469551160981155e-09
1808,1.744876954035135e-07,2.2660739951163578e-09
1809,6.09938268780752e-08,4.518061036407062e-09
1810,2.2465216886757844e-07,3.2761775514700275e-08
1811,1.178326058948187e-07,1.0028307073639553e-08
1812,2.2671270016871858e-07,1.3336041604361526e-08
1813,8.052076339026826e-08,0.0
1814,5.664018942752591e-08,1.2586708564299443e-08
1815,1.1598061178119679e-07,5.394447111228828e-09
1816,8.343373991692715e-08,6.952811659743929e-09
1817,1.6814232139950036e-07,1.556873407970727e-09
1818,2.2054177861718927e-07,2.2650237241350624e-08
1819,1.0558071095179145e-07,2.6912729822470283e-08
1820,1.96983592104516e-07,4.746592452420373e-09
1821,2.1399429783741652e-07,4.930744257336528e-09
1822,1.6241497746705136e-07,3.60922172149003e-08
1823,1.4132242331932332e-07,3.360113609574e-08
1824,1.66738027829183e-07,1.0947446504872005e-08
1825,2.1925553705948175e-07,7.044354433105582e-09
1826,1.6030531124755498e-07,1.145037931138404e-08
1827,1.456329101756637e-07,2.7651818612639545e-09
1828,1.4217066279798019e-07,2.7516904310687096e-09
1829,2.4776478824151127e-07,6.001223074036943e-09
1830,1.1480519646056564e-07,1.7742621594152297e-08
1831,9.198811312671751e-08,3.1182412207897414e-09
1832,1.9889054669874895e-07,2.705993829010822e-08
1833,1.9692168307106073e-07,1.7375443306377747e-08
1834,1.0174638731541563e-07,6.534171426153534e-09
1835,9.15133639978194e-08,5.294161553592858e-09
1836,1.7339535385296756e-07,4.032449929525228e-09
1837,3.8337978480740276e-07,1.0436836284100082e-08
1838,2.8783458105863247e-07,1.5780404538645598e-08
1839,2.0135448153268953e-07,6.292327547896548e-09
1840,2.5096573486038665e-07,8.917564464638872e-09
1841,2.632425033510799e-07,1.0914932957462042e-08
1842,3.1864258476232976e-07,6.708265054555795e-09
1843,2.616761491935904e-07,1.1813821920725331e-08
1844,2.7387919576682407e-07,1.1525978393933656e-08
1845,3.749913188855203e-07,3.9061593959388574e-09
1846,3.477573808918777e-07,4.0981509297211005e-09
1847,2.1303234110092717e-07,2.6966118227278457e-09
1848,3.049139150057556e-07,6.43617736884039e-09
1849,1.8602301565806556e-07,1.005529792763582e-08
1850,1.8126618783753656e-07,1.0862393651223101e-08
1851,3.153775498532241e-07,7.739326735034524e-09
1852,2.721407952321897e-07,3.906327261660181e-09
1853,3.995222319641556e-07,1.1943863675867306e-08
1854,2.75370213298487e-07,6.234797400583858e-09
1855,4.192480211884231e-07,4.776243400783642e-09
1856,2.086407310808447e-07,4.659470143053568e-09
1857,4.0370080722773594e-07,6.345961978126979e-09
1858,3.6947253601038454e-07,8.31924928945682e-09
1859,2.810879629056018e-07,2.3933214521321133e-08
1860,2.897357402886769e-07,1.6020143434047895e-08
1861,2.603211909368852e-07,1.5562680033553988e-08
1862,2.8508492289081033e-07,9.487771457372673e-09
1863,3.0866755934555457e-07,3.995696662428827e-09
1864,2.320648349041221e-07,8.151037511616721e-09
1865,2.602884936475647e-07,1.9298061815220535e-08
1866,1.9073202928154842e-07,1.119090975443271e-08
1867,2.2371460239867247e-07,1.7955402498159856e-08
1868,2.1735445188131308e-07,1.2349684830326169e-08
1869,3.0717334753571635e-07,1.5138908793232986e-08
1870,3.0677160944847515e-07,9.17447806614291e-09
1871,1.8799484280407341e-07,1.6993883633631413e-08
1872,1.8746752061815641e-07,1.028047680318167e-08
1873,1.9215074364975493e-07,8.380406590902112e-09
1874,2.5033611450453463e-07,1.0156835372754358e-08
1875,3.10678918480356e-07,1.1443054503956773e-08
1876,3.041145362203679e-07,2.0556450763820067e-08
1877,1.6822698967189353e-07,1.7935965934690046e-08
1878,2.693433536204992e-07,1.5701630218245555e-08
1879,3.195176985215653e-07,2.2604504046341845e-08
1880,2.868777189135585e-07,1.8611753915820373e-08
1881,1.8686320402139245e-07,2.022027167924989e-08
1882,2.6488433491067553e-07,2.994923420374107e-08
1883,1.8705242954553114e-07,2.9068959239708647e-08
1884,2.1719582665724602e-07,3.630933420595284e-08
1885,1.3987029490181158e-07,3.867381304090145e-08
1886,2.0457480331970146e-07,2.774989482645651e-08
1887,2.0566112685083127e-07,1.8933882017790893e-08
1888,1.610516164873843e-07,2.53624587998047e-08
1889,1.9547226681737584e-07,2.7566601445982997e-08
1890,1.612379065818459e-07,3.080561583601593e-08
1891,2.0971184255813569e-07,2.7409146396983886e-08
1892,1.5733965597064525e-07,3.5103667528346705e-08
1893,1.6381387984987228e-07,2.9560398628891704e-08
1894,1.6068925789980426e-07,3.024738881585165e-08
1895,2.0884592721870376e-07,2.2870734639468537e-08
1896,1.6452710344116994e-07,3.066455178668548e-08
1897,1.270223543015092e-07,2.214151106905149e-08
1898,1.3240551099968911e-07,2.6594268121016285e-08
1899,1.8185732741926586e-07,1.7688250864011934e-08
1900,1.9310718057941045e-07,3.010810856185486e-08
1901,1.324531134216933e-07,2.347270311453542e-08
1902,1.6203937036607385e-07,1.718599307309887e-08
1903,1.884676930075102e-07,3.024123418349234e-08
1904,1.3759040040639547e-07,3.117282521003517e-08
1905,1.826908686552997e-07,4.335037573355294e-08
1906,1.4558042815693284e-07,3.703812967437159e-08
1907,1.6302813676816186e-07,3.034277673563679e-08
1908,2.156099863093175e-07,3.094175227147389e-08
1909,1.8703344029091795e-07,5.225934529562437e-08
1910,2.2712641056799043e-07,3.7409055186898854e-08
1911,1.9046938781741574e-07,2.2877609140437016e-08
1912,1.7243184369242215e-07,2.917275843117295e-08
1913,1.8507434607073492e-07,3.4999732889673396e-08
1914,1.3862259606867156e-07,4.018046340092951e-08
1915,9.071186812814602e-08,5.890381071793627e-08
1916,6.922101336570563e-08,1.3294828704601969e-07
1917,1.0747096101937359e-07,7.566832782579525e-08
1918,1.2749877331685866e-07,8.040463761460614e-08
1919,1.8415697411455767e-07,3.314825391953491e-08
1920,2.0975082604124395e-07,3.483226640454973e-08
1921,1.5524132734867635e-07,4.240738565863822e-08
1922,1.8887514618981527e-07,5.6072309462251724e-08
1923,1.7516314532173283e-07,3.8217415010421973e-08
1924,1.7016944298120507e-07,5.930147384258788e-08
1925,2.749544534275117e-07,5.38910731595621e-08
1926,2.351835199920771e-07,2.4521504160546215e-08
1927,3.34476740526668e-07,2.4528294062520217e-08
1928,1.7824623688156294e-07,5.255979118601317e-08
1929,2.0721156546166242e-07,3.8991423423340166e-08
1930,2.090217154915308e-07,3.151081107155562e-08
