year,vouliez_VERB être_VERB,vouliez_VERB mettre_VERB
1800,3.144164395507687e-08,1.2576657937302116e-08
1801,4.7623650800687756e-08,9.524730337773235e-09
1802,3.8043282302169246e-08,0.0
1803,5.851017803593095e-08,2.145373123596528e-08
1804,1.1370514130248921e-07,1.9774807569206132e-08
1805,3.1271653710973624e-08,9.381496113292087e-08
1806,1.152667650217154e-08,2.5935023018064385e-08
1807,3.9857372513552036e-08,0.0
1808,4.305540457494317e-08,9.064295980465431e-09
1809,4.0662548883574345e-08,0.0
1810,1.1466621430145096e-07,0.0
1811,2.5070768572277302e-08,0.0
1812,1.8670457180292033e-08,1.0668832928217853e-08
1813,8.052076339026826e-08,2.8757416448144113e-09
1814,6.922689976818219e-08,3.1466771410748606e-09
1815,9.440282155992463e-08,2.697223555614414e-09
1816,1.622322720606917e-08,0.0
1817,7.472992535895173e-08,6.227493631882908e-09
1818,5.722165141719415e-08,2.384235475716423e-09
1819,4.7614829412623294e-08,1.0351049795076506e-08
1820,2.8479554714522237e-08,4.390598107306687e-08
1821,9.467028405651945e-08,3.648750634965836e-08
1822,1.0326384369818697e-07,3.709477880420309e-08
1823,6.720227219148e-08,3.063632902922109e-08
1824,5.642145595174952e-08,1.6842225392110777e-09
1825,8.189061873054015e-08,5.283265824829186e-09
1826,6.429828403042848e-08,7.0463874735082754e-09
1827,7.373818533551457e-08,7.373818444733615e-09
1828,4.586150481600271e-08,5.503380862137419e-09
1829,5.829759786024624e-08,0.0
1830,4.4878394334091354e-08,8.349468672008697e-09
1831,4.8332740476553226e-08,1.091384405071949e-08
1832,4.329590197471589e-08,2.1647950987357945e-08
1833,9.382738852536932e-08,0.0
1834,3.827157613045529e-08,1.4001796166951408e-08
1835,9.680752555141225e-08,1.5126175867408165e-09
1836,3.763620171071125e-08,9.409050427677812e-09
1837,4.800944708449606e-08,1.530736071231331e-08
1838,7.132742751991827e-08,1.7042836475411605e-08
1839,6.012668762878093e-08,1.8876983531868063e-08
1840,2.356784811752277e-08,1.4013314952876499e-08
1841,3.2102743574569104e-08,1.6693427085101575e-08
1842,3.152884531232303e-08,1.542900918138912e-08
1843,4.784597962270709e-08,1.0041748765843295e-08
1844,5.4885614275690386e-08,9.879410178825765e-09
1845,6.473064217971114e-08,2.1204865419122143e-08
1846,6.030136034951283e-08,2.2832555401919308e-08
1847,3.289866512545814e-08,1.6179670936367074e-08
1848,5.390298696283935e-08,9.65426583121598e-09
1849,3.016589289472904e-08,3.854530916669319e-08
1850,3.190828223864628e-08,6.788996032014438e-09
1851,4.51460699935069e-08,2.579775504329973e-08
1852,4.687592536356533e-08,1.2370036550635177e-08
1853,4.837264810930719e-08,2.388772735173461e-09
1854,4.572184764128906e-08,6.754363734984281e-09
1855,5.3600064831016425e-08,3.714855978387277e-09
1856,5.901995692170203e-08,7.765783571755946e-09
1857,4.637433548282388e-08,1.8549734193129552e-08
1858,5.872411179552728e-08,1.8595969208945462e-08
1859,5.092173438470127e-08,7.638259802433822e-09
1860,4.2567808833382514e-08,1.876645328025006e-08
1861,3.3483342321005694e-08,9.903524222920623e-09
1862,3.6143891435358455e-08,1.9879140111811466e-08
1863,6.093437576737415e-08,5.9935452156878455e-09
1864,5.4659899717535154e-08,4.315255264231155e-09
1865,7.295609094626343e-08,8.943004559114343e-09
1866,4.81695678899996e-08,1.556996132023869e-08
1867,3.591080499631971e-08,5.82337378318698e-09
1868,3.408512938563035e-08,2.9639244392143382e-09
1869,5.4695412643468444e-08,8.790334682373668e-09
1870,6.364793847524197e-08,1.548193218070537e-08
1871,4.6733180880664804e-08,2.1242354542039266e-09
1872,3.9912439575573444e-08,7.256807155187062e-09
1873,2.21482157058972e-08,1.0176207432266438e-08
1874,3.345781252050983e-08,1.9118749250424116e-08
1875,4.3483606049221635e-08,1.0298748520654044e-08
1876,5.8646342893098335e-08,2.7811667635546655e-08
1877,6.617753456339415e-08,1.5462040536817767e-08
1878,3.2611080058586595e-08,9.058632954861423e-09
1879,3.237942536316041e-08,1.649517855639715e-08
1880,3.914886193001621e-08,1.0268554007097919e-08
1881,3.9046042843438045e-08,2.022027167924989e-08
1882,4.2594464844114555e-08,1.6638463051776853e-08
1883,3.159669503816076e-08,1.8958017378167824e-09
1884,4.15906917794473e-08,7.922036360241691e-09
1885,3.0294486919046903e-08,1.353583467533781e-08
