year,quelques_DET archers_NOUN,quelques_DET marchés_NOUN
1800,1.8864986461863964e-08,1.8864987794131594e-08
1801,2.3811826510566902e-08,2.3811825400343878e-08
1802,1.7231369042747247e-07,2.6854081625060644e-08
1803,7.216254971353919e-08,8.776526527753958e-08
1804,9.887403562558461e-09,1.4831105232815389e-08
1805,1.7057265822018053e-08,1.1371510844071508e-08
1806,2.5935023018064385e-08,1.4408345627714425e-08
1807,1.4234775136401367e-08,1.9928686256776018e-08
1808,1.0650547999091486e-07,2.7192887941396293e-08
1809,5.6475762733043666e-08,2.0331274885876383e-08
1810,3.978215490363368e-08,1.1700633351097167e-08
1811,5.0141534924108555e-08,1.2535384286138651e-08
1812,5.601137331723294e-08,1.0668832928217853e-08
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,3.4613449884091096e-08,2.2026739543434815e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,1.3905623319487859e-08,6.952811659743929e-09
1817,5.916118794857539e-08,4.203558034987509e-08
1818,2.8610825708597076e-08,2.2650237241350624e-08
1819,3.622867339458935e-08,2.070209959015301e-08
1820,2.4919611263385377e-08,8.306536791735653e-09
1821,5.029358973729359e-08,2.3667572568442097e-08
1822,1.2933044502005941e-07,1.2030739071633434e-08
1823,4.842516432290722e-08,1.7788836736976066e-08
1824,8.589534772340812e-08,2.0210670470532932e-08
1825,7.04435432208328e-08,2.201360693732113e-08
1826,9.86494264054727e-08,2.554315514657901e-08
1827,3.594736508460983e-08,1.198245475064752e-08
1828,9.722639049414283e-08,1.834460228167245e-08
1829,3.7721972934168235e-08,1.2859763920403111e-08
1830,5.740259556574756e-08,5.218417920005436e-09
1831,1.1693404444734767e-07,2.1827687879394375e-08
1832,4.8707888833376956e-08,2.4353944638733083e-08
1833,6.02348677603004e-08,3.4750887167867006e-08
1834,9.334531148041947e-08,1.5868701908061666e-08
1835,9.378229037793062e-08,1.663879345414898e-08
1836,1.102202977776301e-07,1.4113575197427508e-08
1837,1.5098623018516832e-07,2.643998597839925e-08
1838,1.3508026119879446e-07,1.325553955489056e-08
1839,9.648235499426505e-08,3.5656524954852387e-08
1840,1.356743695168916e-07,2.866359904984961e-08
1841,3.081863209075664e-08,4.3017676087941936e-08
1842,5.366612043644636e-08,5.2995293486901573e-08
1843,4.134837894298471e-08,4.1348378276850895e-08
1844,7.190015383073955e-08,4.171306722255963e-08
1845,3.738752563098302e-08,6.24985496688879e-08
1846,6.6741314697083e-08,4.4494210982293225e-08
1847,6.256139428728602e-08,2.7505440591824026e-08
1848,3.9421587549881565e-08,2.896279838182636e-08
1849,9.552532986845108e-08,3.267971848686102e-08
1850,7.807345525634446e-08,3.2587180953669304e-08
1851,7.610337604546658e-08,7.54584330575625e-08
1852,3.7110110762128556e-08,4.557381894088053e-08
1853,4.29979092331223e-08,4.598387426391071e-08
1854,5.975014261139222e-08,2.3900057488646098e-08
1855,5.890700194299825e-08,2.7596072982305486e-08
1856,5.643136091748602e-08,3.520488522923415e-08
1857,6.345961717224569e-08,2.4407546317384288e-08
1858,6.410715325255723e-08,2.4468380654951716e-08
1859,9.064068606789988e-08,6.161529686465883e-08
1860,5.721480017539804e-08,2.7005385261347215e-08
1861,4.715963797252698e-08,4.621644311697537e-08
1862,8.945612983701778e-08,1.9879140139567042e-08
1863,3.646073365448643e-08,2.1976331865403154e-08
1864,2.4453112534850163e-08,3.8837295268656646e-08
1865,4.424433758254409e-08,4.047886137392709e-08
1866,6.714545985886389e-08,2.968023871119385e-08
1867,2.814630661873707e-08,4.0278337110066786e-08
1868,2.420538258718352e-08,1.9265508299781686e-08
1869,5.1765301378736694e-08,1.8069021390232365e-08
1870,4.0711746862598375e-08,2.1789386295267832e-08
1871,3.6112004275778986e-08,4.779529660936532e-08
