year,plusieurs_DET êtres_NOUN,plusieurs_DET etres_NOUN,plusieurs_DET maîtres_NOUN
1800,1.2262241000371432e-07,3.144164484325529e-09,1.9808236517704358e-07
1801,8.810375828893768e-08,0.0,1.6192041485396658e-07
1802,2.0588129245879827e-07,0.0,1.5217312920867698e-07
1803,1.014176405078615e-07,1.755305234496518e-08,2.6914682571543835e-07
1804,7.168367943677367e-08,2.4718509461507665e-09,4.5976428308946993e-07
1805,1.336152555264647e-07,0.0,1.5067252268075038e-07
1806,6.339671898558663e-08,8.06867319624871e-08,3.3715528235944703e-07
1807,4.555128185756985e-08,3.9857372513552036e-08,2.19215539942752e-07
1808,1.3596443837471384e-07,0.0,2.696628076392926e-07
1809,1.4457795316502597e-07,2.259030518203531e-09,1.6039116901289674e-07
1810,1.6146874770583963e-07,7.020380277111826e-09,2.6911458439471403e-07
1811,5.264861258069686e-08,1.504245972228091e-08,1.855236844150454e-07
1812,8.268345208506389e-08,0.0,3.547386908664407e-07
1813,7.476928232108548e-08,0.0,2.5881675469463516e-07
1814,3.1466771410748606e-09,0.0,1.3530711839848664e-07
1815,5.933891955578474e-08,0.0,1.1598061444573204e-07
1816,1.9467873357825738e-07,2.3176038865813098e-09,1.4600904485462252e-07
1817,1.2454987086130132e-07,0.0,1.5413046272616526e-07
1818,2.491526061021432e-07,4.768470951432846e-09,1.299408314281436e-07
1819,9.522965882524659e-08,0.0,1.7803805718585863e-07
1820,2.2427649071232736e-07,8.306536791735653e-09,1.5901084449154723e-07
1821,6.508582195419166e-08,0.0,1.8145139124570164e-07
1822,9.223566621585633e-08,1.0025615893027862e-09,1.8547389402101544e-07
1823,7.609668983832307e-08,0.0,2.2730180193608618e-07
1824,6.315834699677225e-08,8.421112696055388e-10,2.2400160215596543e-07
1825,6.604082325445404e-08,0.0,1.8139212620837952e-07
1826,1.1714619119196357e-07,0.0,2.0434524272694432e-07
1827,7.92685455053288e-08,0.0,2.5531846770121547e-07
1828,1.0456423638061096e-07,0.0,1.8436324938919668e-07
1829,7.54439470895818e-08,0.0,1.8346596492024858e-07
1830,1.0436836106464398e-07,4.174734336004349e-09,1.4611569554290327e-07
1831,5.456921980950824e-08,0.0,1.9333095790941002e-07
1832,1.0418076179519176e-07,0.0,3.314842569324128e-07
1833,8.571885246055899e-08,0.0,2.409394692648448e-07
1834,1.101474680353931e-07,0.0,1.782895437951737e-07
1835,1.368918916000439e-07,0.0,2.3445572594482655e-07
1836,1.1290860157942006e-07,2.016224964762614e-09,2.1371984892937235e-07
