year,vos_DET arrêts_NOUN,vos_DET marais_NOUN
1800,7.231578535993322e-08,0.0
1801,4.524246932646747e-08,1.1905912700171939e-08
1802,5.818384352096473e-08,1.7902721083373763e-08
1803,6.046051481689574e-08,3.900678446910888e-09
1804,1.1123329102247226e-07,4.943701892301533e-09
1805,5.1171799242411e-08,3.4114531644036106e-08
1806,2.305335300434308e-08,0.0
1807,1.6512339584551228e-07,2.2775640928784924e-08
1808,1.6542339809078044e-07,2.2660739951163578e-09
1809,1.8524050915402768e-07,0.0
1810,1.8487001973710449e-07,1.1700633351097167e-08
1811,6.01698415536589e-08,0.0
1812,2.0270783096520972e-07,6.13457871168066e-08
1813,1.35159851311073e-07,8.627225156487839e-09
1814,5.97868634599763e-08,3.776012391654149e-08
1815,1.968973135646479e-07,8.091670444798638e-09
1816,2.0858434979231788e-08,0.0
1817,9.808302403602198e-08,4.670620334934483e-09
1818,9.298518222067287e-08,4.768470951432846e-09
1819,1.636501011148539e-06,1.2421260464634543e-08
1820,7.001224044955734e-08,1.1866481131050932e-09
1821,1.203101618330038e-07,0.0
1822,1.1328945959121484e-07,2.0051231786055723e-09
1823,1.1562743829074407e-07,0.0
1824,9.263223788025243e-08,2.5263338088166165e-09
1825,1.2415674577326286e-07,3.522177216552791e-09
1826,2.1491482016244845e-07,9.688783109140786e-09
1827,2.580836392374053e-07,0.0
1828,2.4765212458532915e-07,4.586150570418113e-09
1829,1.7660742007707952e-07,2.0575622983187714e-08
1830,1.2106729352368006e-07,8.349468672008697e-09
1831,8.263339168479433e-08,0.0
1832,1.4882966603568804e-07,4.058990921151917e-09
1833,4.2859426230279496e-08,2.3167257001688313e-09
1834,1.26949618817207e-07,7.467624740797874e-09
1835,1.4521128832711838e-07,2.2689263801112247e-09
1836,1.3239878277060413e-07,3.36037508930076e-09
1837,8.697363973464434e-08,4.174734336004349e-09
1838,8.900148174006972e-08,0.0
1839,9.158832359190683e-08,6.9914751765765e-10
1840,7.898413789675374e-08,3.1848443882154243e-09
1841,8.02568562718875e-08,3.852329122366882e-09
1842,1.6703580651977745e-07,2.683306021822318e-09
1843,1.3644964269587945e-07,2.953455480181333e-09
1844,9.38543984752016e-08,1.097712254427563e-09
1845,1.1662676424606389e-07,2.7901139176833567e-09
1846,1.0245377457529514e-07,7.025401593807601e-09
1847,1.0085328305819985e-07,7.550513103637968e-09
1848,1.1585119086277018e-07,1.6090443422100975e-09
1849,9.636327380491139e-08,3.3517659758786067e-09
1850,1.317065274619722e-07,4.752297222410107e-09
1851,1.3027865963799456e-07,1.2898877521649865e-08
1852,8.463708756067945e-08,6.510545436100301e-09
1853,9.973125969509056e-08,3.5831591027601917e-09
1854,1.0755025536823837e-07,3.117398783558656e-09
1855,1.0720012966203285e-07,2.1227748447927297e-09
1856,1.216639446965928e-07,4.141751386299575e-09
1857,7.419894054727649e-08,2.0502337605421417e-08
1858,8.955427238666047e-08,1.9574704079872163e-09
1859,1.9961318997729904e-07,2.5460866748261424e-09
1860,1.3594236070169075e-07,6.865775947773045e-09
1861,1.2780262226286254e-07,4.715963619617014e-09
1862,1.2650361513877328e-07,2.2589932147099034e-09
1863,7.192253992371889e-08,5.9935452156878455e-09
1864,1.2514240221861428e-07,2.876836879828204e-09
1865,8.095772474625562e-08,4.23615986733239e-09
1866,1.0947629203172937e-07,3.4059290943133647e-09
1867,1.01909042982129e-07,6.79393608038481e-09
1868,6.718228995339359e-08,4.93987406535723e-10
1869,1.391802983974344e-07,6.348574999037737e-09
1870,6.823518283738395e-08,1.1468097582678638e-08
1871,1.5400707331636454e-07,3.18635318130589e-09
1872,9.494322972258828e-08,3.0236697590169115e-09
1873,1.2091728684993086e-07,1.1972008939764578e-09
1874,9.499628284004302e-08,6.572069999322139e-09
1875,1.1900776319961892e-07,1.716458086775674e-09
1876,1.4026753758500377e-07,1.209202959984168e-09
1877,9.153527580352261e-08,5.566334504436554e-09
1878,1.0749577561419699e-07,4.22736201599605e-09
1879,1.1485531237198643e-07,4.27652757650776e-09
1880,1.0332732269802136e-07,5.134277003548959e-09
1881,1.2689963524437076e-07,2.7890030285249168e-09
1882,1.497461645794118e-07,3.3276925659464496e-09
1883,9.226235120340931e-08,5.687405213450347e-09
1884,7.98805324109253e-08,5.941527270181268e-09
1885,1.1859969584193664e-07,0.0
1886,8.712176424729989e-08,3.2267319927115068e-09
1887,7.573552585071752e-08,7.1818169189441505e-09
1888,1.1413106504321036e-07,3.1703073499755874e-09
1889,8.457934796979316e-08,1.8795409673089125e-09
1890,1.0487018275995297e-07,0.0
1891,1.1919791198522489e-07,1.2748440081367107e-09
1892,1.2286283967988254e-07,6.268512375839919e-09
1893,1.108514959824447e-07,6.158416554491453e-10
1894,1.3044186619737275e-07,6.301539290376468e-10
1895,8.004757034996146e-08,7.824199066419624e-09
1896,7.784078137618167e-08,3.5382172747233653e-09
1897,6.642453420635519e-08,6.409385022720926e-09
1898,1.482488982684771e-07,1.2448380992680086e-08
1899,1.5145564624674535e-07,2.2110313580014918e-09
1900,9.863001171339647e-08,3.114631885736685e-09
1901,8.774319981696976e-08,2.794369402536745e-09
1902,1.2570327223571098e-07,5.892340837476695e-09
1903,1.2852524422513056e-07,2.7001101354784396e-09
1904,7.201997842543051e-08,5.374625189347171e-10
1905,1.2024568168955696e-07,3.6125313851442797e-09
1906,8.024927611316457e-08,1.0288369267641428e-08
1907,8.382834693065888e-08,5.6571278217454335e-09
1908,8.152905639491337e-08,3.929111258571538e-09
1909,6.656190354448199e-08,0.0
1910,1.774258020503794e-07,1.068830135508847e-09
1911,9.736284622974267e-08,1.0640748282497725e-09
1912,9.533240508119434e-08,2.6047106693738442e-09
1913,4.93178041738318e-08,5.30298971401777e-10
1914,5.7591995172856514e-08,3.3483718020477227e-09
