year,leurs_DET auteurs_NOUN,leurs_DET moteurs_NOUN
1800,2.763720615917009e-06,2.5153315874604232e-08
1801,2.9479039760360592e-06,7.143547975374531e-09
1802,3.1262627544492716e-06,1.1189200677108602e-08
1803,2.7811837099989134e-06,1.1702034896643454e-08
1804,3.1713848329673056e-06,2.4718509905596875e-08
1805,3.2380377632534874e-06,2.2743021688143017e-08
1806,2.959474294073061e-06,5.76333825108577e-09
1807,3.6583373059784208e-06,8.540865792383556e-09
1808,3.6393147766489164e-06,4.758755522971114e-08
1809,3.185233097724449e-06,1.8072244145628247e-08
1810,4.205207744689687e-06,2.3401267590372754e-09
1811,2.6048528631861245e-06,0.0
1812,3.8301109519522925e-06,1.600324850414836e-08
1813,3.864996571678603e-06,2.8757416004054903e-08
1814,3.0868903451164442e-06,0.0
1815,3.3229794311750993e-06,2.697223555614414e-09
1816,2.5910811984886095e-06,4.6352077731626196e-09
1817,3.4064390774801723e-06,4.670620334934483e-09
1818,3.5560871936013427e-06,3.9339884239097955e-08
1819,3.3009497499847384e-06,1.035105001712111e-09
1820,3.6002904550969106e-06,1.6613073583471305e-08
1821,3.4357425597875135e-06,1.1833785507064931e-08
1822,3.1640843616287384e-06,1.7043547018147365e-08
1823,3.0824100889503825e-06,6.917880934764753e-09
1824,3.2151809037372914e-06,5.894778887238772e-09
1825,3.535385431518989e-06,7.044354433105582e-09
1826,2.972694638003759e-06,2.9947145208097936e-08
1827,3.3458701587107953e-06,5.530363722527909e-09
1828,3.4010892875357968e-06,9.172301251858528e-10
1829,3.3623995392417783e-06,2.2290258527846163e-08
1830,3.509907934073908e-06,2.6092090266160994e-08
1831,3.236734386291573e-06,1.5591206103948707e-09
1832,3.3946693349662382e-06,0.0
1833,2.86231469459608e-06,5.791814139399776e-09
1834,3.2726864986898363e-06,2.0535967593104942e-08
1835,2.569937180396664e-06,3.781543966852041e-09
1836,2.854974542998434e-06,6.72075017860152e-09
1837,2.6495647951207957e-06,1.87863058442872e-08
