year,vieux_ADJ auteurs_NOUN,vieux_ADJ moteurs_NOUN
1800,2.0751485863002017e-07,0.0
1801,1.4287095950749062e-07,0.0
1802,8.727576528144709e-08,0.0
1803,1.326230716358623e-07,0.0
1804,1.7055771195373381e-07,0.0
1805,2.2174445746259153e-07,0.0
1806,2.1900684998854558e-07,0.0
1807,9.394951661079176e-08,0.0
1808,5.891792298484688e-08,0.0
1809,1.2650571079575457e-07,0.0
1810,1.591286178381779e-07,0.0
1811,2.2814398681347825e-07,0.0
1812,1.9470620316042186e-07,0.0
1813,2.70319702622146e-07,0.0
1814,1.888006266881348e-07,0.0
1815,1.294667271167782e-07,0.0
1816,1.9467873357825738e-07,0.0
1817,1.71256075987003e-07,0.0
1818,1.263644833215949e-07,0.0
1819,3.032857591733773e-07,0.0
1820,2.491960913175717e-07,0.0
1821,1.617284084431958e-07,0.0
1822,1.3434325296657335e-07,0.0
1823,1.4824030358795426e-07,0.0
1824,2.5347549126308877e-07,0.0
1825,2.72088186648034e-07,0.0
1826,1.902524644492587e-07,0.0
1827,2.7375301669962937e-07,0.0
1828,2.4581765956099844e-07,0.0
1829,3.223514113415149e-07,0.0
1830,1.6594569274275273e-07,0.0
1831,3.539203896618659e-07,0.0
1832,3.6801517921958293e-07,0.0
1833,1.853380601213317e-07,0.0
1834,3.2484166467838804e-07,0.0
1835,3.1462445804208983e-07,0.0
1836,2.903364020312438e-07,0.0
1837,3.131050902993593e-07,0.0
1838,2.543801258525491e-07,0.0
1839,2.3071867660817702e-07,0.0
1840,2.4141121457432746e-07,0.0
1841,2.471911102475133e-07,0.0
1842,3.179717631418555e-07,0.0
1843,2.410019731002855e-07,0.0
1844,2.5686467092223e-07,0.0
1845,2.3381155433988e-07,0.0
1846,3.260957182060764e-07,0.0
1847,2.383804780237142e-07,0.0
1848,2.4940188175781586e-07,0.0
1849,2.1032331831705164e-07,0.0
1850,2.1521117332667927e-07,0.0
1851,3.0828316743836126e-07,0.0
1852,3.229230556289764e-07,0.0
1853,2.693341230042279e-07,0.0
1854,2.5095059186241997e-07,0.0
1855,2.5154881910793847e-07,0.0
1856,3.194325870481407e-07,0.0
1857,2.5823183591455745e-07,0.0
1858,2.990036049310696e-07,3.4255731584664773e-09
1859,2.85161701363279e-07,0.0
1860,2.686806985785495e-07,0.0
1861,3.1596958049995294e-07,0.0
1862,3.4698134587785034e-07,0.0
1863,3.875825802523991e-07,0.0
1864,2.728200128032654e-07,0.0
1865,2.9088296926715884e-07,0.0
1866,2.807458590048384e-07,0.0
1867,2.620518237961278e-07,0.0
1868,2.8651270511659277e-07,1.4819622196071691e-09
1869,3.262190837460821e-07,0.0
1870,2.907162803822416e-07,0.0
1871,2.2941743327287156e-07,0.0
1872,2.4673143617093274e-07,0.0
1873,3.100750376461292e-07,0.0
