year,ses_DET âges_NOUN,ses_DET ages_NOUN,ses_DET mages_NOUN
1800,1.4463157071986643e-07,3.144164484325529e-09,3.772997558826319e-08
1801,7.381665767525192e-08,0.0,4.7623651688866175e-09
1802,2.2378401354217203e-08,2.2378401354217203e-09,5.147032311469957e-08
1803,1.8918289867997373e-07,3.900678446910888e-09,1.0336797551246946e-07
1804,3.9549615138412264e-08,0.0,7.4155526164076946e-09
1805,1.1087222873129576e-07,0.0,1.9900144199169745e-08
1806,3.7461699520235925e-08,0.0,2.881669125542885e-09
1807,4.27043254092041e-08,0.0,2.2775641816963343e-08
1808,6.118399653587403e-08,0.0,4.7587553009265093e-08
1809,6.551188391767937e-08,0.0,1.8072244145628247e-08
1810,1.8721014072298203e-08,0.0,2.8081520220268885e-08
1811,7.521229861140455e-09,0.0,2.5070768572277302e-08
1812,1.600324850414836e-08,5.3344164641089264e-09,1.3336041604361526e-08
1813,3.738464116054274e-08,2.8757416448144113e-09,2.8757416448144113e-09
1814,4.090680150170556e-08,3.1466771410748606e-09,3.1466770522570187e-08
1815,1.6183340889597275e-08,0.0,2.697223555614414e-09
1816,5.7940098940889584e-08,4.6352077731626196e-09,9.270415546325239e-09
1817,7.628679554727569e-08,3.113746815941454e-09,3.7364960903119027e-08
1818,7.867976847819591e-08,1.1921177378582115e-09,4.768470951432846e-08
1819,9.522965882524659e-08,3.1053151161586356e-09,1.0868602728919541e-07
1820,6.170570543417853e-08,8.306536791735653e-09,3.322614805512103e-08
1821,2.859831660373402e-08,1.97229765852569e-09,7.297501425362896e-08
1822,3.909990198280866e-08,2.0051231786055723e-09,2.606660132187244e-08
1823,2.2730180404550993e-08,0.0,2.569498569471307e-08
1824,4.7158231097910175e-08,8.421112696055388e-10,2.105278174013847e-08
1825,6.956300069305144e-08,7.924898959288385e-09,4.66688490075029e-08
1826,2.8185549894033102e-08,5.284790383086602e-09,3.875513143736242e-08
1827,8.664236617050847e-08,9.217273055917019e-10,3.133872894522938e-08
1828,3.760643352279658e-08,0.0,8.6219628769868e-08
1829,7.801590129474789e-08,8.57317605795771e-10,6.344150449422159e-08
1830,6.262101237552997e-08,0.0,1.2524203008013046e-08
1831,7.795603096383275e-08,0.0,7.795603274018958e-09
1832,6.088486514954639e-08,1.3529969367098715e-09,5.411987658021644e-08
1833,1.1467792404573629e-07,0.0,2.3167256557599103e-08
1834,8.961149688957448e-08,9.334530925997342e-10,2.8937046536725575e-08
1835,1.013453783116347e-07,1.5126175867408165e-09,3.7059130875150004e-08
1836,1.0954822471376247e-07,6.720750067579218e-10,2.2178475944656384e-08
1837,9.671468603755784e-08,6.957890930081589e-10,1.8090516529234435e-08
1838,6.375283589932224e-08,6.312161904276081e-10,2.5879863585487328e-08
1839,6.082583325905944e-08,1.3982950353153e-09,2.097442586279641e-08
1840,7.38883869644269e-08,1.910906599622564e-09,1.1465439264668476e-08
1841,6.292137300079048e-08,0.0,1.926164472365599e-08
1842,5.2324466537356784e-08,0.0,8.049918065466954e-09
1843,7.029224491361674e-08,1.7720733769266417e-09,1.5357969118667825e-08
1844,8.946354768113451e-08,1.2074834521147437e-08,3.0735942679882555e-08
1845,6.138250796539069e-08,0.0,1.1160455504199973e-08
1846,4.4494210982293225e-08,5.854501328173001e-10,2.1661654692195498e-08
1847,9.16848037491036e-08,1.0786447290911383e-09,2.8584086209093584e-08
1848,3.218088551193432e-08,0.0,4.82713291560799e-09
1849,3.6869426622843093e-08,0.0,1.8434713311421547e-08
1850,7.332116069846961e-08,0.0,1.0183494048021657e-08
1851,5.095056465620473e-08,0.0,4.514607132577453e-09
1852,6.575650957074686e-08,1.3021090872200602e-09,1.1067927019325907e-08
1853,8.062107781370287e-08,5.971931837933653e-10,1.4332636188996162e-08
1854,3.3771819119010615e-08,1.0391328908454511e-09,1.3508727469968562e-08
1855,6.739810487488285e-08,2.1227748447927297e-09,9.552486801567284e-09
1856,5.487820686767009e-08,4.659470365098173e-09,4.659470143053568e-09
1857,5.3208449202202246e-08,0.0,1.0739319711294826e-08
1858,7.829881809584549e-08,1.9574704079872163e-09,1.1744822725479054e-08
1859,7.332729978770658e-08,0.0,1.323965070909594e-08
1860,5.034902272882391e-08,9.154367819341758e-10,1.3273833365801124e-08
1861,8.017138242166766e-08,4.715963841661619e-09,1.4147891747029462e-08
1862,8.177555343991116e-08,0.0,2.0782737364388737e-08
1863,7.491931341974123e-08,4.994620828036034e-10,1.3984937929922836e-08
1864,9.829192038068868e-08,1.9178911792039344e-09,1.3904710716161617e-08
1865,4.8009813014004976e-08,2.8241067262513297e-09,9.413688606407788e-09
1866,4.670988573707291e-08,1.4596838737723772e-09,5.352174259343201e-09
1867,6.599823620945244e-08,1.455843445796745e-09,2.038180824115443e-08
1868,5.9278487896108345e-08,4.93987406535723e-10,7.903798393549266e-09
1869,4.5905078849273195e-08,9.767038289254515e-10,2.6859355628516823e-08
1870,6.479475445075877e-08,3.4404292748035914e-09,1.7202145485839537e-08
1871,2.549082545044712e-08,0.0,3.18635318130589e-09
1872,7.25680706636922e-08,1.2094678591978436e-09,1.6932549251613693e-08
1873,4.3697831131339626e-08,0.0,4.1902030178953e-09
1874,2.5093358502203955e-08,3.5847653734322193e-09,4.779687312606029e-09
1875,5.378235456987568e-08,1.1443054281912168e-09,6.865832347102696e-09
