year,certains_DET archers_NOUN,certains_DET marchés_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,5.9529565277216534e-08
1802,0.0,1.1189200677108602e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,8.645007376628655e-09
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,0.0,9.036122072814123e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,2.5173417128598885e-08
1815,0.0,2.4275012222574333e-08
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,7.152706427149269e-09
1819,0.0,1.6561680027393777e-08
1820,0.0,1.1866481131050932e-09
1821,0.0,1.2819934447350079e-08
1822,0.0,1.303330066093622e-08
1823,0.0,9.882686891060644e-10
1824,0.0,9.263223965660927e-09
1825,0.0,3.522177216552791e-09
1826,0.0,7.0463874735082754e-09
1827,0.0,2.7651818612639545e-09
1828,0.0,1.4675682002973645e-08
1829,1.714635211591542e-09,4.286587973467704e-09
1830,1.0436835840010872e-09,6.262101504006523e-09
1831,6.236482441579483e-09,2.0268567268999504e-08
1832,0.0,4.464889968858188e-08
1833,0.0,1.2741991461950875e-08
1834,0.0,2.5203233278148218e-08
1835,0.0,1.739510224751939e-08
1836,0.0,1.344150035720304e-08
1837,6.957890930081589e-10,1.3219993100221927e-08
1838,0.0,2.146135025249407e-08
1839,0.0,3.2859933440931854e-08
1840,0.0,1.7835128929277744e-08
1841,0.0,1.6051371787284552e-08
1842,0.0,5.0311989241436095e-08
1843,5.906911071384968e-10,2.0674189471492355e-08
1844,0.0,1.811225303072206e-08
1845,0.0,3.1807299905040054e-08
1846,0.0,2.86870562860031e-08
1847,0.0,4.638172157456211e-08
1848,0.0,1.609044275596716e-08
1849,8.379414939696517e-10,2.262441967104678e-08
1850,0.0,2.3761487000228954e-08
1851,0.0,3.0957306051959677e-08
1852,0.0,6.05480723336882e-08
1853,0.0,4.598387448595531e-08
1854,0.0,6.858277390442424e-08
1855,0.0,3.8209947206269135e-08
1856,0.0,6.678573782892272e-08
1857,0.0,4.735063852123744e-08
1858,0.0,2.3489644007668176e-08
1859,0.0,4.6338776371612767e-08
1860,0.0,4.760271399284477e-08
1861,0.0,4.1972078701491e-08
1862,0.0,4.9697849835439456e-08
1863,0.0,2.9468262718879146e-08
1864,1.9178911792039344e-09,3.548098559402746e-08
1865,2.3534221238463715e-09,3.812543880599151e-08
1866,3.4059290943133647e-09,4.281739407474561e-08
1867,4.85281148598915e-09,4.367530159754551e-08
1868,0.0,5.285665372056769e-08
1869,0.0,3.516133817438316e-08
1870,1.1468097582678638e-09,5.5620272387812975e-08
1871,5.3105884134652115e-09,5.3105885911008954e-08
1872,0.0,6.349706183073067e-08
