year,aux_ADP auteurs_NOUN
1800,2.3486909599412797e-06
1801,2.424043929138975e-06
1802,2.18636984072873e-06
1803,2.3248042513301925e-06
1804,2.847572311948099e-06
1805,2.626818988993307e-06
1806,2.630963879646231e-06
1807,2.9722210417304495e-06
1808,2.8824461928422807e-06
1809,4.213091941096536e-06
1810,4.146704707608251e-06
1811,3.126324788382817e-06
1812,2.9525994973411684e-06
1813,3.4077539012855596e-06
1814,2.6620889701511885e-06
1815,2.8024152758376886e-06
1816,2.1345132310557346e-06
1817,3.26943408168745e-06
1818,3.234215381731076e-06
1819,2.8382579912999972e-06
1820,2.5821462283914798e-06
1821,2.9752111103675816e-06
1822,2.6788445808278993e-06
1823,2.3016778056828002e-06
1824,2.6720189714168896e-06
1825,3.008819880356839e-06
1826,3.0986489107931448e-06
1827,2.84168526398787e-06
1828,2.844330698081876e-06
1829,2.956031180278984e-06
1830,2.777242000817637e-06
1831,2.4727652467859684e-06
1832,2.9251792854623204e-06
1833,2.235640282677309e-06
1834,2.5287244709293333e-06
1835,2.311279658329113e-06
1836,2.463154838316939e-06
1837,2.639128052539519e-06
1838,2.4415443165004547e-06
1839,3.0468849738785053e-06
1840,2.2822594996085854e-06
1841,2.6850734191619097e-06
1842,2.2928849254810757e-06
1843,2.5470600104604557e-06
1844,2.189935926877329e-06
1845,2.2192565900525096e-06
1846,2.2937937025346855e-06
1847,2.1152222258180586e-06
1848,2.036245581926721e-06
1849,2.264117807682098e-06
1850,2.312332089360325e-06
1851,2.077364277486282e-06
1852,3.1647760430075778e-06
1853,2.588235243905501e-06
1854,2.5770494858079473e-06
1855,2.5743951397316778e-06
1856,2.6621107922508713e-06
1857,2.7892943199603337e-06
1858,2.705224154464503e-06
1859,3.522765468000344e-06
1860,2.5380485911830064e-06
1861,2.5593535080137286e-06
1862,2.4302247012553124e-06
1863,2.5272782235852276e-06
1864,2.4625723322735382e-06
1865,2.4870965256162947e-06
1866,2.696036228044818e-06
1867,2.6054744015624465e-06
1868,2.2881497541149542e-06
1869,2.2952540117415765e-06
1870,2.3371983748354808e-06
1871,2.348342372560097e-06
1872,2.84345889212112e-06
1873,2.4865862622291957e-06
1874,2.6324126816135163e-06
1875,2.6204593772671814e-06
1876,2.8525098230147705e-06
1877,2.627309802605282e-06
1878,3.1010720933366542e-06
1879,3.4322189659263813e-06
1880,3.5644717915062074e-06
1881,3.182949670943458e-06
1882,3.3583073024701093e-06
1883,3.2696259344433543e-06
1884,3.4421248233940105e-06
1885,3.3014545093301706e-06
1886,3.031837344735777e-06
1887,3.406139887474069e-06
1888,3.7029189776660587e-06
1889,3.641297524836773e-06
1890,3.54461216289792e-06
1891,3.2629632169545175e-06
1892,3.475890181903196e-06
1893,3.4086836075974958e-06
1894,3.0228483502980907e-06
1895,3.071900739115563e-06
1896,2.904286746208129e-06
1897,2.989686741283748e-06
1898,3.290333463468187e-06
1899,2.844491810094496e-06
1900,2.828604829474557e-06
1901,3.0184779333808365e-06
1902,2.6127619356941523e-06
1903,3.0856858899142026e-06
1904,3.3553784817286214e-06
1905,2.8637053013369496e-06
1906,3.000088369731202e-06
1907,3.112963160134541e-06
1908,3.3976990323481004e-06
1909,2.869313073361468e-06
1910,3.153048826476379e-06
1911,3.0049473949134153e-06
1912,3.2876656437252905e-06
1913,3.001492171250675e-06
1914,2.7389681438449998e-06
1915,2.63535640421253e-06
1916,2.628200892473842e-06
1917,2.3314618777803275e-06
1918,2.396058062181794e-06
1919,2.5211089447196855e-06
1920,2.8789624177960604e-06
1921,2.739820078367927e-06
1922,2.9275647648319136e-06
1923,2.8588748328672864e-06
1924,3.1391106336542407e-06
1925,2.6340636125610217e-06
1926,2.7218869540490687e-06
1927,3.0002564574971302e-06
1928,2.770815051178488e-06
1929,3.195068625672093e-06
1930,2.688922538851557e-06
1931,3.013295305720476e-06
1932,3.1300437264292214e-06
1933,2.69216432968733e-06
1934,2.7701413856107138e-06
1935,2.8975216128657166e-06
1936,2.8214211518218235e-06
1937,2.756195829789476e-06
1938,2.9794062168519986e-06
1939,2.8584579929713527e-06
1940,3.309196600298492e-06
1941,3.025290176594808e-06
1942,3.167717189000996e-06
1943,2.633234325921663e-06
1944,3.261384021513436e-06
1945,2.4617096112677928e-06
1946,2.4584669091609612e-06
1947,2.366292838118511e-06
1948,2.7190591467274317e-06
1949,2.2569302338126818e-06
1950,3.015125011884834e-06
1951,2.4947680223874613e-06
1952,2.7532483848347056e-06
1953,2.654671028778921e-06
1954,2.8828982578943396e-06
1955,2.875750295672219e-06
1956,2.7628576972915653e-06
1957,2.62842368847771e-06
1958,2.859714637537536e-06
1959,2.848399825339243e-06
1960,2.7039696242070477e-06
1961,2.7181198891668146e-06
1962,2.912860541215423e-06
1963,2.793334919815038e-06
1964,3.019473552967611e-06
1965,2.9817163920142775e-06
1966,3.025442563142633e-06
1967,3.4255972156671533e-06
1968,3.0451799339914487e-06
1969,3.2387274124801024e-06
1970,3.949384939971878e-06
1971,3.906209689930051e-06
1972,5.0644808347044545e-06
1973,4.551149597631365e-06
1974,4.615219111769875e-06
1975,4.389272696414537e-06
1976,4.2017277266381825e-06
1977,4.006202226847222e-06
1978,3.5304934407065502e-06
1979,4.260236682540608e-06
1980,3.86249141293149e-06
1981,4.046453934591909e-06
1982,4.033635065070484e-06
1983,4.138426662692041e-06
1984,4.047128125961308e-06
1985,4.0803530563238155e-06
1986,4.3376097131897495e-06
1987,3.857147600427879e-06
1988,4.872199941274857e-06
1989,3.9684611934376335e-06
1990,4.170397426506156e-06
1991,4.261871165311959e-06
1992,4.214005254965514e-06
1993,4.117846748030729e-06
1994,5.129866160302754e-06
1995,4.130822997439054e-06
1996,3.9720742925908326e-06
1997,4.336023161854996e-06
1998,3.7472727427712016e-06
1999,4.2265218791470716e-06
