year,petits_ADJ arrêts_NOUN,petits_ADJ marais_NOUN
1800,3.144164484325529e-09,2.829748169119739e-08
1801,0.0,7.857902772911984e-08
1802,1.5664880947952042e-08,2.4616241489638924e-08
1803,3.900678446910888e-09,5.070882025393075e-08
1804,7.4155526164076946e-09,3.9549615138412264e-08
1805,2.842877711017877e-09,6.254330742194725e-08
1806,8.645007376628655e-09,5.4751713385314815e-08
1807,0.0,3.131650538890085e-08
1808,0.0,3.6257183921861724e-08
1809,6.7770917766551975e-09,3.6144488735345703e-08
1810,0.0,4.9142660163425944e-08
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,0.0,5.3344166417446104e-08
1813,0.0,5.463909147351842e-08
1814,0.0,3.4613449884091096e-08
1815,8.091670444798638e-09,3.776112933451259e-08
1816,4.6352077731626196e-09,2.0394914201915526e-07
1817,1.5568733857662664e-08,1.556873407970727e-09
1818,1.1921177378582115e-09,1.3113295338484932e-08
1819,0.0,9.315945348475907e-09
1820,2.3732962262101864e-09,0.0
1821,0.0,1.4792232327920374e-08
1822,1.0025615893027862e-09,1.4035862250239006e-08
1823,6.917880934764753e-09,3.162459805139406e-08
1824,9.263223965660927e-09,1.2631669044083083e-08
1825,2.641632912414593e-09,7.044354433105582e-09
1826,4.492072136486058e-08,2.4662356601368174e-08
1827,2.7651818612639545e-09,2.949527377893446e-08
1828,1.1923991571904935e-08,2.5682442839070063e-08
1829,1.3717081692732336e-08,3.429270378774163e-08
1830,1.0436835840010872e-09,2.2961039292113128e-08
1831,6.236482441579483e-09,1.2472964883158966e-08
1832,1.3529969367098715e-09,1.2176972319366541e-08
1833,1.1583628500844156e-09,1.7375443306377747e-08
1834,0.0,3.453776376005635e-08
1835,1.5126175867408165e-09,1.285724948729694e-08
1836,6.720750067579218e-10,2.5538850756401388e-08
1837,0.0,7.653680134112051e-09
1838,6.943378316748294e-09,3.28232410140572e-08
1839,0.0,1.7478688718597368e-08
1840,3.1848443882154243e-09,3.821813088222825e-09
1841,0.0,5.1364388298225094e-09
1842,0.0,1.609983613093391e-08
1843,2.3627644285539873e-09,1.0041748765843295e-08
1844,4.390849017710252e-09,2.030767731753258e-08
1845,3.348136878855712e-09,1.2834524554250493e-08
1846,1.7563503984519002e-09,1.8148953451202487e-08
1847,6.47186837454683e-09,3.667392167727712e-08
1848,1.367687652020777e-08,3.057184372323718e-08
1849,4.1897072478036534e-09,4.1059134758825167e-08
1850,1.3577992064028876e-09,1.8330290174617403e-08
1851,0.0,2.902247508984601e-08
1852,5.208436348880241e-09,1.4974254725075298e-08
1853,1.1943863675867306e-09,1.6721408258035808e-08
1854,2.0782657816909023e-09,3.7928351848126596e-08
1855,1.0613874223963649e-09,2.175844215912548e-08
1856,4.659470143053568e-09,1.4496129407959302e-08
1857,4.881508974818871e-09,1.4644527368545823e-08
1858,1.9574704079872163e-09,2.0553439838977283e-08
1859,6.110608019582742e-09,1.018434669930457e-08
1860,6.408057640072684e-09,2.0139609091529564e-08
1861,9.903524222920623e-09,1.3204698667834691e-08
1862,4.066187830886747e-09,1.7620147119146168e-08
1863,9.489779628779615e-09,2.2975255475898848e-08
1864,1.9178911792039344e-09,2.1096802527154068e-08
1865,1.4120533631256649e-09,2.4004906507002488e-08
1866,4.865612912574591e-10,1.0704348740731007e-08
1867,1.067618526917613e-08,2.426405742994575e-08
1868,1.0867722721741302e-08,1.185569808992426e-08
1869,3.4184632902167778e-09,2.2952539424636598e-08
1870,1.1468097582678638e-08,1.6055337059839303e-08
1871,2.1242354542039266e-09,2.3366590440332402e-08
1872,6.047339518033823e-09,1.4513614754463333e-08
1873,2.9930022904522957e-09,1.496501056408306e-08
1874,3.5847653734322193e-09,1.3741600746186577e-08
1875,2.2886108563824337e-09,1.4875970677508121e-08
1876,7.255217759905008e-09,1.209203004393089e-08
1877,5.566334504436554e-09,1.4843558493460307e-08
1878,5.435179861734696e-09,1.8117265909722846e-08
1879,3.665595160740054e-09,1.8327975581655664e-08
1880,2.5671385017744797e-09,1.4119262203848848e-08
1881,2.7890030285249168e-09,1.324776466304911e-08
1882,5.989846840748214e-09,2.3959386474814437e-08
1883,1.2006744043446815e-08,1.579834751908038e-08
1884,1.7164412113856997e-08,2.2445768799173038e-08
1885,3.86738152613475e-09,1.2891271161663553e-08
1886,1.0325542199041138e-08,3.033128009866104e-08
1887,2.6115698492645834e-09,1.6975204131242094e-08
1888,0.0,5.07249175996094e-09
1889,6.891650361495749e-09,1.8168895721260014e-08
1890,6.554386366985909e-09,1.6385966361553983e-08
1891,6.3742202627281586e-09,1.529812720946211e-08
1892,5.014809900671935e-09,8.775916882086676e-09
1893,1.2932674486876294e-08,1.9091091374434654e-08
1894,5.041231432301174e-09,3.528862180246506e-08
1895,6.6204757231957956e-09,1.8055843042930064e-08
1896,8.845543852942228e-09,2.181900704556483e-08
1897,6.992056267307589e-09,9.90541315637472e-09
